Country,date_data,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious_Critical,Cases_per_1M,Deaths_per_1M,TotalTests,Tests_per_1M,date_download,Continent,Population,ISO3
China,2020-04-07,81740,32,3331,NA,77167,1242,211,57,2,NA,NA,2020_04_08_11_00_03_GMT,Asia,NA,CHN
USA,2020-04-07,400335,33331,12841,1970,21674,365820,9169,1209,39,2075739,6271,2020_04_08_11_00_03_GMT,North America,NA,USA
Spain,2020-04-07,141942,5267,14045,704,43208,84689,7069,3036,300,355000,7593,2020_04_08_11_00_03_GMT,Europe,NA,ESP
Italy,2020-04-07,135586,3039,17127,604,24392,94067,3792,2243,283,755445,12495,2020_04_08_11_00_03_GMT,Europe,NA,ITA
France,2020-04-07,109069,11059,10328,1417,19337,79404,7131,1671,158,224254,3436,2020_04_08_11_00_03_GMT,Europe,NA,FRA
Germany,2020-04-07,107663,4288,2016,206,36081,69566,4895,1285,24,918460,10962,2020_04_08_11_00_03_GMT,Europe,NA,DEU
Iran,2020-04-07,62589,2089,3872,133,27039,31678,3987,745,46,211136,2514,2020_04_08_11_00_03_GMT,Asia,NA,IRN
UK,2020-04-07,55242,3634,6159,786,135,48948,1559,814,91,266694,3929,2020_04_08_11_00_03_GMT,Europe,NA,GBR
Turkey,2020-04-07,34109,3892,725,76,1582,31802,1474,404,9,228868,2714,2020_04_08_11_00_03_GMT,Asia,NA,TUR
Switzerland,2020-04-07,22253,596,821,56,8704,12728,391,2571,95,167429,19346,2020_04_08_11_00_03_GMT,Europe,NA,CHE
Belgium,2020-04-07,22194,1380,2035,403,4157,16002,1260,1915,176,80512,6947,2020_04_08_11_00_03_GMT,Europe,NA,BEL
Netherlands,2020-04-07,19580,777,2101,234,250,17229,1424,1143,123,86589,5053,2020_04_08_11_00_03_GMT,Europe,NA,NLD
Canada,2020-04-07,17897,1230,381,58,4028,13488,426,474,10,346507,9181,2020_04_08_11_00_03_GMT,North America,NA,CAN
Brazil,2020-04-07,14034,1851,686,122,127,13221,296,66,3,54824,258,2020_04_08_11_00_03_GMT,South America,NA,BRA
Austria,2020-04-07,12639,342,243,23,4046,8350,243,1403,27,115235,12795,2020_04_08_11_00_03_GMT,Europe,NA,AUT
Portugal,2020-04-07,12442,712,345,34,184,11913,271,1220,34,121256,11892,2020_04_08_11_00_03_GMT,Europe,NA,PRT
S. Korea,2020-04-07,10331,47,192,6,6694,3445,55,202,4,477304,9310,2020_04_08_11_00_03_GMT,Asia,NA,KOR
Israel,2020-04-07,9248,344,65,8,770,8413,149,1068,8,117339,13557,2020_04_08_11_00_03_GMT,Asia,NA,ISR
Sweden,2020-04-07,7693,487,591,114,205,6897,640,762,59,54700,5416,2020_04_08_11_00_03_GMT,Europe,NA,SWE
Russia,2020-04-07,7497,1154,58,11,494,6945,8,51,0.4,795000,5448,2020_04_08_11_00_03_GMT,Europe,NA,RUS
Norway,2020-04-07,6086,221,89,13,32,5965,78,1123,16,113896,21009,2020_04_08_11_00_03_GMT,Europe,NA,NOR
Australia,2020-04-07,5988,93,49,4,2547,3392,93,235,2,310700,12184,2020_04_08_11_00_03_GMT,Australia/Oceania,NA,AUS
Ireland,2020-04-07,5709,345,210,36,25,5474,165,1156,43,42484,8604,2020_04_08_11_00_03_GMT,Europe,NA,IRL
India,2020-04-07,5351,573,160,24,468,4723,NA,4,0.1,140293,102,2020_04_08_11_00_03_GMT,Asia,NA,IND
Chile,2020-04-07,5116,301,43,6,898,4175,337,268,2,57122,2988,2020_04_08_11_00_03_GMT,South America,NA,CHL
Denmark,2020-04-07,5071,390,203,16,1491,3377,127,875,35,58419,10086,2020_04_08_11_00_03_GMT,Europe,NA,DNK
Czechia,2020-04-07,5017,195,88,10,172,4757,86,468,8,91247,8521,2020_04_08_11_00_03_GMT,Europe,NA,CZE
Poland,2020-04-07,4848,435,129,22,191,4528,50,128,3,92215,2437,2020_04_08_11_00_03_GMT,Europe,NA,POL
Romania,2020-04-07,4417,360,197,21,460,3760,274,230,10,43578,2265,2020_04_08_11_00_03_GMT,Europe,NA,ROU
Japan,2020-04-07,4257,351,93,1,622,3542,80,34,0.7,55311,437,2020_04_08_11_00_03_GMT,Asia,NA,JPN
Pakistan,2020-04-07,4035,269,57,4,429,3549,28,18,0.3,39183,177,2020_04_08_11_00_03_GMT,Asia,NA,PAK
Ecuador,2020-04-07,3995,248,220,29,140,3635,156,226,12,14406,817,2020_04_08_11_00_03_GMT,South America,NA,ECU
Malaysia,2020-04-07,3963,170,63,1,1321,2579,92,122,2,55566,1717,2020_04_08_11_00_03_GMT,Asia,NA,MYS
