#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"8,228,296","+127,811","159,067","+1,851","6,635,227","+94,907","1,434,002","19,238",,,,,,Asia,,,
NA,North America,"7,833,737","+48,572","285,679","+1,803","4,741,974","+42,688","2,806,084","18,471",,,,,,North America,,,
NA,South America,"6,934,827","+72,970","223,972","+1,699","5,645,658","+81,322","1,065,197","15,185",,,,,,South America,,,
NA,Europe,"3,953,939","+45,017","211,562",+416,"2,210,798","+12,658","1,531,579","6,352",,,,,,Europe,,,
NA,Africa,"1,336,407","+8,144","32,178",+216,"1,072,778","+9,125","231,451","1,500",,,,,,Africa,,,
NA,Oceania,"29,727",+56,819,+7,"25,541",+182,"3,367",31,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"28,317,654","+302,570","913,292","+5,992","20,332,627","+240,882","7,071,735","60,781","3,633",117.2,,,,All,,,
1,China,"85,153",+7,"4,634",,"80,358",+11,161,3,59,3,"160,000,000","111,163","1,439,323,776",Asia,"16,903","310,601",9
2,USA,"6,588,163","+38,811","196,328","+1,090","3,879,960","+33,865","2,511,875","14,506","19,881",592,"89,984,789","271,543","331,383,397",North America,50,"1,688",4
3,India,"4,559,725","+96,760","76,304","+1,213","3,539,983","+70,899","943,438","8,944","3,298",55,"52,934,433","38,285","1,382,641,407",Asia,303,"18,120",26
4,Brazil,"4,239,763","+40,431","129,575",+922,"3,497,337","+44,001","612,851","8,318","19,919",609,"14,408,116","67,690","212,854,962",South America,50,"1,643",15
5,Russia,"1,046,370","+5,363","18,263",+128,"862,373","+5,915","165,734","2,300","7,170",125,"39,500,000","270,646","145,946,887",Europe,139,"7,991",4
6,Peru,"710,067","+7,291","30,344",+108,"544,745","+7,786","134,978","1,460","21,478",918,"3,457,205","104,573","33,060,253",South America,47,"1,090",10
