#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"1,226,631","+32,404","32,465",+634,"748,508","+17,618","445,658","14,502",,,,,,Asia,,,
NA,North America,"2,147,555","+26,769","128,837","+1,683","837,651","+46,517","1,181,067","19,314",,,,,,North America,,,
NA,South America,"985,724","+39,994","44,274","+1,616","466,014","+71,355","475,436","11,404",,,,,,South America,,,
NA,Europe,"2,028,241","+17,092","176,445",+888,"1,027,854","+14,800","823,942","8,538",,,,,,Europe,,,
NA,Africa,"164,985","+5,147","4,627",+107,"72,380","+3,395","87,978",435,,,,,,Africa,,,
NA,Oceania,"8,839",+8,124,,"8,222",+14,493,5,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"6,562,696","+121,414","386,787","+4,928","3,161,280","+153,699","3,014,629","54,202",842,49.6,,,,All,,,
1,China,"83,021",,"4,634",,"78,314",,73,3,58,3,,,"1,439,323,776",Asia,"17,337","310,601",
2,USA,"1,901,783","+20,578","109,142","+1,083","688,670","+42,696","1,103,971","16,939","5,748",330,"19,096,671","57,718","330,859,357",North America,174,"3,031",17
3,Brazil,"583,980","+27,312","32,547","+1,269","266,132","+25,505","285,301","8,318","2,749",153,"930,013","4,378","212,446,884",South America,364,"6,527",228
4,Russia,"432,277","+8,536","5,215",+178,"195,957","+8,972","231,105","2,300","2,962",36,"11,426,045","78,298","145,930,019",Europe,338,"27,983",13
5,Spain,"287,406",+394,"27,128",+1,N/A,N/A,N/A,617,"6,147",580,"4,063,843","86,921","46,753,492",Europe,163,"1,723",12
6,UK,"279,856","+1,871","39,728",+359,N/A,N/A,N/A,"1,559","4,124",585,"4,786,219","70,531","67,859,798",Europe,242,"1,708",14
7,Italy,"233,836",+321,"33,601",+71,"160,938",+846,"39,297",353,"3,867",556,"3,999,591","66,144","60,468,053",Europe,259,"1,800",15
8,India,"216,824","+9,633","6,088",+259,"104,071","+3,786","106,665","8,944",157,4,"4,103,233","2,976","1,378,974,417",Asia,"6,360","226,507",336
9,Germany,"184,425",+334,"8,699",+25,"167,300",+900,"8,426",632,"2,202",104,"4,348,880","51,918","83,764,536",Europe,454,"9,629",19
10,Peru,"178,914","+4,030","4,894",+127,"72,319","+3,062","101,701",964,"5,432",149,"1,115,615","33,872","32,935,983",South America,184,"6,730",30
11,Turkey,"166,422",+867,"4,609",+24,"130,852",+931,"30,961",612,"1,975",55,"2,155,349","25,577","84,269,726",Asia,506,"18,284",39
12,Iran,"160,696","+3,134","8,012",+70,"125,206","+2,129","27,478","2,557","1,915",95,"997,009","11,882","83,909,638",Asia,522,"10,473",84
13,France,"151,677",+352,"29,021",+81,"69,455",+643,"53,201","1,210","2,324",445,"1,384,633","21,216","65,263,122",Europe,430,"2,249",47
14,Chile,"113,628","+4,942","1,275",+87,"86,173","+41,227","26,180","1,446","5,948",67,"628,318","32,890","19,103,852",South America,168,"14,983",30
15,Mexico,"97,326","+3,891","10,637",+470,"70,308","+2,817","16,381",378,755,83,"293,078","2,275","128,829,434",North America,"1,324","12,111",440
16,Canada,"93,085",+675,"7,498",+103,"51,048",+691,"34,539","1,721","2,468",199,"1,755,926","46,555","37,717,219",North America,405,"5,030",21
17,Saudi Arabia,"91,182","+2,171",579,+30,"68,159","+2,369","22,444","1,321","2,622",17,"870,963","25,049","34,771,048",Asia,381,"60,054",40
18,Pakistan,"80,463","+4,065","1,688",+67,"28,923","+1,813","49,852",111,365,8,"595,344","2,699","220,544,600",Asia,"2,741","130,654",370
19,Qatar,"62,160","+1,901",45,+2,"37,542","+1,506","24,573",237,"22,138",16,"236,437","84,207","2,807,805",Asia,45,"62,396",12
20,Belgium,"58,685",+70,"9,522",+17,"15,959",+25,"33,204",172,"5,065",822,"884,386","76,333","11,585,939",Europe,197,"1,217",13
21,Bangladesh,"55,140","+2,695",746,+37,"11,590",+470,"42,804",1,335,5,"345,583","2,100","164,564,713",Asia,"2,984","220,596",476
22,Netherlands,"46,733",+86,"5,977",+10,N/A,N/A,N/A,116,"2,728",349,"368,529","21,511","17,132,145",Europe,367,"2,866",46
23,Belarus,"45,116",+861,248,+5,"20,171",+976,"24,697",92,"4,774",26,"573,699","60,712","9,449,542",Europe,209,"38,103",16
24,Ecuador,"40,966",+552,"3,486",+48,"20,019",,"17,461",252,"2,325",198,"119,375","6,774","17,621,950",South America,430,"5,055",148
25,Sweden,"40,803","+2,214","4,542",+74,N/A,N/A,N/A,308,"4,042",450,"275,500","27,292","10,094,604",Europe,247,"2,223",37
26,South Africa,"37,525","+1,713",792,+37,"19,682","+1,369","17,051",208,633,13,"785,979","13,265","59,250,820",Africa,"1,579","74,812",75
27,Singapore,"36,405",+569,24,,"23,582",+407,"12,799",5,"6,226",4,"408,495","69,865","5,846,897",Asia,161,"243,621",14
28,UAE,"36,359",+571,270,+1,"19,153",+427,"16,936",1,"3,680",27,"2,145,493","217,129","9,881,188",Asia,272,"36,597",5
29,Colombia,"33,354","+1,521","1,045",+36,"12,288","+1,146","20,021",136,656,21,"362,432","7,129","50,841,482",South America,"1,524","48,652",140
30,Portugal,"33,261",+366,"1,447",+11,"20,079",+210,"11,735",56,"3,261",142,"847,181","83,067","10,198,769",Europe,307,"7,048",12
31,Switzerland,"30,893",+19,"1,921",+1,"28,600",+100,372,25,"3,571",222,"404,071","46,714","8,649,901",Europe,280,"4,503",21
32,Kuwait,"29,359",+710,230,+4,"15,750","+1,469","13,379",191,"6,883",54,"303,285","71,100","4,265,609",Asia,145,"18,546",14
33,Egypt,"28,615","+1,079","1,088",+36,"7,350",+523,"20,177",41,280,11,"135,000","1,321","102,178,508",Africa,"3,571","93,914",757
34,Indonesia,"28,233",+684,"1,698",+35,"8,406",+471,"18,129",,103,6,"354,434","1,297","273,302,908",Asia,"9,680","160,956",771
35,Ireland,"25,111",+45,"1,659",+1,"22,698",+609,754,36,"5,090",336,"348,416","70,622","4,933,560",Europe,196,"2,974",14
36,Ukraine,"24,823",+483,735,+8,"10,440",+362,"13,648",292,567,17,"381,552","8,721","43,751,560",Europe,"1,763","59,526",115
37,Poland,"24,687",+292,"1,115",+23,"12,014",+288,"11,558",160,652,29,"967,177","25,553","37,849,522",Europe,"1,533","33,946",39
38,Philippines,"19,748",+751,974,+8,"4,153",+90,"14,621",78,180,9,"376,800","3,442","109,467,656",Asia,"5,543","112,390",291
39,Romania,"19,669",+152,"1,296",+8,"13,800",+274,"4,573",162,"1,022",67,"459,405","23,870","19,246,341",Europe,979,"14,851",42
40,Argentina,"19,268",+949,583,+14,"5,896",+187,"12,789",274,427,13,"172,947","3,829","45,164,434",South America,"2,344","77,469",261
41,Dominican Republic,"18,040",+288,516,+1,"11,224",+149,"6,300",110,"1,664",48,"86,285","7,960","10,839,641",North America,601,"21,007",126
42,Israel,"17,377",+92,291,+1,"14,983",+43,"2,103",28,"1,889",32,"593,499","64,528","9,197,590",Asia,529,"31,607",15
43,Afghanistan,"17,267",+758,294,+24,"1,522",+72,"15,451",19,444,8,"42,273","1,088","38,855,768",Asia,"2,250","132,162",919
44,Japan,"16,986",+56,900,+6,"14,771",+121,"1,315",101,134,7,"300,277","2,374","126,503,264",Asia,"7,448","140,559",421
45,Austria,"16,771",+12,670,+1,"15,672",+43,429,21,"1,863",74,"462,958","51,425","9,002,608",Europe,537,"13,437",19
46,Panama,"14,609",+514,357,+5,"9,519",+5,"4,733",75,"3,390",83,"69,483","16,124","4,309,396",North America,295,"12,071",62
47,Oman,"13,538",+739,67,+8,"2,845",+33,"10,626",31,"2,657",13,"100,181","19,660","5,095,664",Asia,376,"76,055",51
48,Bahrain,"12,815",+504,20,+1,"7,410",+3,"5,385",10,"7,555",12,"335,895","198,020","1,696,267",Asia,132,"84,813",5
49,Kazakhstan,"11,796",+225,48,+4,"6,240",+299,"5,508",62,629,3,"867,286","46,232","18,759,403",Asia,"1,590","390,821",22
50,Denmark,"11,771",+37,580,,"10,552",+63,639,20,"2,033",100,"657,999","113,630","5,790,721",Europe,492,"9,984",9
51,S. Korea,"11,590",+49,273,+1,"10,467",+21,850,15,226,5,"956,852","18,664","51,266,042",Asia,"4,423","187,788",54
52,Serbia,"11,523",+69,245,,"6,852",+86,"4,426",12,"1,318",28,"257,242","29,433","8,739,790",Europe,758,"35,673",34
53,Nigeria,"11,166",+347,315,+1,"3,329",+89,"7,522",7,54,2,"69,801",339,"205,710,189",Africa,"18,423","653,048","2,947"
54,Bolivia,"10,991",+460,376,+33,"1,298",+161,"9,317",3,943,32,"28,239","2,422","11,660,610",South America,"1,061","31,012",413
55,Armenia,"10,524",+515,170,+12,"3,454",+27,"6,900",10,"3,552",57,"61,650","20,808","2,962,846",Asia,282,"17,429",48
56,Algeria,"9,733",+107,673,+6,"6,218",+151,"2,842",32,222,15,,,"43,787,434",Africa,"4,499","65,063",
57,Czechia,"9,438",+74,324,+1,"6,749",+63,"2,365",12,881,30,"454,397","42,437","10,707,556",Europe,"1,135","33,048",24
58,Moldova,"8,795",+247,310,+3,"4,863",+125,"3,622",248,"2,180",77,"57,003","14,128","4,034,616",Europe,459,"13,015",71
59,Ghana,"8,548",+251,38,,"3,132",+146,"5,378",3,276,1,"218,425","7,041","31,019,835",Africa,"3,629","816,311",142
60,Norway,"8,477",+22,237,,"7,727",,513,6,"1,565",44,"250,968","46,321","5,418,068",Europe,639,"22,861",22
61,Iraq,"8,168",+781,256,+21,"4,095",+587,"3,817",46,203,6,"238,251","5,934","40,147,813",Asia,"4,915","156,827",169
62,Malaysia,"7,970",+93,115,,"6,531",+61,"1,324",6,246,4,"560,738","17,342","32,333,861",Asia,"4,057","281,164",58
63,Morocco,"7,922",+56,206,,"6,866",+456,850,13,215,6,"247,824","6,720","36,876,878",Africa,"4,655","179,014",149
64,Australia,"7,229",+8,102,,"6,640",+14,487,5,284,4,"1,512,700","59,375","25,477,145",Australia/Oceania,"3,524","249,776",17
65,Finland,"6,911",+24,321,+1,"5,500",,"1,090",7,"1,247",58,"192,800","34,801","5,540,104",Europe,802,"17,259",29
66,Cameroon,"6,585",,200,,"3,676",,"2,709",28,249,8,,,"26,490,288",Africa,"4,023","132,451",
67,Azerbaijan,"6,260",+325,76,+5,"3,665",+101,"2,519",42,618,8,"315,527","31,141","10,132,279",Asia,"1,619","133,319",32
68,Guatemala,"5,586",+250,123,+7,824,+29,"4,639",5,312,7,"31,427","1,757","17,888,866",North America,"3,202","145,438",569
69,Honduras,"5,527",+165,225,+8,563,+14,"4,739",13,559,23,"14,790","1,495","9,892,136",North America,"1,790","43,965",669
70,Sudan,"5,499",+189,314,+7,"1,711",+86,"3,474",,126,7,401,9,"43,764,035",Africa,"7,959","139,376","109,137"
71,Tajikistan,"4,191",+91,48,+1,"2,347",+130,"1,796",,440,5,,,"9,519,918",Asia,"2,272","198,332",
72,Luxembourg,"4,024",+4,110,,"3,861",+13,53,2,"6,437",176,"79,484","127,140","625,170",Europe,155,"5,683",8
73,Djibouti,"3,935",+156,26,+1,"1,636",+29,"2,273",,"3,987",26,"30,394","30,798","986,873",Africa,251,"37,957",32
74,Guinea,"3,933",+47,23,,"2,332",+65,"1,578",24,300,2,"14,407","1,100","13,102,388",Africa,"3,331","569,669",909
75,Senegal,"3,932",+96,45,+2,"2,063",+109,"1,824",17,235,3,"46,288","2,771","16,706,455",Africa,"4,249","371,255",361
76,Hungary,"3,931",+10,534,+2,"2,190",+30,"1,207",24,407,55,"191,572","19,827","9,662,056",Europe,"2,458","18,094",50
77,Uzbekistan,"3,843",+83,16,+1,"3,014",+106,813,11,115,0.5,"460,000","13,760","33,431,174",Asia,"8,699","2,089,448",73
78,DRC,"3,495",+169,75,+3,492,+10,"2,928",,39,0.8,,,"89,323,912",Africa,"25,558","1,190,985",
79,Ivory Coast,"3,110",+86,35,+2,"1,530",+29,"1,545",,118,1,"28,522","1,084","26,323,384",Africa,"8,464","752,097",923
80,Thailand,"3,084",+1,58,,"2,968",+2,58,1,44,0.8,"420,529","6,026","69,787,353",Asia,"22,629","1,203,230",166
81,Greece,"2,937",,179,,"1,374",,"1,384",11,282,17,"185,590","17,800","10,426,532",Europe,"3,550","58,249",56
82,Gabon,"2,902",+99,20,,801,+22,"2,081",15,"1,306",9,"14,122","6,357","2,221,355",Africa,765,"111,068",157
83,El Salvador,"2,705",+52,49,+3,"1,179",+63,"1,477",51,417,8,"96,647","14,906","6,483,803",North America,"2,397","132,323",67
84,Bulgaria,"2,560",+22,146,+2,"1,206",+83,"1,208",9,368,21,"84,261","12,120","6,951,948",Europe,"2,716","47,616",83
85,Bosnia and Herzegovina,"2,551",+16,157,,"1,939",+29,455,4,777,48,"67,952","20,703","3,282,199",Europe,"1,287","20,906",48
86,Haiti,"2,507",+281,48,+3,24,,"2,435",,220,4,"5,562",488,"11,391,801",North America,"4,544","237,329","2,048"
87,North Macedonia,"2,492",+101,145,+4,"1,605",+10,742,34,"1,196",70,"32,161","15,437","2,083,380",Europe,836,"14,368",65
88,Nepal,"2,300",+201,9,+1,278,+12,"2,013",,79,0.3,"200,646","6,896","29,094,730",Asia,"12,650","3,232,748",145
89,Croatia,"2,246",,103,,"2,095",+7,48,4,547,25,"67,814","16,512","4,106,980",Europe,"1,829","39,874",61
90,Kenya,"2,216",+123,74,+3,553,+54,"1,589",7,41,1,"85,058","1,585","53,673,567",Africa,"24,221","725,318",631
91,Somalia,"2,146",+57,79,,406,+45,"1,661",2,135,5,,,"15,855,179",Africa,"7,388","200,698",
92,Cuba,"2,107",+15,83,,"1,830",+3,194,4,186,7,"110,349","9,742","11,327,103",North America,"5,376","136,471",103
93,Mayotte,"1,993",+7,24,,"1,523",+50,446,9,"7,320",88,"7,600","27,914","272,264",Africa,137,"11,344",36
94,Venezuela,"1,952",+133,20,+2,334,,"1,598",,69,0.7,"995,522","35,002","28,441,527",South America,"14,570","1,422,076",29
95,Estonia,"1,880",+10,69,+1,"1,650",+18,161,,"1,417",52,"86,000","64,834","1,326,472",Europe,706,"19,224",15
96,Kyrgyzstan,"1,871",+26,20,+3,"1,265",+46,586,5,287,3,"119,124","18,283","6,515,639",Asia,"3,482","325,782",55
97,Maldives,"1,850",+9,7,,644,+36,"1,199",9,"3,427",13,"11,775","21,814","539,782",Asia,292,"77,112",46
98,Iceland,"1,806",,10,,"1,794",,2,,"5,295",29,"61,355","179,885","341,079",Europe,189,"34,108",6
99,Sri Lanka,"1,735",+52,11,,836,+13,888,1,81,0.5,"68,204","3,186","21,406,699",Asia,"12,338","1,946,064",314
100,Lithuania,"1,684",+2,71,,"1,260",+11,353,17,618,26,"315,112","115,650","2,724,713",Europe,"1,618","38,376",9
101,Slovakia,"1,525",+3,28,,"1,375",+3,122,,279,5,"181,629","33,269","5,459,454",Europe,"3,580","194,981",30
102,New Zealand,"1,504",,22,,"1,481",,1,,301,4,"283,525","56,681","5,002,100",Australia/Oceania,"3,326","227,368",18
103,Ethiopia,"1,486",+142,17,+3,246,+15,"1,223",6,13,0.1,"120,429","1,050","114,724,281",Africa,"77,203","6,748,487",953
104,Slovenia,"1,477",+2,109,,"1,358",,10,,710,52,"81,873","39,383","2,078,918",Europe,"1,408","19,073",25
105,Mali,"1,386",+35,79,+1,788,+19,519,,69,4,"3,483",172,"20,200,490",Africa,"14,575","255,702","5,800"
106,Guinea-Bissau,"1,339",,8,,53,,"1,278",,682,4,"1,500",764,"1,964,122",Africa,"1,467","245,515","1,309"
107,Equatorial Guinea,"1,306",,12,,200,,"1,094",,934,9,"8,268","5,910","1,398,900",Africa,"1,071","116,575",169
108,Lebanon,"1,256",+14,27,,724,+5,505,5,184,4,"88,310","12,934","6,827,539",Asia,"5,436","252,872",77
109,Albania,"1,184",+20,33,,898,+7,253,4,411,11,"15,365","5,339","2,878,018",Europe,"2,431","87,213",187
110,CAR,"1,173",+104,4,,23,,"1,146",,243,0.8,"15,881","3,293","4,823,052",Africa,"4,112","1,205,763",304
111,Costa Rica,"1,157",+52,10,,685,+3,462,5,227,2,"27,318","5,366","5,090,604",North America,"4,400","509,060",186
112,Nicaragua,"1,118",,46,,370,,702,,169,7,,,"6,618,484",North America,"5,920","143,880",
113,Hong Kong,"1,094",,4,,"1,039",+1,51,2,146,0.5,"202,930","27,085","7,492,419",Asia,"6,849","1,873,105",37
114,Zambia,"1,089",,7,,912,,170,1,59,0.4,"28,236","1,540","18,339,751",Africa,"16,841","2,619,964",650
115,Tunisia,"1,087",+1,49,+1,965,,73,1,92,4,"53,161","4,502","11,809,190",Africa,"10,864","241,004",222
116,Latvia,"1,079",+8,24,,760,,295,3,572,13,"112,965","59,847","1,887,558",Europe,"1,749","78,648",17
117,Paraguay,"1,070",+57,11,,511,+13,548,2,150,2,"33,081","4,642","7,125,773",South America,"6,660","647,798",215
118,South Sudan,994,,10,,6,,978,,89,0.9,"3,356",300,"11,183,630",Africa,"11,251","1,118,363","3,332"
119,Niger,961,+1,65,,857,+9,39,,40,3,"6,087",252,"24,127,274",Africa,"25,106","371,189","3,964"
120,Cyprus,958,+6,17,,790,,151,4,794,14,"117,411","97,299","1,206,704",Asia,"1,260","70,983",10
121,Sierra Leone,909,+13,47,+1,491,+11,371,,114,6,,,"7,963,749",Africa,"8,761","169,441",
122,Madagascar,908,+63,6,,195,+10,707,9,33,0.2,"11,954",433,"27,630,820",Africa,"30,430","4,605,137","2,311"
123,Burkina Faso,884,+3,53,,753,+33,78,,42,3,,,"20,854,250",Africa,"23,591","393,476",
124,Andorra,851,+7,51,,735,+2,65,7,"11,015",660,"3,750","48,540","77,256",Europe,91,"1,515",21
125,Uruguay,828,+2,23,,698,+7,107,4,238,7,"45,777","13,181","3,472,856",South America,"4,194","150,994",76
126,Chad,820,+17,66,,590,+28,164,,50,4,,,"16,385,212",Africa,"19,982","248,261",
127,Georgia,800,+4,13,,640,+6,147,6,201,3,"60,273","15,107","3,989,702",Asia,"4,987","306,900",66
128,Jordan,757,+2,9,,561,+12,187,5,74,0.9,"204,374","20,046","10,195,440",Asia,"13,468","1,132,827",50
129,Mauritania,745,+77,34,+3,57,+2,654,,161,7,"7,654","1,650","4,639,283",Africa,"6,227","136,450",606
130,Diamond Princess,712,,13,,651,,48,4,,,,,,,,,
131,San Marino,674,+2,42,,391,+7,241,1,"19,867","1,238","4,662","137,417","33,926",Europe,50,808,7
132,Malta,622,+2,9,,562,+8,51,1,"1,409",20,"71,723","162,468","441,458",Europe,710,"49,051",6
133,Congo,611,,20,,179,,412,,111,4,,,"5,506,685",Africa,"9,013","275,334",
134,Jamaica,590,+2,9,,356,+34,225,2,199,3,"13,407","4,529","2,960,223",North America,"5,017","328,914",221
135,Channel Islands,561,+1,46,,512,,3,,"3,229",265,"10,255","59,024","173,742",Europe,310,"3,777",17
136,French Guiana,533,+16,1,,254,+47,278,3,"1,788",3,,,"298,026",South America,559,"298,026",
137,Tanzania,509,,21,,183,,305,7,9,0.4,,,"59,587,676",Africa,"117,068","2,837,508",
138,Uganda,507,+18,,,82,,425,,11,,"96,825","2,123","45,614,034",Africa,"89,969",,471
139,Sao Tome and Principe,484,,12,,68,,404,,"2,212",55,175,800,"218,831",Africa,452,"18,236","1,250"
140,Réunion,478,+1,1,,411,,66,1,534,1,"17,200","19,221","894,836",Africa,"1,872","894,836",52
