#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"1,691,449","+37,330","43,660","+2,502","1,060,210","+41,911","587,579","16,022",,,,,,Asia,,,
NA,North America,"2,539,613","+31,582","147,134","+1,384","1,116,105","+19,236","1,276,374","19,469",,,,,,North America,,,
NA,South America,"1,513,688","+51,142","63,262","+1,721","806,979","+25,893","643,447","12,102",,,,,,South America,,,
NA,Europe,"2,235,212","+15,122","183,967",+752,"1,189,451","+14,544","861,794","6,492",,,,,,Europe,,,
NA,Africa,"261,581","+7,367","7,026",+233,"120,949","+4,219","133,606",500,,,,,,Africa,,,
NA,Oceania,"8,960",+14,124,,"8,442",+3,394,4,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"8,251,224","+142,557","445,188","+6,592","4,302,787","+105,806","3,503,249","54,593","1,059",57.1,,,,All,,,
1,China,"83,221",+40,"4,634",,"78,377",+7,210,3,58,3,,,"1,439,323,776",Asia,"17,295","310,601",
2,USA,"2,208,400","+25,450","119,132",+849,"903,041","+13,175","1,186,227","16,695","6,673",360,"25,729,368","77,749","330,928,170",North America,150,"2,778",13
3,Brazil,"928,834","+37,278","45,456","+1,338","464,774","+11,206","418,604","8,318","4,371",214,"1,628,482","7,663","212,500,470",South America,229,"4,675",130
4,Russia,"545,458","+8,248","7,284",+193,"294,306","+9,767","243,868","2,300","3,738",50,"15,395,417","105,497","145,932,234",Europe,268,"20,035",9
5,India,"354,161","+11,135","11,921","+2,006","187,552","+7,232","154,688","8,944",257,9,"5,921,069","4,292","1,379,455,941",Asia,"3,895","115,716",233
6,UK,"298,136","+1,279","41,969",+233,N/A,N/A,N/A,395,"4,393",618,"6,981,493","102,862","67,872,439",Europe,228,"1,617",10
7,Spain,"291,408",+219,"27,136",,N/A,N/A,N/A,617,"6,233",580,"4,826,516","103,232","46,754,133",Europe,160,"1,723",10
8,Italy,"237,500",+210,"34,405",+34,"178,526","+1,516","24,569",177,"3,928",569,"4,695,707","77,660","60,464,907",Europe,255,"1,757",13
9,Peru,"237,156","+4,164","7,056",+196,"125,205","+5,796","104,895","1,121","7,197",214,"1,396,605","42,383","32,952,301",South America,139,"4,670",24
10,Iran,"192,439","+2,563","9,065",+115,"152,675","+2,085","30,699","2,815","2,292",108,"1,293,609","15,410","83,947,823",Asia,436,"9,261",65
11,Germany,"188,382",+338,"8,910",+25,"173,100",+500,"6,372",419,"2,249",106,"4,694,147","56,033","83,774,027",Europe,445,"9,402",18
12,Chile,"184,449","+5,013","3,383",+21,"156,232","+7,440","24,834","1,727","9,652",177,"873,533","45,712","19,109,674",South America,104,"5,649",22
13,Turkey,"181,298","+1,467","4,842",+17,"153,379","+1,015","23,077",732,"2,151",57,"2,721,003","32,277","84,301,943",Asia,465,"17,411",31
14,France,"157,716",+344,"29,547",+111,"73,335",+291,"54,834",820,"2,416",453,"1,384,633","21,214","65,268,238",Europe,414,"2,209",47
15,Mexico,"150,264","+3,427","17,580",+439,"113,006","+4,896","19,678",378,"1,166",136,"415,097","3,221","128,877,519",North America,858,"7,331",310
16,Pakistan,"148,921","+4,443","2,839",+110,"56,390","+2,669","89,692",111,675,13,"922,665","4,181","220,697,198",Asia,"1,482","77,738",239
17,Saudi Arabia,"136,315","+4,267","1,052",+41,"89,540","+1,650","45,723","1,897","3,918",30,"1,144,282","32,891","34,790,318",Asia,255,"33,071",30
18,Canada,"99,467",+320,"8,213",+38,"61,443",+401,"29,811","1,971","2,636",218,"2,216,730","58,754","37,728,960",North America,379,"4,594",17
19,Bangladesh,"94,481","+3,862","1,262",+53,"36,264","+17,533","56,955",1,574,8,"533,717","3,242","164,622,947",Asia,"1,742","130,446",308
20,Qatar,"82,077","+1,201",80,+4,"60,461","+1,780","21,536",244,"29,232",28,"300,499","107,023","2,807,805",Asia,34,"35,098",9
21,South Africa,"76,334","+2,801","1,625",+57,"42,063","+2,196","32,646",208,"1,288",27,"1,148,933","19,382","59,277,377",Africa,777,"36,478",52
22,Belgium,"60,155",+55,"9,663",+2,"16,625",+15,"33,867",76,"5,191",834,"1,045,014","90,183","11,587,727",Europe,193,"1,199",11
23,Belarus,"55,369",+689,318,+6,"31,273",+853,"23,778",92,"5,860",34,"760,549","80,486","9,449,432",Europe,171,"29,715",12
24,Colombia,"54,931","+1,868","1,801",+75,"20,366",+414,"32,764",335,"1,080",35,"519,990","10,224","50,860,734",South America,926,"28,240",98
25,Sweden,"53,323",+940,"4,939",+48,N/A,N/A,N/A,272,"5,281",489,"325,000","32,188","10,096,837",Europe,189,"2,044",31
26,Netherlands,"49,087",+139,"6,070",+5,N/A,N/A,N/A,87,"2,865",354,"484,389","28,271","17,133,488",Europe,349,"2,823",35
27,Ecuador,"47,943",+621,"3,970",+41,"23,684",+335,"20,289",230,"2,719",225,"135,845","7,705","17,631,471",South America,368,"4,441",130
28,Egypt,"47,856","+1,567","1,766",+94,"12,730",+401,"33,360",41,468,17,"135,000","1,320","102,247,168",Africa,"2,137","57,898",757
29,UAE,"42,982",+346,293,+2,"28,861",+732,"13,828",1,"4,348",30,"2,626,000","265,643","9,885,431",Asia,230,"33,739",4
30,Singapore,"40,969",+151,26,,"31,163",+797,"9,780",2,"7,005",4,"488,695","83,559","5,848,529",Asia,143,"224,943",12
31,Indonesia,"40,400","+1,106","2,231",+33,"15,703",+580,"22,466",,148,8,"540,115","1,976","273,405,579",Asia,"6,767","122,548",506
32,Portugal,"37,336",+300,"1,522",+2,"23,212",+360,"12,602",71,"3,661",149,"1,006,563","98,705","10,197,718",Europe,273,"6,700",10
33,Kuwait,"36,958",+527,303,+5,"28,206",+675,"8,449",194,"8,660",71,"340,142","79,699","4,267,854",Asia,115,"14,085",13
34,Argentina,"34,159","+1,374",878,+24,"10,174",+283,"23,107",274,756,19,"245,059","5,424","45,179,151",South America,"1,323","51,457",184
35,Ukraine,"32,476",+666,912,+11,"14,528",+275,"17,036",319,742,21,"507,251","11,596","43,742,277",Europe,"1,347","47,963",86
36,Switzerland,"31,154",+23,"1,954",+15,"28,900",,300,15,"3,601",226,"465,722","53,827","8,652,146",Europe,278,"4,428",19
37,Poland,"30,195",+407,"1,272",+16,"14,654",+271,"14,269",80,798,34,"1,221,133","32,264","37,848,055",Europe,"1,253","29,755",31
38,Philippines,"26,781",+361,"1,103",+5,"6,552",+300,"19,126",417,245,10,"516,590","4,717","109,519,465",Asia,"4,089","99,292",212
39,Afghanistan,"26,310",+783,491,+13,"5,508",+344,"20,311",19,677,13,"59,172","1,522","38,886,984",Asia,"1,478","79,200",657
40,Ireland,"25,334",+13,"1,709",+3,"22,698",,927,28,"5,133",346,"386,572","78,325","4,935,518",Europe,195,"2,888",13
41,Oman,"25,269",+745,114,+6,"11,089","+1,556","14,066",105,"4,954",22,"145,670","28,561","5,100,291",Asia,202,"44,739",35
42,Dominican Republic,"23,686",+415,615,+10,"14,133",+108,"8,938",145,"2,184",57,"112,603","10,384","10,843,502",North America,458,"17,632",96
43,Iraq,"22,700","+1,385",712,+60,"9,862",+591,"12,126",148,565,18,"380,005","9,458","40,179,950",Asia,"1,770","56,433",106
44,Romania,"22,415",+250,"1,437",+10,"16,071",+254,"4,907",173,"1,165",75,"573,638","29,812","19,241,808",Europe,858,"13,390",34
45,Panama,"21,962",+540,457,+9,"13,774",+8,"7,731",107,"5,093",106,"93,646","21,718","4,311,810",North America,196,"9,435",46
46,Bahrain,"19,553",+540,47,+1,"13,866",+599,"5,640",27,"11,513",28,"438,080","257,940","1,698,380",Asia,87,"36,136",4
47,Israel,"19,495",+258,302,,"15,449",+34,"3,744",36,"2,120",33,"772,074","83,943","9,197,590",Asia,472,"30,456",12
48,Bolivia,"19,073",+614,632,+21,"3,430",+317,"15,011",71,"1,635",54,"47,372","4,061","11,666,267",South America,612,"18,459",246
49,Japan,"17,587",+85,927,+2,"15,701",+15,959,80,139,7,"344,526","2,724","126,489,572",Asia,"7,192","136,450",367
50,Armenia,"17,489",+425,293,+8,"6,571",+295,"10,625",10,"5,902",99,"85,556","28,874","2,963,042",Asia,169,"10,113",35
51,Austria,"17,189",+54,681,+3,"16,089",+23,419,12,"1,909",76,"532,700","59,160","9,004,430",Europe,524,"13,222",17
52,Nigeria,"17,148",+490,455,+31,"5,623",+274,"11,070",7,83,2,"96,402",468,"205,892,211",Africa,"12,007","452,510","2,136"
53,Kazakhstan,"15,192",+383,88,+7,"9,647",+271,"5,457",77,809,5,"1,159,989","61,809","18,767,378",Asia,"1,235","213,266",16
54,Serbia,"12,426",+59,256,+1,"11,511",,659,15,"1,422",29,"313,483","35,874","8,738,546",Europe,703,"34,135",28
55,Moldova,"12,254",+375,423,+12,"6,901",+107,"4,930",378,"3,037",105,"63,328","15,697","4,034,284",Europe,329,"9,537",64
56,Denmark,"12,250",+33,598,,"11,125",+35,527,9,"2,115",103,"823,249","142,149","5,791,444",Europe,473,"9,685",7
57,Ghana,"12,193",+229,58,+4,"4,326",+68,"7,809",6,393,2,"255,971","8,246","31,042,920",Africa,"2,546","535,223",121
58,S. Korea,"12,155",+34,278,+1,"10,760",+30,"1,117",15,237,5,"1,119,767","21,842","51,267,604",Asia,"4,218","184,416",46
59,Algeria,"11,147",+116,788,+11,"7,842",+107,"2,517",39,254,18,,,"43,815,597",Africa,"3,931","55,604",
60,Azerbaijan,"10,662",+338,126,+4,"5,948",+209,"4,588",66,"1,052",12,"386,898","38,172","10,135,522",Asia,951,"80,441",26
61,Guatemala,"10,272",+427,399,+15,"1,966",+80,"7,907",5,574,22,"31,427","1,756","17,900,654",North America,"1,743","44,864",570
62,Czechia,"10,111",+47,331,+1,"7,358",+62,"2,422",12,944,31,"501,765","46,858","10,708,259",Europe,"1,059","32,351",21
