#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
15,Belgium,"54,288",+307,"8,903",+60,"14,111","31,274",407,"4,687",769,"623,628","53,839","11,583,189",Europe
16,Saudi Arabia,"46,869","+2,039",283,+10,"19,051","27,535",156,"1,349",8,"513,587","14,783","34,741,400",Asia
17,Netherlands,"43,481",+270,"5,590",+28,N/A,N/A,410,"2,538",326,"282,776","16,508","17,130,079",Europe
18,Mexico,"40,186","+1,862","4,220",+294,"26,990","8,976",378,312,33,"142,204","1,104","128,755,457",North America
19,Chile,"37,040","+2,659",368,+22,"15,655","21,017",663,"1,940",19,"325,417","17,042","19,094,896",South America
20,Pakistan,"35,788",+490,770,+9,"9,695","25,323",111,162,3,"330,750","1,501","220,309,834",Asia
21,Ecuador,"30,502",+16,"2,338",+4,"3,433","24,731",196,"1,732",133,"88,923","5,050","17,607,301",South America
22,Switzerland,"30,463",+50,"1,872",+2,"27,100","1,491",79,"3,523",217,"328,163","37,954","8,646,448",Europe
23,Sweden,"28,582",+673,"3,529",+69,"4,971","20,082",351,"2,832",350,"177,500","17,590","10,091,169",Europe
24,Portugal,"28,319",+187,"1,184",+9,"3,198","23,937",108,"2,776",116,"582,341","57,090","10,200,387",Europe
25,Qatar,"28,272","+1,733",14,,"3,356","24,902",72,"9,835",5,"143,938","50,074","2,874,514",Asia
26,Belarus,"26,772",+947,151,+5,"8,168","18,453",92,"2,833",16,"308,156","32,610","9,449,712",Europe
27,Singapore,"26,098",+752,21,,"5,973","20,104",20,"4,465",4,"224,262","38,372","5,844,386",Asia
28,Ireland,"23,827",+426,"1,506",+9,"19,470","2,851",69,"4,833",305,"258,808","52,491","4,930,547",Europe
29,UAE,"21,084",+698,208,+2,"6,930","13,946",1,"2,135",21,"1,560,923","158,074","9,874,659",Asia
30,Bangladesh,"18,863","+1,041",283,+14,"3,603","14,977",1,115,2,"151,930",924,"164,475,123",Asia
31,Poland,"17,615",+411,883,+22,"6,696","10,036",160,465,23,"554,357","14,645","37,851,778",Europe
32,Ukraine,"16,847",+422,456,+17,"4,143","12,248",222,385,10,"202,495","4,627","43,765,842",Europe
33,Israel,"16,579",+31,265,+1,"12,521","3,793",62,"1,919",31,"485,922","56,258","8,637,437",Asia
34,Romania,"16,247",+245,"1,053",+17,"9,053","6,141",225,844,55,"286,217","14,866","19,253,316",Europe
35,Japan,"16,120",+71,697,+19,"9,868","5,555",259,127,6,"233,144","1,843","126,524,328",Asia
36,Austria,"16,058",+61,626,+2,"14,405","1,027",54,"1,784",70,"344,606","38,290","8,999,806",Europe
37,Indonesia,"16,006",+568,"1,043",+15,"3,518","11,445",,59,4,"173,690",636,"273,144,953",Asia
38,Colombia,"13,610",+680,525,+16,"3,358","9,727",130,268,10,"165,738","3,262","50,811,863",South America
39,South Africa,"12,739",+665,238,+19,"5,676","6,825",119,215,4,"403,018","6,807","59,209,961",Africa
40,Kuwait,"11,975",+947,88,+6,"3,451","8,436",175,"2,810",21,"231,930","54,416","4,262,156",Asia
41,Philippines,"11,876",+258,790,+18,"2,337","8,749",77,109,7,"189,469","1,732","109,387,948",Asia
42,Dominican Republic,"11,320",+124,422,+13,"3,351","7,547",131,"1,045",39,"47,774","4,410","10,833,701",North America
43,S. Korea,"10,991",+29,260,+1,"9,762",969,55,214,5,"711,484","13,879","51,263,639",Asia
44,Egypt,"10,829",+398,571,+15,"2,626","7,632",41,106,6,"105,000","1,029","102,072,877",Africa
45,Denmark,"10,713",+46,537,+4,"8,805","1,371",35,"1,850",93,"357,986","61,833","5,789,609",Europe
46,Serbia,"10,374",+79,224,+2,"4,084","6,066",22,"1,187",26,"162,797","18,623","8,741,704",Europe
47,Panama,"8,944",+161,256,+4,"6,067","2,621",87,"2,077",59,"45,873","10,654","4,305,682",North America
48,Czechia,"8,351",+82,293,+3,"5,241","2,817",42,780,27,"334,714","31,263","10,706,473",Europe
49,Norway,"8,196",+21,232,+3,32,"7,932",23,"1,513",43,"212,655","39,266","5,415,755",Europe
50,Argentina,"7,134",+255,353,+24,"2,385","4,396",170,158,8,"93,673","2,075","45,141,794",South America
51,Australia,"6,989",+9,98,,"6,301",590,18,274,4,"943,480","37,056","25,460,983",Australia/Oceania
52,Malaysia,"6,819",+40,112,+1,"5,351","1,356",16,211,3,"271,721","8,409","32,311,201",Asia
53,Morocco,"6,607",+95,190,+2,"3,310","3,107",1,179,5,"77,922","2,114","36,852,978",Africa
54,Algeria,"6,442",+189,529,+7,"3,158","2,755",22,147,12,"6,500",149,"43,744,108",Africa
55,Bahrain,"6,198",+382,10,,"2,353","3,835",4,"3,661",6,"214,084","126,451","1,693,017",Asia
56,Finland,"6,145",+91,287,+3,"4,300","1,558",33,"1,109",52,"137,000","24,731","5,539,635",Europe
57,Afghanistan,"5,639",+413,136,+4,691,"4,812",7,145,4,"19,732",508,"38,807,744",Asia
58,Kazakhstan,"5,571",+154,32,,"2,531","3,008",31,297,2,"459,736","24,523","18,747,133",Asia
59,Moldova,"5,553",+147,194,+9,"2,228","3,131",251,"1,376",48,"20,447","5,067","4,035,126",Europe
60,Ghana,"5,530",+122,24,,674,"4,832",5,178,0.8,"167,704","5,413","30,984,320",Africa
61,Nigeria,"5,162",+191,167,+3,"1,180","3,815",7,25,0.8,"30,657",149,"205,430,154",Africa
62,Oman,"4,341",+322,18,+1,"1,303","3,020",31,853,4,"61,000","11,988","5,088,544",Asia
63,Luxembourg,"3,915",+11,103,,"3,665",147,11,"6,268",165,"58,727","94,021","624,613",Europe
64,Armenia,"3,860",+142,49,+1,"1,572","2,239",10,"1,303",17,"36,016","12,157","2,962,544",Asia
65,Hungary,"3,380",+39,436,+6,"1,169","1,775",49,350,45,"123,258","12,755","9,663,390",Europe
66,Bolivia,"3,148",+184,142,+14,339,"2,667",3,270,12,"7,651",657,"11,651,907",South America
67,Iraq,"3,143",+111,115,,"2,028","1,000",,78,3,"140,573","3,506","40,098,372",Asia
68,Thailand,"3,018",+1,56,,"2,850",112,61,43,0.8,"286,008","4,099","69,777,809",Asia
69,Cameroon,"2,954",+154,139,+3,"1,553","1,262",28,112,5,,,"26,454,069",Africa
70,Azerbaijan,"2,879",+121,35,,"1,833","1,011",29,284,3,"214,291","21,160","10,127,290",Asia
71,Greece,"2,770",+10,156,+1,"1,374","1,240",24,266,15,"116,233","11,145","10,429,300",Europe
72,Uzbekistan,"2,645",+33,11,,"2,136",498,8,79,0.3,"325,000","9,729","33,404,657",Asia
73,Guinea,"2,473",+99,15,+1,895,"1,563",18,189,1,"10,304",788,"13,082,852",Africa
74,Honduras,"2,255",+175,123,+2,237,"1,895",10,228,12,"5,653",572,"9,883,522",North America
75,Croatia,"2,221",+8,94,,"1,850",277,7,541,23,"50,340","12,253","4,108,356",Europe
76,Bosnia and Herzegovina,"2,218",+37,122,+2,"1,272",824,4,676,37,"45,810","13,952","3,283,308",Europe
77,Senegal,"2,189",+84,23,+2,842,"1,324",6,131,1,"24,599","1,475","16,682,261",Africa
78,Bulgaria,"2,100",+31,99,+3,531,"1,470",51,302,14,"61,711","8,873","6,954,790",Europe
79,Ivory Coast,"1,971",+59,24,,930,"1,017",,75,0.9,"15,260",581,"26,287,582",Africa
80,Cuba,"1,830",+20,79,,"1,383",368,9,162,7,"75,142","6,634","11,327,480",North America
81,Sudan,"1,818",,90,,198,"1,530",,42,2,,,"43,707,940",Africa
82,Iceland,"1,802",,10,,"1,780",12,,"5,285",29,"55,626","163,146","340,958",Europe
83,Estonia,"1,758",+7,62,+1,909,787,5,"1,325",47,"67,130","50,610","1,326,423",Europe
84,North Macedonia,"1,723",+29,95,,"1,235",393,21,827,46,"20,088","9,642","2,083,385",Europe
85,Lithuania,"1,511",+6,54,,934,523,17,554,20,"208,253","76,373","2,726,772",Europe
86,New Zealand,"1,497",,21,,"1,411",65,2,311,4,"209,613","43,514","4,817,157",Australia/Oceania
87,Slovakia,"1,477",+8,27,,"1,112",338,5,271,5,"131,910","24,162","5,459,310",Europe
88,Slovenia,"1,464",+1,103,,267,"1,094",7,704,50,"66,678","32,074","2,078,902",Europe
89,Guatemala,"1,342",+143,29,+2,121,"1,192",5,75,2,"7,200",403,"17,870,731",North America
90,Somalia,"1,284",+65,53,+1,135,"1,096",2,81,3,,,"15,830,856",Africa
91,Djibouti,"1,284",+16,3,,905,376,,"1,302",3,"16,647","16,882","986,088",Africa
92,DRC,"1,242",+73,50,,157,"1,035",,14,0.6,,,"89,174,452",Africa
93,Mayotte,"1,210",+67,16,+2,627,567,10,"4,450",59,"5,000","18,389","271,903",Africa
94,El Salvador,"1,112",+75,23,+3,405,684,19,172,4,"48,913","7,546","6,482,018",North America
95,Gabon,"1,104",+100,10,+1,182,912,13,498,5,"5,530","2,493","2,218,477",Africa
96,Kyrgyzstan,"1,082",+38,12,,735,335,13,166,2,"59,490","9,139","6,509,752",Asia
97,Hong Kong,"1,052",+1,4,,"1,009",39,1,140,0.5,"168,291","22,471","7,489,099",Asia
98,Tunisia,"1,032",,45,,770,217,3,87,4,"36,523","3,095","11,802,436",Africa
99,Maldives,982,+27,4,,45,933,2,"1,821",7,"11,775","21,835","539,261",Asia
100,Latvia,962,+11,19,,627,316,2,509,10,"83,275","44,091","1,888,690",Europe
101,Sri Lanka,925,+32,9,,445,471,1,43,0.4,"39,629","1,852","21,401,804",Asia
102,Guinea-Bissau,913,+77,3,,26,884,,465,2,"1,500",765,"1,961,573",Africa
103,Tajikistan,907,+106,29,+6,,878,,95,3,,,"9,508,183",Asia
104,Cyprus,907,+2,17,,481,409,10,752,14,"81,942","67,933","1,206,224",Asia
105,Albania,898,+18,31,,694,173,1,312,11,"11,239","3,905","2,878,189",Europe
106,Lebanon,886,+8,26,,236,624,4,130,4,"56,385","8,256","6,829,201",Asia
107,Niger,876,+16,50,+1,677,149,,36,2,"5,723",238,"24,079,100",Africa
108,Costa Rica,830,+15,8,+1,535,287,4,163,2,"18,388","3,614","5,088,065",North America
109,Mali,779,+21,46,+2,436,297,,39,2,"2,498",124,"20,168,486",Africa
110,Burkina Faso,773,,51,,592,130,,37,2,,,"20,822,813",Africa
111,Andorra,761,+1,49,,596,116,3,"9,851",634,"1,673","21,657","77,249",Europe
112,Kenya,758,+21,42,+2,284,432,1,14,0.8,"36,918",689,"53,608,695",Africa
113,Paraguay,754,+14,11,,184,559,,106,2,"18,184","2,554","7,120,986",South America
114,Uruguay,724,+5,19,,547,158,7,209,5,"31,209","8,988","3,472,200",South America
115,Diamond Princess,712,,13,,651,48,4,,,,,,
116,Georgia,667,+20,12,+1,383,272,6,167,3,"34,500","8,646","3,990,118",Asia
117,Zambia,654,+208,7,,124,523,1,36,0.4,"15,487",846,"18,311,507",Africa
118,San Marino,648,+5,41,,172,435,1,"19,103","1,209","3,300","97,282","33,922",Europe
119,Jordan,586,+4,9,,393,184,5,58,0.9,"131,985","12,953","10,189,909",Asia
120,Equatorial Guinea,583,+61,7,+1,13,563,,418,5,854,612,"1,396,368",Africa
121,Channel Islands,549,+1,43,,456,50,,"3,161",248,"5,342","30,762","173,654",Europe
122,Malta,522,+14,6,,443,73,1,"1,183",14,"45,967","104,141","441,394",Europe
123,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,494,330",Africa
124,Jamaica,509,+2,9,,118,382,,172,3,"7,780","2,629","2,959,518",North America
125,Venezuela,455,+15,10,,220,225,2,16,0.4,"535,742","18,834","28,445,910",South America
126,Taiwan,440,,7,,383,50,,18,0.3,"68,335","2,870","23,811,335",Asia
127,Réunion,440,+1,,,354,86,4,492,,"17,200","19,229","894,487",Africa
128,Sierra Leone,408,+21,26,,97,285,,51,3,,,"7,954,868",Africa
129,Chad,399,+27,46,+4,83,270,,24,3,,,"16,359,351",Africa
130,Congo,391,+58,15,+4,87,289,,71,3,,,"5,499,241",Africa
131,Palestine,375,,2,,310,63,,74,0.4,"43,566","8,567","5,085,052",Asia
132,Benin,339,+12,2,,83,254,,28,0.2,"25,471","2,109","12,078,851",Africa
133,Isle of Man,332,,23,,285,24,20,"3,907",271,"3,973","46,755","84,975",Europe
134,Mauritius,332,,10,,322,0,,261,8,"69,773","54,874","1,271,502",Africa
135,Montenegro,324,,9,,309,6,2,516,14,"10,167","16,188","628,056",Europe
136,Cabo Verde,315,+26,2,,67,246,,567,4,791,"1,425","555,195",Africa
137,Vietnam,312,+24,,,260,52,2,3,,"275,000","2,829","97,224,670",Asia
138,Rwanda,287,,,,168,119,,22,,"45,140","3,497","12,907,635",Africa
139,Ethiopia,272,+9,5,,108,159,,2,0.04,"45,278",395,"114,568,201",Africa
140,Nepal,249,+6,,,35,214,,9,,"81,685","2,810","29,066,056",Asia
141,Togo,238,+19,11,,96,131,,29,1,"11,796","1,429","8,251,932",Africa
142,Sao Tome and Principe,235,+15,7,+1,4,224,,"1,075",32,175,801,"218,608",Africa
143,Haiti,234,+15,18,,17,199,,21,2,"1,408",124,"11,384,207",North America
144,Madagascar,230,+18,,,108,122,1,8,,"5,670",205,"27,591,793",Africa
145,Liberia,215,+2,20,,105,90,,43,4,,,"5,041,262",Africa
146,South Sudan,203,,,,3,200,,18,,"3,356",300,"11,176,461",Africa
147,Martinique,189,,14,,91,84,2,504,37,,,"375,301",North America
148,Eswatini,187,,2,,51,134,,161,2,"2,262","1,952","1,158,593",Africa
149,Faeroe Islands,187,,,,187,0,,"3,829",,"8,638","176,867","48,839",Europe
150,Myanmar,181,,6,,84,91,,3,0.1,"12,482",230,"54,362,812",Asia
151,French Guiana,164,+11,1,,124,39,,551,3,,,"297,602",South America
152,Uganda,160,+21,,,63,97,,4,,"67,559","1,484","45,534,716",Africa
153,Guadeloupe,155,,13,,109,33,4,387,32,,,"400,115",North America
154,Gibraltar,147,,,,144,3,,"4,363",,"4,750","140,983","33,692",Europe
155,CAR,143,,,,10,133,,30,,"3,498",726,"4,818,458",Africa
156,Brunei,141,,1,,134,6,2,323,2,"16,523","37,816","436,933",Asia
157,Bermuda,122,+1,9,+1,66,47,2,"1,958",144,"4,691","75,290","62,306",North America
158,Cambodia,122,,,,121,1,1,7,,"14,461",867,"16,688,259",Asia
159,Trinidad and Tobago,116,,8,,107,1,,83,6,"2,516","1,799","1,398,913",North America
160,Mozambique,115,+11,,,35,80,,4,,"5,119",164,"31,132,211",Africa
161,Guyana,113,,10,,42,61,3,144,13,"1,052","1,338","786,067",South America
162,Aruba,101,,3,,93,5,4,947,28,"1,937","18,152","106,708",North America
163,Bahamas,96,+2,11,,41,44,1,244,28,"1,700","4,328","392,754",North America
164,Monaco,96,,4,,87,5,1,"2,449",102,,,"39,206",Europe
165,Cayman Islands,93,+7,1,,54,38,3,"1,417",15,"5,342","81,408","65,620",North America
166,Yemen,85,+15,12,,1,72,,3,0.4,120,4,"29,735,785",Asia
167,Barbados,85,,7,,65,13,4,296,24,"3,480","12,111","287,331",North America
168,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,613","38,114",Europe
169,Sint Maarten,76,,15,,46,15,7,"1,775",350,329,"7,685","42,812",North America
170,Libya,64,,3,,28,33,,9,0.4,"3,253",474,"6,858,905",Africa
171,Malawi,63,,3,,24,36,1,3,0.2,"1,363",72,"19,061,013",Africa
172,Mongolia,61,+19,,,15,46,2,19,,"10,162","3,106","3,271,218",Asia
173,French Polynesia,60,,,,59,1,,214,,"3,170","11,293","280,700",Australia/Oceania
174,Syria,48,,3,,29,16,,3,0.2,,,"17,441,746",Asia
175,Angola,48,+3,2,,14,32,,1,0.06,"6,136",188,"32,720,557",Africa
176,Macao,45,,,,43,2,1,69,,,,"648,161",Asia
177,Saint Martin,39,,3,,30,6,1,"1,011",78,,,"38,577",North America
178,Eritrea,39,,,,38,1,,11,,,,"3,539,907",Africa
179,Zimbabwe,37,,4,,13,20,,2,0.3,"36,081","2,432","14,834,125",Africa
180,Nicaragua,25,,8,,7,10,,4,1,,,"6,614,179",North America
181,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,"1,871","97,824",North America
182,Botswana,24,,1,,17,6,,10,0.4,"11,495","4,902","2,345,158",Africa
183,Timor-Leste,24,,,,21,3,,18,,738,561,"1,315,040",Asia
184,Gambia,23,,1,,10,12,,10,0.4,"1,341",557,"2,407,111",Africa
185,Grenada,21,,,,14,7,4,187,,"2,419","21,511","112,456",North America
186,Mauritania,20,+5,2,,7,11,,4,0.4,"2,015",435,"4,632,582",Africa
187,Bhutan,20,+9,,,5,15,,26,,"12,932","16,784","770,494",Asia
188,Laos,19,,,,14,5,,3,,"4,092",564,"7,261,510",Asia
189,Belize,18,,2,,16,0,,45,5,"1,043","2,630","396,653",North America
190,Fiji,18,,,,14,4,,20,,"1,300","1,452","895,606",Australia/Oceania
191,New Caledonia,18,,,,18,0,,63,,"5,454","19,127","285,140",Australia/Oceania
192,Saint Lucia,18,,,,18,0,,98,,727,"3,961","183,520",North America
193,St. Vincent Grenadines,17,,,,12,5,,153,,155,"1,398","110,895",North America
194,Curaçao,16,,1,,14,1,,98,6,389,"2,372","164,007",North America
195,Dominica,16,,,,15,1,,222,,420,"5,836","71,963",North America
196,Namibia,16,,,,12,4,,6,,"2,011",793,"2,534,689",Africa
197,Burundi,15,,1,,7,7,,1,0.08,284,24,"11,840,584",Africa
198,Saint Kitts and Nevis,15,,,,14,1,,282,,327,"6,152","53,150",North America
199,Falkland Islands,13,,,,13,0,,"3,751",,402,"115,984","3,466",South America
200,Turks and Caicos,12,,1,,10,1,,310,26,109,"2,820","38,648",North America
201,Vatican City,12,,,,2,10,,"14,981",,,,801,Europe
202,Comoros,11,,1,,3,7,,13,1,,,"867,066",Africa
203,Montserrat,11,,1,,8,2,1,"2,204",200,36,"7,212","4,992",North America
204,Greenland,11,,,,11,0,,194,,"1,579","27,820","56,758",North America
205,Seychelles,11,,,,10,1,,112,,,,"98,269",Africa
206,Suriname,10,,1,,9,0,,17,2,404,689,"585,948",South America
207,MS Zaandam,9,,2,,,7,,,,,,,
208,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,924,052",Australia/Oceania
209,British Virgin Islands,7,,1,,4,2,,232,33,167,"5,529","30,205",North America
210,Caribbean Netherlands,6,,,,6,0,,229,,357,"13,631","26,191",North America
211,St. Barth,6,,,,6,0,,608,,,,"9,873",North America
212,Western Sahara,6,,,,6,0,,10,,,,"595,301",Africa
213,Anguilla,3,,,,3,0,,200,,,,"14,986",North America
214,Lesotho,1,,,,,1,,0.5,,,,"2,140,050",Africa
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797",North America
NA,Total:,"738,958","+18,075","23,592",+333,"418,628","296,738","4,966",,,,,,Asia
NA,Total:,"1,600,856","+30,971","97,672","+2,205","394,222","1,108,962","17,419",,,,,,North America
NA,Total:,"1,718,673","+22,352","159,068","+1,695","721,957","837,648","12,533",,,,,,Europe
NA,Total:,"377,189","+21,898","20,038","+1,013","130,939","226,212","10,334",,,,,,South America
NA,Total:,"77,002","+3,029","2,578",+71,"28,186","46,238",290,,,,,,Africa
NA,Total:,"8,590",+9,119,,"7,811",660,20,,,,,,Australia/Oceania
NA,Total:,721,,15,,651,55,4,,,,,,
NA,Total:,"4,521,989","+96,334","303,082","+5,317","1,702,394","2,516,513","45,566",580.1,38.9,,,,All
