#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"738,958","+18,075","23,592",+333,"418,628","296,738","4,966",,,,,,Asia
NA,North America,"1,600,856","+30,971","97,672","+2,205","394,222","1,108,962","17,419",,,,,,North America
NA,Europe,"1,718,673","+22,352","159,068","+1,695","721,957","837,648","12,533",,,,,,Europe
NA,South America,"377,189","+21,898","20,038","+1,013","130,939","226,212","10,334",,,,,,South America
NA,Africa,"77,002","+3,029","2,578",+71,"28,186","46,238",290,,,,,,Africa
NA,Oceania,"8,590",+9,119,,"7,811",660,20,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"4,521,989","+96,334","303,082","+5,317","1,702,394","2,516,513","45,566",580,38.9,,,,All
1,China,"82,929",+3,"4,633",,"78,195",101,9,58,3,,,"1,439,323,776",Asia
2,USA,"1,457,593","+27,246","86,912","+1,715","318,027","1,052,654","16,240","4,407",263,"10,638,893","32,166","330,753,490",North America
3,Spain,"272,646","+1,551","27,321",+217,"186,480","58,845","1,376","5,832",584,"2,467,761","52,784","46,752,506",Europe
4,Russia,"252,245","+9,974","2,305",+93,"53,530","196,410","2,300","1,729",16,"6,188,102","42,406","145,926,611",Europe
5,UK,"233,151","+3,446","33,614",+428,N/A,N/A,"1,559","3,437",495,"2,219,281","32,713","67,840,351",Europe
6,Italy,"223,096",+992,"31,368",+262,"115,288","76,440",855,"3,689",519,"2,807,504","46,426","60,472,892",Europe
7,Brazil,"202,918","+13,761","13,993",+835,"79,479","109,446","8,318",956,66,"735,224","3,462","212,364,444",South America
8,France,"178,870",+810,"27,425",+351,"59,605","91,840","2,299","2,741",420,"1,384,633","21,219","65,255,252",Europe
9,Germany,"174,975",+877,"7,928",+67,"150,300","16,747","1,329","2,089",95,"3,147,771","37,585","83,749,935",Europe
10,Turkey,"144,749","+1,635","4,007",+55,"104,030","36,712",963,"1,719",48,"1,508,824","17,915","84,220,162",Asia
11,Iran,"114,533","+1,808","6,854",+71,"90,539","17,140","2,758","1,366",82,"643,772","7,678","83,850,893",Asia
12,India,"81,997","+3,942","2,649",+98,"27,969","51,379",,59,2,"1,947,041","1,413","1,378,233,611",Asia
13,Peru,"80,604","+4,298","2,267",+98,"25,151","53,186",842,"2,449",69,"587,292","17,845","32,910,878",South America
14,Canada,"73,401","+1,123","5,472",+170,"36,091","31,838",502,"1,947",145,"1,169,380","31,019","37,699,156",North America
