#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"778,080","+20,156","24,302",+339,"445,644","308,134","4,941",,,,,,Asia
NA,North America,"1,660,308","+28,140","101,662","+1,641","421,214","1,137,432","17,398",,,,,,North America
NA,Europe,"1,761,352","+20,223","161,672","+1,190","755,525","844,155","11,756",,,,,,Europe
NA,South America,"424,547","+23,475","22,406","+1,103","147,133","255,008","10,423",,,,,,South America
NA,Africa,"83,363","+3,588","2,726",+87,"32,103","48,534",289,,,,,,Africa
NA,Oceania,"8,638",+17,119,,"7,890",629,16,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"4,717,009","+95,599","312,902","+4,360","1,810,160","2,593,947","44,827",605,40.1,,,,All
1,China,"82,941",+8,"4,633",,"78,219",89,11,58,3,,,"1,439,323,776",Asia
2,USA,"1,507,773","+23,488","90,113","+1,218","339,232","1,078,428","16,248","4,558",272,"11,949,625","36,127","330,764,077",North America
3,Spain,"276,505","+2,138","27,563",+104,"192,253","56,689","1,208","5,914",590,"3,037,840","64,977","46,752,605",Europe
4,Russia,"272,043","+9,200","2,537",+119,"63,166","206,340","2,300","1,864",17,"6,656,340","45,614","145,926,952",Europe
5,UK,"240,161","+3,450","34,466",+468,N/A,N/A,"1,559","3,540",508,"2,489,563","36,696","67,842,296",Europe
6,Brazil,"233,142","+14,919","15,633",+816,"89,672","127,837","8,318","1,098",74,"735,224","3,462","212,372,688",South America
7,Italy,"224,760",+875,"31,763",+153,"122,810","70,187",775,"3,717",525,"2,944,859","48,698","60,472,408",Europe
8,France,"179,365",,"27,625",+96,"61,066","90,674","2,132","2,749",423,"1,384,633","21,218","65,256,039",Europe
9,Germany,"176,244",+545,"8,027",+26,"152,600","15,617","1,203","2,104",96,"3,147,771","37,585","83,751,395",Europe
10,Turkey,"148,067","+1,610","4,096",+41,"108,137","35,834",906,"1,758",49,"1,589,625","18,874","84,225,118",Asia
11,Iran,"118,392","+1,757","6,937",+35,"93,147","18,308","2,716","1,412",83,"672,679","8,022","83,856,767",Asia
12,India,"90,648","+4,864","2,871",+118,"34,224","53,553",,66,2,"2,134,277","1,548","1,378,307,692",Asia
13,Peru,"88,541","+4,046","2,523",+131,"28,272","57,746",840,"2,690",77,"630,482","19,156","32,913,388",South America
14,Canada,"75,864","+1,251","5,679",+117,"37,819","32,366",502,"2,012",151,"1,265,502","33,567","37,700,962",North America
15,Belgium,"54,989",+345,"9,005",+46,"14,460","31,524",364,"4,747",777,"663,755","57,302","11,583,464",Europe
16,Saudi Arabia,"52,016","+2,840",302,+10,"23,666","28,048",166,"1,497",9,"548,023","15,773","34,744,365",Asia
17,Mexico,"45,032","+2,437","4,767",+290,"30,451","9,814",378,350,37,"163,691","1,271","128,762,855",North America
18,Netherlands,"43,870",+189,"5,670",+27,N/A,N/A,346,"2,561",331,"287,943","16,809","17,130,286",Europe
19,Chile,"41,428","+1,886",421,+27,"18,014","22,993",751,"2,169",22,"350,325","18,346","19,095,791",South America
20,Pakistan,"38,799","+1,581",834,+31,"10,880","27,085",111,176,4,"359,264","1,631","220,333,311",Asia
21,Ecuador,"32,763","+1,296","2,688",+94,"3,433","26,642",197,"1,861",153,"93,344","5,301","17,608,766",South America
22,Qatar,"30,972","+1,547",15,+1,"3,788","27,169",158,"10,774",5,"152,704","53,118","2,874,781",Asia
23,Switzerland,"30,572",+58,"1,879",+1,"27,400","1,293",69,"3,536",217,"339,364","39,247","8,646,793",Europe
24,Sweden,"29,677",+470,"3,674",+28,"4,971","21,032",278,"2,941",364,"177,500","17,589","10,091,512",Europe
25,Portugal,"28,810",+227,"1,203",+13,"3,822","23,785",115,"2,824",118,"600,061","58,828","10,200,225",Europe
26,Belarus,"28,681",+951,160,+4,"9,498","19,023",92,"3,035",17,"335,057","35,457","9,449,695",Europe
27,Singapore,"27,356",+465,22,+1,"8,342","18,992",16,"4,681",4,"224,262","38,371","5,844,637",Asia
28,Ireland,"24,048",+92,"1,533",+15,"19,470","3,045",69,"4,877",311,"258,808","52,488","4,930,848",Europe
29,UAE,"22,627",+796,214,+4,"7,931","14,482",1,"2,291",22,"1,560,923","158,063","9,875,312",Asia
30,Bangladesh,"20,995",+930,314,+16,"4,117","16,564",1,128,2,"167,114","1,016","164,484,082",Asia
31,Poland,"18,257",+241,915,+8,"7,175","10,167",160,482,24,"601,394","15,888","37,851,553",Europe
32,Ukraine,"17,858",+528,497,+21,"4,906","12,455",231,408,11,"220,638","5,041","43,764,414",Europe
33,Indonesia,"17,025",+529,"1,089",+13,"3,911","12,025",,62,4,"182,818",669,"273,160,748",Asia
34,Romania,"16,704",+267,"1,094",+24,"9,574","6,036",206,868,57,"303,734","15,776","19,252,618",Europe
35,Israel,"16,607",+18,268,+2,"12,855","3,484",59,"1,923",31,"498,711","57,733","8,638,177",Asia
36,Japan,"16,237",+34,725,+12,"10,338","5,174",232,128,6,"240,368","1,900","126,522,222",Asia
37,Austria,"16,201",+92,629,+1,"14,524","1,048",50,"1,800",70,"357,393","39,710","9,000,086",Europe
38,Colombia,"14,939",+723,562,+16,"3,587","10,790",136,294,11,"190,114","3,741","50,814,825",South America
39,South Africa,"14,355",+831,261,+14,"6,478","7,616",119,242,4,"439,559","7,423","59,214,047",Africa
40,Kuwait,"13,802",+942,107,+11,"3,843","9,852",169,"3,238",25,"240,716","56,473","4,262,502",Asia
41,Philippines,"12,305",+214,817,+11,"2,561","8,927",79,112,7,"215,060","1,966","109,395,919",Asia
42,Dominican Republic,"12,110",+371,428,+4,"3,726","7,956",127,"1,118",40,"50,108","4,625","10,834,295",North America
43,Egypt,"11,719",+491,612,+20,"2,950","8,157",41,115,6,"135,000","1,322","102,083,440",Africa
