#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"936,333","+24,297","27,068",+394,"546,115","363,150","13,796",,,,,,Asia
NA,North America,"1,851,841","+27,487","113,270","+1,640","551,938","1,186,633","18,269",,,,,,North America
NA,South America,"604,966","+26,779","30,590","+1,229","230,827","343,549","10,818",,,,,,South America
NA,Europe,"1,885,900","+17,734","169,275",+856,"863,138","853,487","10,363",,,,,,Europe
NA,Africa,"109,470","+3,625","3,267",+63,"44,166","62,037",306,,,,,,Africa
NA,Oceania,"8,719",+16,123,+1,"8,050",546,6,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"5,397,950","+99,938","343,608","+4,183","2,244,885","2,809,457","53,562",693,44.1,,,,All
1,China,"82,971",,"4,634",,"78,258",79,9,58,3,,,"1,439,323,776",Asia
2,USA,"1,666,828","+21,929","98,683","+1,036","446,914","1,121,231","17,133","5,039",298,"14,357,969","43,404","330,801,130",North America
3,Brazil,"347,398","+16,508","22,013",+965,"142,587","182,798","8,318","1,636",104,"735,224","3,461","212,401,542",South America
4,Russia,"335,882","+9,434","3,388",+139,"107,936","224,558","2,300","2,302",23,"8,402,747","57,581","145,928,144",Europe
5,Spain,"282,370",+466,"28,678",+50,"196,958","56,734","1,152","6,040",613,"3,037,840","64,976","46,752,950",Europe
6,UK,"257,154","+2,959","36,675",+282,N/A,N/A,"1,559","3,790",541,"3,348,507","49,352","67,849,102",Europe
7,Italy,"229,327",+669,"32,735",+119,"138,840","57,752",572,"3,792",541,"3,391,188","56,080","60,470,714",Europe
8,France,"182,469",+250,"28,332",+43,"64,547","89,590","1,665","2,796",434,"1,384,633","21,218","65,258,794",Europe
9,Germany,"179,986",+273,"8,366",+14,"159,900","11,720",919,"2,149",100,"3,595,059","42,923","83,756,505",Europe
10,Turkey,"155,686","+1,186","4,308",+32,"117,602","33,776",775,"1,848",51,"1,807,673","21,458","84,242,466",Asia
11,Iran,"133,521","+1,869","7,359",+59,"104,072","22,090","2,633","1,592",88,"781,286","9,315","83,877,328",Asia
12,India,"131,423","+6,629","3,868",+142,"54,385","73,170","8,944",95,3,"2,834,798","2,056","1,378,566,974",Asia
13,Peru,"115,754","+4,056","3,373",+129,"47,915","64,466",909,"3,516",102,"788,341","23,946","32,922,175",South America
14,Canada,"83,621","+1,141","6,355",+105,"43,305","33,961",502,"2,218",169,"1,431,911","37,974","37,707,284",North America
15,Saudi Arabia,"70,161","+2,442",379,+15,"41,236","28,546",339,"2,019",11,"684,615","19,698","34,754,742",Asia
16,Chile,"65,393","+3,536",673,+43,"26,546","38,174","1,062","3,424",35,"457,332","23,945","19,098,926",South America
17,Mexico,"62,527","+2,960","6,989",+479,"42,725","12,813",378,486,54,"201,838","1,567","128,788,747",North America
18,Belgium,"56,810",+299,"9,237",+25,"15,155","32,418",259,"4,904",797,"768,706","66,357","11,584,427",Europe
19,Pakistan,"52,437","+1,743","1,101",+34,"16,653","34,683",111,238,5,"460,692","2,090","220,415,479",Asia
20,Netherlands,"45,064",+176,"5,811",+23,N/A,N/A,227,"2,631",339,"313,755","18,315","17,131,009",Europe
21,Qatar,"42,213","+1,732",21,+2,"8,513","33,679",177,"14,679",7,"184,794","64,260","2,875,712",Asia
22,Ecuador,"36,258",+430,"3,096",+40,"3,557","29,605",208,"2,058",176,"105,462","5,987","17,613,893",South America
23,Belarus,"35,244",+941,194,+4,"13,528","21,522",92,"3,730",21,"434,618","45,993","9,449,636",Europe
24,Sweden,"33,188",+379,"3,992",+67,"4,971","24,225",265,"3,288",396,"209,900","20,797","10,092,714",Europe
25,Bangladesh,"32,078","+1,873",452,+20,"6,486","25,140",1,195,3,"234,675","1,426","164,515,439",Asia
26,Singapore,"31,068",+642,23,,"13,882","17,163",8,"5,315",4,"294,414","50,366","5,845,516",Asia
27,Switzerland,"30,725",+18,"1,905",+2,"28,000",820,51,"3,553",220,"367,037","42,442","8,648,002",Europe
28,Portugal,"30,471",+271,"1,302",+13,"7,705","21,464",80,"2,987",128,"689,705","67,620","10,199,659",Europe
29,UAE,"28,704",+812,244,+3,"14,495","13,965",1,"2,906",25,"1,600,923","162,076","9,877,597",Asia
30,Ireland,"24,582",+76,"1,604",+12,"21,060","1,918",54,"4,984",325,"295,626","59,942","4,931,903",Europe
31,Indonesia,"21,745",+949,"1,351",+25,"5,249","15,145",,80,5,"239,740",877,"273,216,033",Asia
32,South Africa,"21,343","+1,218",407,+10,"10,104","10,832",119,360,7,"564,370","9,529","59,228,347",Africa
33,Poland,"20,931",+312,993,+11,"8,977","10,961",160,553,26,"750,939","19,839","37,850,763",Europe
34,Ukraine,"20,580",+432,605,+17,"6,929","13,046",256,470,14,"277,712","6,346","43,759,415",Europe
