#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
35,Kuwait,"20,464",+900,148,+10,"5,747","14,569",192,"4,800",35,"268,154","62,892","4,263,710",Asia
36,Colombia,"20,177","+1,046",705,+23,"4,718","14,754",136,397,14,"235,948","4,642","50,825,192",South America
37,Romania,"17,857",+145,"1,176",+10,"11,187","5,494",196,928,61,"361,566","18,782","19,250,177",Europe
38,Israel,"16,712",+22,279,,"14,090","2,343",47,"1,817",30,"536,306","58,309","9,197,590",Asia
39,Japan,"16,536",+23,808,+12,"13,244","2,484",174,131,6,"268,477","2,122","126,514,849",Asia
40,Egypt,"16,513",+727,735,+28,"4,628","11,150",41,162,7,"135,000","1,322","102,120,411",Africa
41,Austria,"16,486",+50,639,+4,"15,037",810,28,"1,832",71,"396,363","44,035","9,001,067",Europe
42,Dominican Republic,"14,422",+433,458,+2,"7,854","6,110",113,"1,331",42,"65,355","6,031","10,836,374",North America
43,Philippines,"13,777",+180,863,+6,"3,177","9,737",81,126,8,"287,294","2,626","109,423,817",Asia
44,Argentina,"11,353",+704,445,+12,"3,530","7,378",171,251,10,"125,893","2,788","45,151,982",South America
45,Denmark,"11,289",+59,561,,"9,836",892,19,"1,950",97,"526,285","90,894","5,790,110",Europe
46,S. Korea,"11,165",+23,266,+2,"10,194",705,15,218,5,"814,420","15,887","51,264,720",Asia
47,Serbia,"11,092",+68,238,+1,"5,699","5,155",12,"1,269",27,"214,212","24,507","8,740,843",Europe
48,Panama,"10,577",+310,299,+4,"6,279","3,999",72,"2,456",69,"56,755","13,176","4,307,353",North America
49,Afghanistan,"9,998",+782,216,+11,"1,040","8,742",19,257,6,"29,417",758,"38,829,355",Asia
50,Czechia,"8,890",+77,314,+2,"6,044","2,532",29,830,29,"394,499","36,845","10,706,960",Europe
51,Bahrain,"8,802",+388,13,+1,"4,465","4,324",8,"5,195",8,"276,552","163,208","1,694,480",Asia
52,Norway,"8,346",+14,235,,"7,727",384,13,"1,541",43,"229,769","42,418","5,416,796",Europe
53,Algeria,"8,113",+195,592,+10,"4,426","3,095",22,185,14,,,"43,763,605",Africa
54,Kazakhstan,"7,919",+322,35,,"4,214","3,670",31,422,2,"635,712","33,900","18,752,654",Asia
55,Nigeria,"7,526",+265,221,,"2,174","5,131",7,37,1,"43,328",211,"205,556,170",Africa
56,Morocco,"7,406",+74,198,+1,"4,638","2,570",1,201,5,"133,561","3,623","36,863,733",Africa
57,Oman,"7,257",+463,36,+2,"1,848","5,373",31,"1,425",7,"72,000","14,141","5,091,748",Asia
58,Malaysia,"7,185",+48,115,,"5,912","1,158",9,222,4,"500,469","15,484","32,321,398",Asia
59,Australia,"7,111",+16,102,+1,"6,494",515,5,279,4,"1,192,262","46,814","25,468,256",Australia/Oceania
60,Moldova,"6,994",+147,242,+5,"3,452","3,300",286,"1,733",60,"40,565","10,054","4,034,896",Europe
61,Ghana,"6,617",+131,31,,"1,978","4,608",16,213,1.0,"193,705","6,248","31,000,302",Africa
62,Finland,"6,568",+31,306,,"4,800","1,462",21,"1,186",55,"165,600","29,893","5,539,846",Europe
63,Armenia,"6,302",+374,77,+3,"2,936","3,289",10,"2,127",26,"49,080","16,566","2,962,680",Asia
64,Bolivia,"5,579",+392,230,+15,575,"4,774",3,479,20,"14,803","1,270","11,655,824",South America
65,Cameroon,"4,400",,159,,"1,822","2,419",28,166,6,,,"26,470,367",Africa
66,Iraq,"4,272",+308,152,+5,"2,585","1,535",,106,4,"181,882","4,533","40,120,620",Asia
67,Luxembourg,"3,990",+9,109,,"3,758",123,8,"6,385",174,"66,653","106,668","624,863",Europe
68,Azerbaijan,"3,982",+127,49,+3,"2,506","1,427",42,393,5,"265,067","26,168","10,129,535",Asia
69,Hungary,"3,713",+35,482,+6,"1,655","1,576",21,384,50,"159,260","16,482","9,662,790",Europe
70,Honduras,"3,477",+273,167,+11,439,"2,871",13,352,17,"11,820","1,195","9,887,398",North America
71,Sudan,"3,378",,137,,372,"2,869",,77,3,394,9,"43,733,183",Africa
72,Guinea,"3,176",+109,20,+1,"1,631","1,525",24,243,2,"13,726","1,048","13,091,643",Africa
73,Uzbekistan,"3,115",+87,13,,"2,532",570,4,93,0.4,"460,000","13,766","33,416,589",Asia
74,Thailand,"3,040",+3,56,,"2,916",68,61,44,0.8,"328,073","4,701","69,782,104",Asia
75,Senegal,"2,976",+67,34,+1,"1,416","1,526",6,178,2,"34,082","2,042","16,693,148",Africa
76,Greece,"2,876",+2,171,+2,"1,374","1,331",20,276,16,"152,998","14,672","10,428,054",Europe
77,Guatemala,"2,743",+231,51,+3,222,"2,470",5,153,3,"25,464","1,424","17,878,891",North America
78,Tajikistan,"2,738",+187,44,,"1,223","1,471",,288,5,,,"9,513,464",Asia
79,Bulgaria,"2,408",+36,126,+1,808,"1,474",29,346,18,"73,210","10,528","6,953,511",Europe
80,Bosnia and Herzegovina,"2,391",+19,141,,"1,662",588,4,728,43,"58,694","17,879","3,282,809",Europe
81,Ivory Coast,"2,366",+25,30,+1,"1,188","1,148",,90,1,"22,233",845,"26,303,693",Africa
82,Djibouti,"2,270",,10,,"1,064","1,196",,"2,301",10,"22,097","22,401","986,441",Africa
83,Croatia,"2,243",,99,,"2,023",121,6,546,24,"60,864","14,817","4,107,737",Europe
84,DRC,"2,025",+80,63,,312,"1,650",,23,0.7,,,"89,241,709",Africa
85,North Macedonia,"1,941",+20,113,+1,"1,411",417,21,932,54,"24,762","11,885","2,083,383",Europe
86,Gabon,"1,934",+206,12,,459,"1,463",10,871,5,"9,908","4,464","2,219,772",Africa
87,Cuba,"1,931",+15,81,,"1,671",179,4,170,7,"92,629","8,177","11,327,310",North America
88,Estonia,"1,821",+14,64,,"1,526",231,2,"1,373",48,"75,249","56,730","1,326,445",Europe
89,El Salvador,"1,819",+94,33,,570,"1,216",25,281,5,"70,225","10,832","6,482,821",North America
90,Iceland,"1,804",+1,10,,"1,791",3,,"5,290",29,"58,225","170,742","341,012",Europe
91,Lithuania,"1,616",+12,63,+2,"1,135",418,17,593,23,"264,882","97,174","2,725,846",Europe
92,Somalia,"1,594",,61,,204,"1,329",2,101,4,,,"15,841,801",Africa
93,Mayotte,"1,521",,19,,894,608,11,"5,591",70,"5,200","19,113","272,066",Africa
94,Slovakia,"1,504",+1,28,,"1,280",196,1,275,5,"156,765","28,715","5,459,375",Europe
95,New Zealand,"1,504",,21,,"1,455",28,1,312,4,"255,850","53,102","4,818,119",Australia/Oceania
96,Slovenia,"1,468",,106,,"1,340",22,4,706,51,"75,110","36,130","2,078,909",Europe
97,Kyrgyzstan,"1,365",+15,14,,957,394,5,210,2,"98,281","15,091","6,512,401",Asia
98,Maldives,"1,313",+39,4,,128,"1,181",9,"2,434",7,"11,775","21,826","539,495",Asia
99,Kenya,"1,192",+31,50,,380,762,1,22,0.9,"57,650","1,075","53,637,887",Africa
100,Guinea-Bissau,"1,114",,6,,42,"1,066",,568,3,"1,500",764,"1,962,720",Africa
101,Lebanon,"1,097",+11,26,,667,404,4,161,4,"71,814","10,517","6,828,453",Asia
102,Sri Lanka,"1,089",+21,9,,660,420,1,51,0.4,"51,094","2,387","21,404,007",Asia
103,Hong Kong,"1,066",,4,,"1,029",33,1,142,0.5,"202,930","27,091","7,490,593",Asia
104,Tunisia,"1,048",,47,,903,98,3,89,4,"46,628","3,950","11,805,475",Africa
105,Latvia,"1,046",+16,22,,712,312,2,554,12,"97,846","51,820","1,888,181",Europe
106,Mali,"1,015",+46,63,+1,574,378,,50,3,"3,483",173,"20,182,888",Africa
107,Venezuela,"1,010",+66,10,,262,738,2,36,0.4,"771,276","27,116","28,443,938",South America
108,Albania,989,+8,31,,783,175,5,344,11,"13,133","4,563","2,878,112",Europe
109,Equatorial Guinea,960,,11,,165,784,,687,8,854,611,"1,397,507",Africa
110,Niger,943,+6,61,+1,775,107,,39,3,"5,989",248,"24,100,778",Africa
111,Cyprus,927,,17,,594,316,10,768,14,"99,733","82,667","1,206,440",Asia
112,Zambia,920,,7,,336,577,1,50,0.4,"20,011","1,092","18,324,217",Africa
113,Costa Rica,918,+7,10,,607,301,4,180,2,"22,910","4,502","5,089,207",North America
114,Paraguay,850,+12,11,,298,541,,119,2,"23,805","3,342","7,123,140",South America
115,Burkina Faso,814,,52,,672,90,,39,2,,,"20,836,960",Africa
116,Haiti,812,+78,25,,22,765,,71,2,"2,582",227,"11,387,625",North America
117,Uruguay,764,+11,22,+2,616,126,5,220,6,"37,590","10,825","3,472,495",South America
118,Andorra,762,,51,,653,58,3,"9,864",660,"3,750","48,542","77,252",Europe
119,Georgia,728,+5,12,,509,207,6,182,3,"45,707","11,456","3,989,931",Asia
120,Diamond Princess,712,,13,,651,48,4,,,,,0,
121,Jordan,704,+4,9,,470,225,5,69,0.9,"161,722","15,867","10,192,398",Asia
122,San Marino,665,+4,42,+1,266,357,1,"19,603","1,238","3,968","116,967","33,924",Europe
123,South Sudan,655,+92,8,+2,6,641,,59,0.7,"3,356",300,"11,179,687",Africa
124,Chad,648,+37,60,+2,204,384,,40,4,,,"16,370,988",Africa
125,Sierra Leone,621,+15,39,+1,241,341,,78,5,,,"7,958,865",Africa
126,Malta,609,+9,6,,473,130,1,"1,380",14,"59,511","134,816","441,423",Europe
127,Nepal,584,+68,3,,70,511,1,20,0.1,"132,195","4,546","29,078,960",Asia
128,Channel Islands,558,,45,,508,5,,"3,213",259,"5,342","30,755","173,694",Europe
129,CAR,552,+73,1,+1,18,533,,115,0.2,"11,570","2,400","4,820,525",Africa
130,Jamaica,544,+10,9,,191,344,,184,3,"9,554","3,228","2,959,835",North America
131,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,536,336",Africa
132,Ethiopia,494,+61,5,,151,338,,4,0.04,"76,962",671,"114,638,437",Africa
133,Madagascar,488,+40,2,,138,348,4,18,0.07,"5,670",205,"27,609,355",Africa
134,Congo,487,+18,16,,147,324,,89,3,,,"5,502,591",Africa
135,Réunion,452,+3,1,,411,40,2,505,1,"17,200","19,226","894,644",Africa
136,Taiwan,441,,7,,411,23,,19,0.3,"70,526","2,962","23,812,392",Asia
137,Palestine,423,,3,+1,348,72,,83,0.6,"44,876","8,820","5,087,975",Asia
138,Togo,373,+10,12,,133,228,,45,1,"15,987","1,936","8,256,716",Africa
139,Cabo Verde,371,+9,3,,142,226,,668,5,"1,307","2,353","555,344",Africa
140,Isle of Man,336,,24,,303,9,2,"3,954",282,"4,454","52,409","84,986",Europe
141,Mauritius,332,,10,,322,0,,261,8,"101,052","79,471","1,271,554",Africa
142,Rwanda,325,+4,,,227,98,,25,,"57,077","4,419","12,915,554",Africa
143,Montenegro,324,,9,,314,1,,516,14,"10,167","16,188","628,058",Europe
144,Vietnam,324,,,,267,57,2,3,,"275,000","2,828","97,246,184",Asia
145,Nicaragua,279,,17,,199,63,,42,3,,,"6,616,116",North America
146,French Guiana,279,+18,1,,143,135,,937,3,,,"297,793",South America
147,Liberia,255,+6,26,+2,136,93,,51,5,,,"5,044,193",Africa
148,Sao Tome and Principe,251,,8,,4,239,,"1,148",37,175,800,"218,708",Africa
149,Eswatini,238,+13,2,,119,117,,205,2,"4,994","4,309","1,158,888",Africa
150,Mauritania,227,+27,6,,7,214,,49,1,"2,583",557,"4,635,598",Africa
151,Yemen,212,+3,39,+6,11,162,,7,1,120,4,"29,751,976",Asia
152,Myanmar,201,+2,6,,120,75,,4,0.1,"17,875",329,"54,371,767",Asia
153,Uganda,198,+23,,,68,130,,4,,"83,788","1,839","45,570,409",Africa
154,Martinique,197,,14,,91,92,,525,37,,,"375,294",North America
155,Faeroe Islands,187,,,,187,0,,"3,829",,"9,153","187,393","48,844",Europe
156,Mozambique,168,+4,,,48,120,,5,,"7,947",255,"31,153,827",Africa
157,Guadeloupe,156,,13,,115,28,3,390,32,"3,573","8,930","400,117",North America
158,Gibraltar,152,+1,,,147,5,,"4,511",,"6,101","181,082","33,692",Europe
159,Brunei,141,,1,,136,4,2,323,2,"18,411","42,127","437,036",Asia
160,Mongolia,141,,,,30,111,27,43,,"12,341","3,771","3,272,517",Asia
161,Benin,135,,3,,61,71,,11,0.2,"26,792","2,217","12,086,686",Africa
162,Cayman Islands,129,,1,,61,67,,"1,965",15,"8,426","128,369","65,639",North America
163,Bermuda,128,,9,,81,38,2,"2,055",144,"6,133","98,441","62,301",North America
164,Guyana,127,,10,,58,59,4,162,13,"1,401","1,782","786,160",South America
165,Cambodia,124,+1,,,122,2,1,7,,"16,007",959,"16,693,950",Asia
166,Trinidad and Tobago,116,,8,,108,0,,83,6,"2,903","2,075","1,399,024",North America
167,Aruba,101,,3,,95,3,3,946,28,"2,063","19,331","106,719",North America
168,Bahamas,100,+3,11,,45,44,1,255,28,"1,955","4,977","392,846",North America
169,Monaco,98,+1,4,,90,4,1,"2,499",102,,,"39,213",Europe
170,Barbados,92,+2,7,,70,15,4,320,24,"4,664","16,232","287,339",North America
171,Malawi,82,,3,,28,51,1,4,0.2,"2,411",126,"19,073,209",Africa
172,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,612","38,117",Europe
173,Comoros,78,,1,,18,59,,90,1,,,"867,522",Africa
174,Sint Maarten,77,,15,,59,3,1,"1,798",350,437,"10,205","42,824",North America
175,Libya,75,+3,3,,39,33,,11,0.4,"4,351",634,"6,861,203",Africa
176,Syria,70,+11,4,,37,29,,4,0.2,,,"17,452,231",Asia
177,Angola,61,+1,4,+1,18,39,,2,0.1,"10,000",305,"32,745,816",Africa
178,French Polynesia,60,,,,60,0,,214,,"3,873","13,796","280,739",Australia/Oceania
179,Zimbabwe,56,+5,4,,18,34,,4,0.3,"35,112","2,366","14,839,448",Africa
180,Macao,45,,,,45,0,,69,,,,"648,379",Asia
181,Burundi,42,,1,,20,21,,4,0.08,284,24,"11,849,331",Africa
182,Saint Martin,40,,3,,33,4,1,"1,036",78,553,"14,329","38,594",North America
183,Eritrea,39,,,,39,0,,11,,,,"3,541,114",Africa
184,Botswana,30,,1,,19,10,,13,0.4,"16,100","6,862","2,346,328",Africa
185,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,"1,870","97,844",North America
186,Gambia,25,,1,,13,11,,10,0.4,"1,476",613,"2,408,787",Africa
187,Bhutan,24,+3,,,6,18,,31,,"15,293","19,843","770,702",Asia
188,Timor-Leste,24,,,,24,0,,18,,738,561,"1,315,658",Asia
189,Grenada,22,,,,17,5,4,196,,"3,007","26,736","112,469",North America
190,Namibia,20,+1,,,14,6,,8,,"2,847","1,123","2,535,822",Africa
191,Laos,19,,,,14,5,,3,,"5,194",715,"7,264,107",Asia
192,Belize,18,,2,,16,0,,45,5,"1,435","3,616","396,831",North America
193,Fiji,18,,,,15,3,,20,,"1,300","1,451","895,766",Australia/Oceania
194,New Caledonia,18,,,,18,0,,63,,"5,454","19,123","285,208",Australia/Oceania
195,Saint Lucia,18,,,,18,0,,98,,867,"4,724","183,540",North America
196,St. Vincent Grenadines,18,,,,14,4,,162,,209,"1,885","110,904",North America
197,Curaçao,17,+1,1,,14,2,,104,6,504,"3,073","164,024",North America
198,Dominica,16,,,,16,0,,222,,433,"6,017","71,968",North America
199,Saint Kitts and Nevis,15,,,,15,0,,282,,391,"7,355","53,160",North America
200,Falkland Islands,13,,,,13,0,,"3,749",,445,"128,316","3,468",South America
201,Turks and Caicos,12,,1,,10,1,,310,26,126,"3,259","38,660",North America
202,Vatican City,12,,,,2,10,,"14,981",,,,801,Europe
203,Montserrat,11,,1,,10,0,,"2,204",200,36,"7,212","4,992",North America
204,Suriname,11,,1,,9,1,,19,2,404,689,"586,078",South America
205,Greenland,11,,,,11,0,,194,,"1,850","32,593","56,760",North America
206,Seychelles,11,,,,11,0,,112,,,,"98,284",Africa
207,MS Zaandam,9,,2,,,7,,,,,,0,
208,British Virgin Islands,8,,1,,6,1,,265,33,167,"5,528","30,210",North America
209,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,928,226",Australia/Oceania
210,Caribbean Netherlands,6,,,,6,0,,229,,424,"16,185","26,197",North America
211,St. Barth,6,,,,6,0,,608,,137,"13,875","9,874",North America
212,Western Sahara,6,,,,6,0,,10,,,,"595,664",Africa
213,Anguilla,3,,,,3,0,,200,,30,"2,001","14,989",North America
214,Lesotho,2,,,,,2,,0.9,,283,132,"2,140,467",Africa
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797",North America
NA,Total:,"936,333","+24,297","27,068",+394,"546,115","363,150","13,796",,,,,,Asia
NA,Total:,"1,851,841","+27,487","113,270","+1,640","551,938","1,186,633","18,269",,,,,,North America
NA,Total:,"604,966","+26,779","30,590","+1,229","230,827","343,549","10,818",,,,,,South America
NA,Total:,"1,885,900","+17,734","169,275",+856,"863,138","853,487","10,363",,,,,,Europe
NA,Total:,"109,470","+3,625","3,267",+63,"44,166","62,037",306,,,,,,Africa
NA,Total:,"8,719",+16,123,+1,"8,050",546,6,,,,,,Australia/Oceania
NA,Total:,721,,15,,651,55,4,,,,,,
NA,Total:,"5,397,950","+99,938","343,608","+4,183","2,244,885","2,809,457","53,562",692.5,44.1,,,,All
