#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"10,181,287","+126,034","187,828","+1,799","8,469,448","+118,201","1,524,011","20,758",,,,,,Asia,,,
NA,North America,"8,692,837","+54,022","306,749","+1,249","5,527,828","+51,738","2,858,260","17,741",,,,,,North America,,,
NA,South America,"7,879,253","+55,741","247,756","+1,532","6,691,922","+42,984","939,575","17,244",,,,,,South America,,,
NA,Europe,"4,802,736","+52,385","219,947",+557,"2,478,588","+15,151","2,104,201","8,033",,,,,,Europe,,,
NA,Africa,"1,459,190","+6,422","35,080",+168,"1,207,311","+7,714","216,799","1,557",,,,,,Africa,,,
NA,Oceania,"31,017",+20,910,+1,"28,221",+49,"1,886",23,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"33,047,041","+294,624","998,285","+5,306","24,403,969","+235,837","7,644,787","65,360","4,240",128.1,,,,All,,,
1,China,"85,337",+15,"4,634",,"80,536",+14,167,4,59,3,"160,000,000","111,163","1,439,323,776",Asia,"16,866","310,601",9
2,USA,"7,287,561","+43,206","209,177",+737,"4,524,108","+43,389","2,554,276","14,096","21,985",631,"103,575,523","312,470","331,473,384",North America,45,"1,585",3
3,India,"5,990,581","+89,010","94,534","+1,124","4,938,688","+92,520","957,359","8,944","4,331",68,"70,269,975","50,800","1,383,271,092",Asia,231,"14,633",20
4,Brazil,"4,718,115","+25,536","141,441",+732,"4,050,837","+9,888","525,837","8,318","22,159",664,"17,900,000","84,067","212,925,036",South America,45,"1,505",12
5,Russia,"1,143,571","+7,523","20,225",+169,"940,150","+6,004","183,196","2,300","7,835",139,"44,700,000","306,270","145,949,784",Europe,128,"7,216",3
