#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"757,924","+18,966","23,963",+371,"431,944","302,017","4,932",,,,,,Asia
NA,North America,"1,632,167","+31,311","99,633","+1,961","406,544","1,125,990","17,297",,,,,,North America
NA,Europe,"1,741,129","+22,456","160,482","+1,414","739,801","840,846","12,196",,,,,,Europe
NA,South America,"401,072","+23,863","21,303","+1,265","139,641","240,128","10,271",,,,,,South America
NA,Africa,"79,780","+2,778","2,639",+61,"30,210","46,931",288,,,,,,Africa
NA,Oceania,"8,621",+31,119,,"7,858",644,19,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"4,621,414","+99,405","308,154","+5,072","1,756,649","2,556,611","45,007",593,39.5,,,,All
1,China,"82,933",+4,"4,633",,"78,209",91,11,58,3,,,"1,439,323,776",Asia
2,USA,"1,484,285","+26,692","88,507","+1,595","327,751","1,068,027","16,139","4,488",268,"11,090,900","33,532","330,758,784",North America
3,Spain,"274,367","+1,721","27,459",+138,"188,967","57,941","1,320","5,868",587,"2,467,761","52,783","46,752,556",Europe
4,Russia,"262,843","+10,598","2,418",+113,"58,226","202,199","2,300","1,801",17,"6,413,948","43,953","145,926,781",Europe
5,UK,"236,711","+3,560","33,998",+384,N/A,N/A,"1,559","3,489",501,"2,353,078","34,685","67,841,324",Europe
6,Italy,"223,885",+789,"31,610",+242,"120,205","72,070",808,"3,702",523,"2,875,680","47,553","60,472,650",Europe
7,Brazil,"218,223","+15,305","14,817",+824,"84,970","118,436","8,318","1,028",70,"735,224","3,462","212,368,566",South America
8,France,"179,506",+636,"27,529",+104,"60,448","91,529","2,203","2,751",422,"1,384,633","21,219","65,255,646",Europe
9,Germany,"175,699",+724,"8,001",+73,"151,700","15,998","1,294","2,098",96,"3,147,771","37,585","83,750,665",Europe
10,Turkey,"146,457","+1,708","4,055",+48,"106,133","36,269",944,"1,739",48,"1,547,389","18,373","84,222,640",Asia
11,Iran,"116,635","+2,102","6,902",+48,"91,836","17,897","2,727","1,391",82,"658,604","7,854","83,853,830",Asia
12,India,"85,784","+3,787","2,753",+104,"30,258","52,773",,62,2,"2,039,952","1,480","1,378,270,651",Asia
13,Peru,"84,495","+3,891","2,392",+125,"27,147","54,956",851,"2,567",73,"605,383","18,394","32,912,133",South America
14,Canada,"74,613","+1,212","5,562",+90,"36,895","32,156",502,"1,979",148,"1,225,049","32,495","37,700,059",North America
15,Belgium,"54,644",+356,"8,959",+56,"14,301","31,384",380,"4,717",773,"645,314","55,711","11,583,327",Europe
16,Saudi Arabia,"49,176","+2,307",292,+9,"21,869","27,015",167,"1,415",8,"530,265","15,263","34,742,883",Asia
17,Netherlands,"43,681",+200,"5,643",+53,N/A,N/A,378,"2,550",329,"287,943","16,809","17,130,183",Europe
18,Mexico,"42,595","+2,409","4,477",+257,"28,475","9,643",378,331,35,"155,932","1,211","128,759,156",North America
