#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"7,086,139","+93,719","142,482","+1,315","5,684,423","+84,872","1,259,234","18,805",,,,,,Asia,,,
NA,North America,"7,355,684","+48,081","271,131",+956,"4,237,133","+37,547","2,847,420","19,966",,,,,,North America,,,
NA,South America,"6,317,755","+74,048","202,518","+1,382","4,926,245","+93,640","1,188,992","15,228",,,,,,South America,,,
NA,Europe,"3,581,970","+21,606","207,735",+301,"2,073,372","+8,630","1,300,863","5,792",,,,,,Europe,,,
NA,Africa,"1,257,316","+6,941","29,862",+226,"987,398","+7,402","240,056","1,270",,,,,,Africa,,,
NA,Oceania,"28,567",+176,681,+41,"23,418",+252,"4,468",41,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"25,628,152","+244,571","854,424","+4,221","17,932,640","+232,343","6,841,088","61,106","3,288",109.6,,,,All,,,
1,China,"85,048",+17,"4,634",,"80,177",+24,237,4,59,3,"90,410,000","62,814","1,439,323,776",Asia,"16,924","310,601",16
2,USA,"6,211,796","+38,560","187,736",+512,"3,456,263","+30,540","2,567,797","15,864","18,748",567,"82,624,841","249,373","331,330,464",North America,53,"1,765",4
3,Brazil,"3,910,901","+48,590","121,515",+619,"3,097,734","+66,175","691,652","8,318","18,377",571,"14,352,484","67,442","212,813,742",South America,54,"1,751",15
4,India,"3,687,939","+68,770","65,435",+818,"2,837,377","+64,449","785,127","8,944","2,668",47,"42,307,914","30,608","1,382,271,004",Asia,375,"21,124",33
5,Russia,"995,319","+4,993","17,176",+83,"809,387","+2,405","168,756","2,300","6,820",118,"36,696,382","251,439","145,945,183",Europe,147,"8,497",4
6,Peru,"652,037","+4,871","28,944",+156,"462,329","+6,872","160,764","1,512","19,730",876,"3,215,842","97,309","33,047,700",South America,51,"1,142",10
7,South Africa,"627,041","+1,985","14,149",+121,"540,923","+2,319","71,969",539,"10,550",238,"3,693,721","62,150","59,432,639",Africa,95,"4,200",16
8,Colombia,"615,168","+7,230","19,663",+299,"459,475","+8,854","136,030","1,493","12,068",386,"2,746,217","53,876","50,973,286",South America,83,"2,592",19
9,Mexico,"595,841","+4,129","64,158",+339,"412,580","+3,453","119,103","3,060","4,613",497,"1,340,466","10,378","129,158,631",North America,217,"2,013",96
10,Spain,"462,858","+2,489","29,094",+28,N/A,N/A,N/A,846,"9,899",622,"9,210,337","196,979","46,757,881",Europe,101,"1,607",5
11,Argentina,"417,735","+9,309","8,660",+203,"301,195","+7,188","107,880","2,273","9,229",191,"1,257,906","27,790","45,265,185",South America,108,"5,227",36
12,Chile,"411,726","+1,752","11,289",+45,"383,879","+1,295","16,558",969,"21,507",590,"2,432,436","127,062","19,143,709",South America,46,"1,696",8
13,Iran,"375,212","+1,642","21,571",+109,"323,233","+1,812","30,408","3,729","4,458",256,"3,231,110","38,387","84,171,055",Asia,224,"3,902",26
14,UK,"335,873","+1,406","41,501",+2,N/A,N/A,N/A,60,"4,943",611,"16,273,209","239,501","67,946,337",Europe,202,"1,637",4
15,Saudi Arabia,"315,772",+951,"3,897",+27,"290,796","+1,129","21,079","1,552","9,047",112,"5,026,127","144,003","34,902,978",Asia,111,"8,956",7
16,Bangladesh,"312,996","+2,174","4,281",+33,"204,887","+2,980","103,828",,"1,897",26,"1,550,203","9,397","164,963,389",Asia,527,"38,534",106
17,Pakistan,"295,849",+213,"6,294",+6,"280,682",+135,"8,873",604,"1,335",28,"2,621,146","11,829","221,589,309",Asia,749,"35,206",85
18,France,"281,025","+3,082","30,635",+29,"86,469",+292,"163,921",409,"4,304",469,"6,461,460","98,953","65,298,143",Europe,232,"2,131",10
19,Turkey,"270,133","+1,587","6,370",+44,"244,926","+1,087","18,837",961,"3,197",75,"7,138,492","84,489","84,490,286",Asia,313,"13,264",12
20,Italy,"269,214",+996,"35,483",+6,"207,653",+117,"26,078",94,"4,454",587,"8,644,859","143,017","60,446,519",Europe,225,"1,704",7
21,Germany,"244,792","+1,497","9,371",+7,"219,900","+2,058","15,521",245,"2,920",112,"11,208,091","133,701","83,829,512",Europe,342,"8,946",7
22,Iraq,"234,934","+3,757","7,042",+83,"176,602","+3,722","51,290",512,"5,820",174,"1,605,904","39,782","40,367,827",Asia,172,"5,732",25
23,Philippines,"220,781","+3,408","3,558",+38,"157,548",+151,"59,675",837,"2,010",32,"2,591,819","23,600","109,822,354",Asia,497,"30,866",42
24,Indonesia,"174,796","+2,743","7,417",+74,"125,959","+1,774","41,420",,638,27,"2,224,337","8,118","274,005,809",Asia,"1,568","36,943",123
25,Canada,"128,948","+1,008","9,126",+9,"114,227",+563,"5,595",50,"3,412",241,"5,504,392","145,628","37,797,601",North America,293,"4,142",7
26,Ukraine,"121,215","+2,141","2,557",+30,"57,114",+380,"61,544",177,"2,775",59,"1,550,280","35,485","43,688,006",Europe,360,"17,086",28
27,Qatar,"118,778",+203,197,,"115,667",+237,"2,914",68,"42,303",70,"629,831","224,314","2,807,805",Asia,24,"14,253",4
28,Israel,"116,596","+2,576",939,+20,"95,009","+2,213","20,648",437,"12,677",102,"2,295,951","249,625","9,197,590",Asia,79,"9,795",4
29,Bolivia,"115,968",+614,"4,966",+28,"58,497","+1,748","52,505",71,"9,912",424,"239,640","20,483","11,699,337",South America,101,"2,356",49
30,Ecuador,"113,767",+119,"6,556",+1,"101,669",+49,"5,542",365,"6,432",371,"328,929","18,597","17,687,134",South America,155,"2,698",54
31,Kazakhstan,"105,795",+111,"1,523",,"96,297",+162,"7,975",221,"5,623",81,"2,434,444","129,395","18,814,004",Asia,178,"12,353",8
32,Egypt,"98,939",+212,"5,421",+22,"72,929",+809,"20,589",41,964,53,"135,000","1,315","102,648,563",Africa,"1,037","18,935",760
33,Dominican Republic,"94,715",+474,"1,710",+29,"68,082","+1,306","24,923",217,"8,717",157,"370,875","34,131","10,866,073",North America,115,"6,354",29
34,Panama,"92,982",+917,"2,002",+7,"66,173",+426,"24,807",168,"21,494",463,"339,893","78,571","4,325,925",North America,47,"2,161",13
35,Romania,"87,540",+755,"3,621",+43,"37,869",+204,"46,050",506,"4,556",188,"1,802,946","93,829","19,215,305",Europe,220,"5,307",11
36,Oman,"85,722",+178,685,+8,"80,810",+351,"4,227",155,"16,719",134,"309,212","60,306","5,127,346",Asia,60,"7,485",17
37,Kuwait,"85,109",+473,531,+1,"77,224",+574,"7,354",91,"19,881",124,"617,619","144,271","4,280,975",Asia,50,"8,062",7
