#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"863,458","+22,336","25,853",+353,"500,597","337,008","5,011",,,,,,Asia
NA,North America,"1,762,801","+26,705","107,817","+1,875","465,993","1,188,991","18,978",,,,,,North America
NA,Europe,"1,830,667","+15,229","165,798","+1,224","812,487","852,382","10,927",,,,,,Europe
NA,South America,"520,088","+32,431","26,625","+1,147","193,731","299,732","10,583",,,,,,South America
NA,Africa,"96,990","+3,762","3,010",+86,"39,428","54,552",287,,,,,,Africa
NA,Oceania,"8,686",+11,121,,"7,992",573,10,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"5,083,411","+100,474","329,239","+4,685","2,020,879","2,733,293","45,800",652,42.2,,,,All
1,China,"82,965",+5,"4,634",,"78,244",87,9,58,3,,,"1,439,323,776",Asia
2,USA,"1,592,723","+22,140","94,936","+1,403","370,076","1,127,711","17,815","4,815",287,"14,117,870","42,680","330,785,250",North America
3,Russia,"308,705","+8,764","2,972",+135,"85,392","220,341","2,300","2,115",20,"7,578,029","51,930","145,927,633",Europe
4,Brazil,"293,357","+21,472","18,894",+911,"116,683","157,780","8,318","1,381",89,"735,224","3,462","212,389,176",South America
5,Spain,"279,524",+721,"27,888",+110,"196,958","54,678","1,152","5,979",596,"3,037,840","64,977","46,752,802",Europe
6,UK,"248,293",,"35,704",+363,N/A,N/A,"1,559","3,660",526,"2,962,227","43,661","67,846,185",Europe
7,Italy,"227,364",+665,"32,330",+161,"132,282","62,752",676,"3,760",535,"3,171,719","52,450","60,471,440",Europe
8,France,"181,575",+766,"28,132",+110,"63,354","90,089","1,794","2,782",431,"1,384,633","21,218","65,257,613",Europe
9,Germany,"178,531",+704,"8,270",+77,"156,900","13,361","1,045","2,132",99,"3,595,059","42,924","83,754,315",Europe
10,Turkey,"152,587",+972,"4,222",+23,"113,987","34,378",877,"1,811",50,"1,696,355","20,138","84,235,031",Asia
11,Iran,"126,949","+2,346","7,183",+64,"98,808","20,958","2,735","1,514",86,"731,213","8,719","83,868,516",Asia
12,India,"112,028","+5,553","3,434",+132,"45,422","63,172",,81,2,"2,512,388","1,823","1,378,455,853",Asia
13,Peru,"104,020","+4,537","3,024",+110,"41,968","59,028",869,"3,160",92,"715,423","21,733","32,918,409",South America
14,Canada,"80,142","+1,030","6,031",+119,"40,776","33,335",502,"2,126",160,"1,375,126","36,471","37,704,575",North America
15,Saudi Arabia,"62,545","+2,691",339,+10,"33,478","28,728",276,"1,800",10,"636,178","18,307","34,750,295",Asia
16,Belgium,"55,983",+192,"9,150",+42,"14,847","31,986",313,"4,833",790,"720,228","62,174","11,584,014",Europe
17,Mexico,"54,346","+2,713","5,666",+334,"37,325","11,355",378,422,44,"185,755","1,442","128,777,650",North America
18,Chile,"53,617","+4,038",544,+35,"22,504","30,569",904,"2,808",28,"409,669","21,451","19,097,583",South America
19,Pakistan,"45,898","+1,932",985,+46,"13,101","31,812",111,208,4,"414,254","1,880","220,380,264",Asia
