#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"5,927,901","+96,565","124,920","+1,638","4,633,692","+82,710","1,169,289","18,918",,,,,,Asia,,,
NA,North America,"6,721,661","+55,978","252,054","+2,124","3,746,496","+59,793","2,723,111","21,626",,,,,,North America,,,
NA,South America,"5,493,490","+83,779","181,871","+2,123","4,081,874","+87,918","1,229,745","14,855",,,,,,South America,,,
NA,Europe,"3,247,438","+24,236","204,174",+451,"1,941,244","+12,442","1,102,020","5,249",,,,,,Europe,,,
NA,Africa,"1,151,737","+10,962","26,685",+328,"874,088","+11,524","250,964","1,206",,,,,,Africa,,,
NA,Oceania,"26,251",+226,476,+12,"16,997",+317,"8,778",59,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"22,569,199","+271,746","790,195","+6,676","15,295,042","+254,704","6,483,962","61,917","2,895",101.4,,,,All,,,
1,China,"84,888",+17,"4,634",,"79,685",+43,569,26,59,3,"90,410,000","62,814","1,439,323,776",Asia,"16,956","310,601",16
2,USA,"5,700,931","+44,957","176,337","+1,263","3,062,331","+51,233","2,462,263","16,875","17,209",532,"73,115,709","220,715","331,266,944",North America,58,"1,879",5
3,Brazil,"3,460,413","+48,541","111,189","+1,170","2,615,254","+61,075","733,970","8,318","16,264",523,"13,729,872","64,531","212,764,278",South America,61,"1,914",15
4,India,"2,835,822","+69,196","53,994",+980,"2,096,068","+59,365","685,760","8,944","2,052",39,"31,742,782","22,972","1,381,826,521",Asia,487,"25,592",44
5,Russia,"937,321","+4,828","15,989",+117,"749,423","+6,795","171,909","2,300","6,423",110,"33,217,468","227,606","145,943,139",Europe,156,"9,128",4
6,South Africa,"596,060","+3,916","12,423",+159,"491,441","+5,973","92,196",539,"10,033",209,"3,455,671","58,168","59,408,124",Africa,100,"4,782",17
7,Peru,"558,420","+9,099","26,834",+176,"377,453","+3,434","154,133","1,516","16,905",812,"2,852,011","86,339","33,032,637",South America,59,"1,231",12
8,Mexico,"531,239","+5,506","57,774",+751,"363,307","+3,960","110,158","3,646","4,114",447,"1,196,707","9,269","129,114,244",North America,243,"2,235",108
9,Colombia,"502,178","+13,056","15,979",+360,"326,298","+13,975","159,901","1,493","9,855",314,"2,337,241","45,868","50,955,514",South America,101,"3,189",22
10,Chile,"390,037","+1,182","10,578",+32,"364,285","+1,845","15,174","1,120","20,380",553,"2,087,354","109,067","19,138,335",South America,49,"1,809",9
11,Spain,"387,985","+3,715","28,797",+127,N/A,N/A,N/A,617,"8,298",616,"7,955,615","170,147","46,757,289",Europe,121,"1,624",6
12,Iran,"350,279","+2,444","20,125",+153,"302,528","+1,647","27,626","3,868","4,163",239,"2,939,840","34,942","84,135,807",Asia,240,"4,181",29
13,UK,"321,098",+812,"41,397",+16,N/A,N/A,N/A,73,"4,727",609,"14,988,134","220,626","67,934,669",Europe,212,"1,641",5
14,Argentina,"312,659","+6,693","6,330",+282,"228,725","+5,194","77,604","1,795","6,909",140,"1,012,979","22,385","45,251,601",South America,145,"7,149",45
15,Saudi Arabia,"302,686","+1,363","3,506",+36,"274,091","+1,180","25,089","1,725","8,677",101,"4,378,417","125,509","34,885,189",Asia,115,"9,950",8
16,Pakistan,"290,445",+613,"6,201",+11,"272,128","+2,119","12,116",743,"1,312",28,"2,340,072","10,567","221,448,449",Asia,762,"35,712",95
17,Bangladesh,"285,091","+2,747","3,781",+41,"165,738","+2,913","115,572",,"1,729",23,"1,393,497","8,450","164,909,635",Asia,578,"43,615",118
18,Italy,"255,278",+642,"35,412",+7,"204,506",+364,"15,360",66,"4,223",586,"7,713,154","127,597","60,449,422",Europe,237,"1,707",8
19,Turkey,"253,108","+1,303","6,039",+23,"233,915","+1,002","13,154",719,"2,997",72,"5,969,629","70,679","84,460,548",Asia,334,"13,986",14
20,Germany,"229,700","+1,595","9,314",+9,"203,900","+1,000","16,486",224,"2,740",111,"10,197,366","121,657","83,820,751",Europe,365,"8,999",8
