#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"3,130,884","+60,132","73,887","+1,269","2,202,145","+47,351","854,852","19,744",,,,,,Asia,,,
NA,North America,"4,229,805","+84,355","190,110","+1,970","1,987,727","+52,998","2,051,968","19,924",,,,,,North America,,,
NA,South America,"3,049,446","+57,822","110,271","+1,904","1,949,320","+54,208","989,855","13,640",,,,,,South America,,,
NA,Europe,"2,613,821","+13,743","197,754",+390,"1,546,166","+16,008","869,901","5,287",,,,,,Europe,,,
NA,Africa,"646,973","+18,057","14,029",+224,"335,800","+18,983","297,144",990,,,,,,Africa,,,
NA,Oceania,"12,155",+240,133,+3,"9,533",+93,"2,489",28,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"13,683,805","+234,349","586,199","+5,760","8,031,342","+189,641","5,066,264","59,617","1,756",75.2,,,,All,,,
1,China,"83,611",+6,"4,634",,"78,693",+19,284,3,58,3,"90,410,000","62,814","1,439,323,776",Asia,"17,215","310,601",16
2,USA,"3,616,827","+71,750","140,144","+1,001","1,645,962","+45,767","1,830,721","16,459","10,924",423,"44,846,166","135,453","331,081,677",North America,92,"2,362",7
3,Brazil,"1,970,909","+39,705","75,523","+1,261","1,255,564","+42,052","639,822","8,318","9,270",355,"4,572,796","21,507","212,620,008",South America,108,"2,815",46
4,India,"970,169","+32,682","24,929",+614,"613,735","+20,655","331,505","8,944",703,18,"12,412,664","8,991","1,380,530,110",Asia,"1,423","55,378",111
5,Russia,"746,369","+6,422","11,770",+156,"523,249","+10,424","211,350","2,300","5,114",81,"23,754,645","162,773","145,937,175",Europe,196,"12,399",6
6,Peru,"337,724","+3,857","12,417",+188,"226,400","+3,139","98,907","1,325","10,238",376,"1,983,932","60,140","32,988,703",South America,98,"2,657",17
7,Chile,"321,205","+1,712","7,186",+117,"292,085","+2,865","21,934","1,915","16,797",376,"1,334,712","69,797","19,122,661",South America,60,"2,661",14
8,Mexico,"311,486","+7,051","36,327",+836,"193,976","+4,913","81,183",378,"2,415",282,"756,137","5,862","128,984,785",North America,414,"3,551",171
9,South Africa,"311,049","+12,757","4,453",+107,"160,693","+14,414","145,903",539,"5,242",75,"2,278,127","38,393","59,336,622",Africa,191,"13,325",26
10,Spain,"304,574",+875,"28,413",+4,N/A,N/A,N/A,617,"6,514",608,"6,026,446","128,893","46,755,564",Europe,154,"1,646",8
11,UK,"291,911",+538,"45,053",+85,N/A,N/A,N/A,145,"4,299",664,"12,461,869","183,531","67,900,637",Europe,233,"1,507",5
12,Iran,"264,561","+2,388","13,410",+199,"227,561","+2,291","23,590","3,411","3,148",160,"2,048,049","24,372","84,033,003",Asia,318,"6,266",41
13,Pakistan,"255,769","+2,165","5,386",+66,"172,810","+2,154","77,573","2,078","1,157",24,"1,627,939","7,365","221,037,609",Asia,864,"41,039",136
14,Italy,"243,506",+162,"34,997",+13,"196,016",+575,"12,493",57,"4,028",579,"6,053,060","100,120","60,457,891",Europe,248,"1,728",10
15,Saudi Arabia,"240,474","+2,671","2,325",+42,"183,048","+5,488","55,101","2,221","6,904",67,"2,436,683","69,953","34,833,307",Asia,145,"14,982",14
16,Turkey,"215,940",+947,"5,419",+17,"197,733","+1,013","12,788","1,206","2,559",64,"4,107,498","48,682","84,373,811",Asia,391,"15,570",21
17,Germany,"201,252",+486,"9,148",+4,"186,000",+500,"6,104",248,"2,402",109,"6,376,054","76,091","83,795,199",Europe,416,"9,160",13
18,Bangladesh,"193,590","+3,533","2,457",+33,"105,523","+2,296","85,610",1,"1,175",15,"980,402","5,951","164,752,852",Asia,851,"67,054",168
19,France,"173,304",+416,"30,120",+20,"78,820",+150,"64,364",482,"2,655",461,"2,532,227","38,790","65,279,649",Europe,377,"2,167",26
20,Colombia,"165,169","+5,271","5,814",+189,"71,736","+2,930","87,619",875,"3,245",114,"1,082,415","21,264","50,903,682",South America,308,"8,755",47
21,Argentina,"111,146","+4,236","2,050",+82,"47,298","+1,831","61,798",752,"2,458",45,"495,065","10,950","45,211,980",South America,407,"22,055",91
22,Canada,"108,829",+343,"8,810",+12,"72,485",+315,"27,534","2,173","2,882",233,"3,341,893","88,515","37,755,152",North America,347,"4,285",11
23,Qatar,"104,983",+450,151,+1,"101,637",+477,"3,195",135,"37,390",54,"424,858","151,313","2,807,805",Asia,27,"18,595",7
24,Egypt,"84,843",+913,"4,067",+59,"26,135",+591,"54,641",41,829,40,"135,000","1,318","102,400,332",Africa,"1,207","25,178",759
25,Iraq,"83,867","+2,110","3,432",+87,"52,621","+1,839","27,814",374,"2,084",85,"728,737","18,105","40,251,640",Asia,480,"11,728",55
26,Indonesia,"80,094","+1,522","3,797",+87,"39,050","+1,414","37,247",,293,14,"1,122,339","4,102","273,634,614",Asia,"3,416","72,066",244
27,Sweden,"76,492",+125,"5,572",+10,N/A,N/A,N/A,81,"7,572",552,"681,820","67,495","10,101,817",Europe,132,"1,813",15
28,Ecuador,"70,329",+759,"5,158",+28,"30,641",+157,"34,530",313,"3,984",292,"190,349","10,783","17,652,711",South America,251,"3,422",93
29,Belarus,"65,443",+174,480,+6,"56,379",+580,"8,584",89,"6,926",51,"1,151,734","121,887","9,449,187",Europe,144,"19,686",8
30,Kazakhstan,"63,514","+1,759",375,,"38,008","+2,097","25,131",221,"3,381",20,"1,737,546","92,496","18,785,170",Asia,296,"50,094",11
31,Belgium,"62,872",+91,"9,788",+1,"17,242",+19,"35,842",27,"5,424",844,"1,398,080","120,610","11,591,714",Europe,184,"1,184",8
32,Oman,"61,247","+1,679",281,+8,"39,038","+1,051","21,928",139,"11,984",55,"253,444","49,592","5,110,615",Asia,83,"18,187",20
33,Philippines,"58,768","+1,310","1,614",+11,"20,976",+517,"36,178",333,536,15,"1,019,263","9,297","109,635,041",Asia,"1,866","67,928",108
34,Kuwait,"56,877",+703,399,+3,"46,897",+736,"9,581",146,"13,311",93,"445,184","104,189","4,272,860",Asia,75,"10,709",10
35,UAE,"55,848",+275,335,,"46,418",+393,"9,095",1,"5,644",34,"4,052,000","409,504","9,894,897",Asia,177,"29,537",2
36,Ukraine,"55,607",+836,"1,427",+15,"28,131",+977,"26,049",93,"1,272",33,"827,157","18,919","43,721,568",Europe,786,"30,639",53
37,Netherlands,"51,252",+106,"6,136",+1,N/A,N/A,N/A,20,"2,991",358,"764,079","44,588","17,136,483",Europe,334,"2,793",22
38,Bolivia,"50,867","+1,617","1,898",+32,"15,819",+525,"33,150",71,"4,355",163,"111,416","9,540","11,678,886",South America,230,"6,153",105
39,Panama,"49,243","+1,147",982,+22,"25,417",+754,"22,844",157,"11,406",227,"174,345","40,384","4,317,196",North America,88,"4,396",25
40,Dominican Republic,"47,671","+1,366",929,+19,"23,459",+325,"23,283",246,"4,393",86,"198,496","18,291","10,852,115",North America,228,"11,682",55
41,Portugal,"47,426",+375,"1,676",+8,"32,110",+560,"13,640",68,"4,652",164,"1,396,902","137,013","10,195,373",Europe,215,"6,083",7
42,Singapore,"46,878",+249,27,,"42,988",+251,"3,863",,"8,010",5,"1,009,532","172,506","5,852,170",Asia,125,"216,747",6
43,Israel,"44,188","+1,828",376,+5,"19,989",+324,"23,823",204,"4,804",41,"1,317,362","143,229","9,197,590",Asia,208,"24,462",7
44,Poland,"38,721",+264,"1,594",+6,"28,492",+736,"8,635",73,"1,023",42,"1,860,592","49,164","37,844,784",Europe,977,"23,742",20
45,Afghanistan,"34,994",+254,"1,094",+46,"22,456","+1,002","11,444",31,898,28,"81,934","2,103","38,956,620",Asia,"1,113","35,609",475
46,Bahrain,"34,560",+482,117,+6,"30,320",+567,"4,123",48,"20,292",69,"693,539","407,223","1,703,093",Asia,49,"14,556",2
47,Nigeria,"34,259",+643,760,+6,"13,999",+207,"19,500",7,166,4,"199,016",965,"206,298,262",Africa,"6,022","271,445","1,037"
48,Romania,"34,226",+641,"1,952",+21,"22,049",+246,"10,225",248,"1,780",101,"886,918","46,118","19,231,695",Europe,562,"9,852",22
49,Switzerland,"33,148",+132,"1,968",,"29,800",,"1,380",20,"3,829",227,"700,326","80,896","8,657,154",Europe,261,"4,399",12
50,Armenia,"33,005",+515,592,+11,"21,348",+619,"11,065",10,"11,137",200,"139,220","46,979","2,963,479",Asia,90,"5,006",21
51,Guatemala,"32,074","+1,202","1,350",+48,"4,624",+171,"26,100",5,"1,789",75,"64,590","3,603","17,926,950",North America,559,"13,279",278
52,Honduras,"29,106",+527,807,+18,"3,287",+164,"25,012",58,"2,937",81,"49,308","4,975","9,910,227",North America,340,"12,280",201
53,Ireland,"25,683",+13,"1,748",+2,"23,364",,571,9,"5,199",354,"527,746","106,834","4,939,886",Europe,192,"2,826",9
54,Azerbaijan,"25,672",+559,326,+7,"16,695",+545,"8,651",66,"2,531",32,"592,778","58,443","10,142,755",Asia,395,"31,113",17
55,Ghana,"25,430",+442,139,,"21,511",+444,"3,780",8,818,4,"336,093","10,809","31,094,417",Africa,"1,223","223,701",93
56,Japan,"22,508",+288,984,+2,"18,545",+263,"2,979",38,178,8,"586,706","4,639","126,459,029",Asia,"5,618","128,515",216
57,Algeria,"20,770",+554,"1,040",+12,"14,792",+497,"4,938",61,473,24,,,"43,878,420",Africa,"2,113","42,191",
58,Moldova,"20,040",+332,659,+4,"13,298",+265,"6,083",358,"4,968",163,"101,180","25,085","4,033,544",Europe,201,"6,121",40
59,Serbia,"19,334",+351,429,+11,"14,047",+56,"4,858",169,"2,213",49,"515,395","58,998","8,735,770",Europe,452,"20,363",17
60,Austria,"19,154",+133,710,+1,"17,175",+102,"1,269",10,"2,126",79,"716,293","79,513","9,008,494",Europe,470,"12,688",13
61,Nepal,"17,177",+116,39,+1,"11,025",+697,"6,113",,589,1,"611,231","20,965","29,154,945",Asia,"1,697","747,563",48
62,Morocco,"16,262",+165,259,+2,"13,821",+379,"2,182",31,440,7,"924,695","25,041","36,927,069",Africa,"2,271","142,576",40
63,Cameroon,"15,173",,359,,"11,928",,"2,886",52,571,14,"120,837","4,548","26,566,347",Africa,"1,751","74,001",220
64,Uzbekistan,"14,581",+496,71,+4,"8,655",+328,"5,855",43,435,2,"1,377,915","41,148","33,486,859",Asia,"2,297","471,646",24
65,S. Korea,"13,551",+39,289,,"12,348",+66,914,15,264,6,"1,431,316","27,917","51,271,089",Asia,"3,784","177,409",36
66,Czechia,"13,475",+134,355,,"8,507",+66,"4,613",19,"1,258",33,"606,878","56,666","10,709,829",Europe,795,"30,169",18
67,Ivory Coast,"13,403",+366,87,,"7,146",+238,"6,170",,508,3,"79,895","3,026","26,398,568",Africa,"1,970","303,432",330
68,Denmark,"13,092",+31,610,,"12,182",+22,300,6,"2,260",105,"1,276,389","220,331","5,793,056",Europe,442,"9,497",5
69,Kyrgyzstan,"11,977",+533,160,+11,"3,660",+122,"8,157",24,"1,835",25,"259,793","39,797","6,528,003",Asia,545,"40,800",25
70,Kenya,"11,252",+461,209,+7,"3,068",+51,"7,975",44,209,4,"225,495","4,191","53,809,800",Africa,"4,782","257,463",239
71,El Salvador,"10,645",+342,286,+8,"6,120",+201,"4,239",398,"1,641",44,"199,637","30,772","6,487,551",North America,609,"22,684",32
72,Sudan,"10,527",+110,668,+9,"5,601",+22,"4,258",,240,15,401,9,"43,881,832",Africa,"4,169","65,691","109,431"
73,Australia,"10,487",+237,111,+3,"7,928",+93,"2,448",28,411,4,"3,213,715","125,973","25,511,086",Australia/Oceania,"2,433","229,830",8
74,Venezuela,"10,428",+418,100,+4,"3,050",+379,"7,278",25,367,4,"1,386,563","48,767","28,432,321",South America,"2,727","284,323",21
75,Norway,"9,011",+10,253,,"8,138",,620,1,"1,662",47,"388,021","71,552","5,422,926",Europe,602,"21,434",14
76,Costa Rica,"8,986",+504,40,+4,"2,551",+110,"6,395",31,"1,763",8,"61,216","12,013","5,095,937",North America,567,"127,398",83
77,Malaysia,"8,734",+5,122,,"8,526",+2,86,5,270,4,"861,896","26,617","32,381,446",Asia,"3,708","265,422",38
78,North Macedonia,"8,530",+198,393,+4,"4,565",+97,"3,572",55,"4,094",189,"80,774","38,771","2,083,370",Europe,244,"5,301",26
79,Senegal,"8,369",+126,153,+3,"5,605",+25,"2,611",37,499,9,"92,905","5,544","16,757,263",Africa,"2,002","109,525",180
80,Ethiopia,"8,181",+212,146,+7,"2,430",,"5,605",35,71,1,"250,604","2,178","115,052,048",Africa,"14,063","788,028",459
81,DRC,"8,163",+28,192,+2,"3,983",+35,"3,988",,91,2,,,"89,637,777",Africa,"10,981","466,863",
82,Bulgaria,"7,877",+232,289,+6,"3,841",+178,"3,747",28,"1,134",42,"189,953","27,347","6,945,980",Europe,882,"24,035",37
83,Bosnia and Herzegovina,"7,411",+306,235,+8,"3,335",+156,"3,841",,"2,260",72,"114,344","34,862","3,279,870",Europe,443,"13,957",29
84,Finland,"7,293",,328,,"6,880",+80,85,1,"1,316",59,"291,100","52,535","5,541,089",Europe,760,"16,894",19
85,Palestine,"7,064",+300,44,,"1,084",,"5,936",,"1,384",9,"141,444","27,706","5,105,193",Asia,723,"116,027",36
86,Haiti,"6,831",+104,143,+2,"3,283",+261,"3,405",,599,13,"14,544","1,275","11,407,750",North America,"1,670","79,774",784
87,Tajikistan,"6,695",+52,56,,"5,383",+51,"1,256",,701,6,,,"9,544,560",Asia,"1,426","170,439",
88,French Guiana,"6,299",+70,33,+2,"3,738",+266,"2,528",24,"21,073",110,"11,273","37,713","298,918",South America,47,"9,058",27
89,Guinea,"6,276",+76,38,,"4,981",+30,"1,257",24,478,3,"14,407","1,096","13,143,415",Africa,"2,094","345,879",912
90,Gabon,"6,121",+95,46,,"3,664",+189,"2,411",11,"2,748",21,"52,166","23,420","2,227,398",Africa,364,"48,422",43
91,Madagascar,"5,605",+262,43,+4,"2,811",+165,"2,751",51,202,2,"30,530","1,102","27,712,778",Africa,"4,944","644,483",908
92,Mauritania,"5,564",+46,149,,"2,830",+166,"2,585",5,"1,196",32,"13,842","2,975","4,653,356",Africa,836,"31,231",336
93,Luxembourg,"5,122",+66,111,,"4,247",+52,764,4,"8,178",177,"302,812","483,463","626,339",Europe,122,"5,643",2
94,Djibouti,"4,985",+6,56,,"4,765",+22,164,,"5,043",57,"52,257","52,864","988,523",Africa,198,"17,652",19
95,CAR,"4,362",+6,53,,"1,261",+32,"3,048",2,903,11,"27,679","5,727","4,832,699",Africa,"1,108","91,183",175
96,Hungary,"4,263",+5,595,,"3,126",+20,542,5,441,62,"299,185","30,974","9,659,253",Europe,"2,266","16,234",32
97,Croatia,"3,953",+92,120,,"2,629",+71,"1,204",5,963,29,"97,724","23,811","4,104,090",Europe,"1,038","34,201",42
98,Greece,"3,910",+27,193,,"1,374",,"2,343",13,375,19,"391,773","37,596","10,420,718",Europe,"2,665","53,993",27
