#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"5,577,503","+91,065","118,661","+1,559","4,270,478","+74,186","1,188,364","18,946",,,,,,Asia,,,
NA,North America,"6,513,183","+64,553","246,055","+1,774","3,553,783","+38,015","2,713,345","24,199",,,,,,North America,,,
NA,South America,"5,227,622","+73,031","174,776","+1,548","3,754,186","+48,945","1,298,660","14,863",,,,,,South America,,,
NA,Europe,"3,148,310","+19,687","202,931",+285,"1,904,030","+10,757","1,041,349","5,180",,,,,,Europe,,,
NA,Africa,"1,113,143","+11,801","25,383",+240,"828,034","+13,627","259,726","1,196",,,,,,Africa,,,
NA,Oceania,"25,132",+299,405,+4,"15,349",+284,"9,378",49,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"21,605,614","+260,436","768,226","+5,410","14,326,511","+185,814","6,510,877","64,437","2,772",98.6,,,,All,,,
1,China,"84,808",+22,"4,634",,"79,519",+57,655,36,59,3,"90,410,000","62,814","1,439,323,776",Asia,"16,972","310,601",16
2,USA,"5,529,789","+53,523","172,606","+1,071","2,904,389","+29,242","2,452,794","17,186","16,694",521,"70,224,673","212,002","331,245,770",North America,60,"1,919",5
3,Brazil,"3,317,832","+38,937","107,297",+726,"2,404,272","+19,970","806,263","8,318","15,595",504,"13,464,336","63,288","212,747,790",South America,64,"1,983",16
4,India,"2,589,208","+63,986","50,084",+950,"1,860,672","+53,116","678,452","8,944","1,874",36,"28,563,095","20,673","1,381,678,359",Asia,534,"27,587",48
5,Russia,"917,884","+5,061","15,617",+119,"729,411","+6,447","172,856","2,300","6,289",107,"32,221,546","220,783","145,942,457",Europe,159,"9,345",5
6,South Africa,"583,653","+4,513","11,677",+121,"466,941","+5,207","105,035",539,"9,826",197,"3,378,029","56,869","59,399,953",Africa,102,"5,087",18
7,Peru,"525,803","+9,507","26,075",+219,"359,781","+5,549","139,947","1,540","15,920",789,"2,738,229","82,907","33,027,616",South America,63,"1,267",12
8,Mexico,"511,369","+5,618","55,908",+615,"345,653","+4,146","109,808","3,646","3,961",433,"1,156,852","8,961","129,099,449",North America,252,"2,309",112
9,Colombia,"456,689","+11,578","14,810",+318,"274,420","+13,124","167,459","1,493","8,964",291,"2,143,097","42,063","50,949,591",South America,112,"3,440",24
10,Chile,"383,902","+1,791","10,395",+55,"356,951","+1,914","16,556","1,207","20,061",543,"1,988,709","103,922","19,136,544",South America,50,"1,841",10
11,Spain,"358,843",,"28,617",,N/A,N/A,N/A,617,"7,675",612,"7,472,031","159,805","46,757,092",Europe,130,"1,634",6
12,Iran,"341,070","+2,245","19,492",+161,"295,630","+1,819","25,948","3,911","4,054",232,"2,836,252","33,715","84,124,058",Asia,247,"4,316",30
13,UK,"317,379","+1,012","41,361",+3,N/A,N/A,N/A,73,"4,672",609,"14,320,621","210,812","67,930,780",Europe,214,"1,642",5
