#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"4,449,848","+74,991","99,324","+1,228","3,296,381","+57,919","1,054,143","19,085",,,,,,Asia,,,
NA,North America,"5,652,174","+63,124","221,901","+1,373","2,914,948","+26,277","2,515,325","26,071",,,,,,North America,,,
NA,South America,"4,244,474","+53,746","146,817","+1,276","2,851,399","+15,195","1,246,258","14,300",,,,,,South America,,,
NA,Europe,"2,898,497","+12,930","203,794",+202,"1,748,455","+6,507","946,248","5,142",,,,,,Europe,,,
NA,Africa,"961,388","+12,658","20,350",+332,"615,344","+9,024","325,694","1,150",,,,,,Africa,,,
NA,Oceania,"19,709",+663,233,+7,"12,074",+218,"7,402",46,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"18,226,811","+218,112","692,434","+4,418","11,439,252","+115,140","6,095,125","65,798","2,338",88.8,,,,All,,,
1,China,"84,385",+49,"4,634",,"79,003",+14,748,36,59,3,"90,410,000","62,814","1,439,323,776",Asia,"17,057","310,601",16
2,USA,"4,813,647","+49,038","158,365",+467,"2,380,217","+17,314","2,275,065","18,623","14,535",478,"59,935,508","180,977","331,176,957",North America,69,"2,091",6
3,Brazil,"2,733,677","+24,801","94,130",+514,"1,884,051",,"755,496","8,318","12,853",443,"13,096,132","61,573","212,694,204",South America,78,"2,260",16
4,India,"1,804,702","+52,783","38,161",+758,"1,187,228","+40,349","579,313","8,944","1,307",28,"19,821,831","14,351","1,381,196,835",Asia,765,"36,194",70
5,Russia,"850,870","+5,427","14,128",+70,"650,173","+3,649","186,569","2,300","5,830",97,"28,793,260","197,295","145,940,242",Europe,172,"10,330",5
6,South Africa,"511,485","+8,195","8,366",+213,"347,227","+4,766","155,892",539,"8,615",141,"3,036,779","51,147","59,373,395",Africa,116,"7,097",20
7,Mexico,"434,193","+9,556","47,472",+784,"284,847","+6,229","101,874","3,994","3,364",368,"999,697","7,747","129,051,364",North America,297,"2,718",129
8,Peru,"428,850","+6,667","19,614",+206,"294,187","+3,352","115,049","1,410","12,991",594,"2,404,046","72,825","33,011,298",South America,77,"1,683",14
9,Chile,"359,731","+2,073","9,608",+75,"332,411","+1,904","17,712","1,437","18,804",502,"1,673,289","87,466","19,130,722",South America,53,"1,991",11
10,Spain,"335,602",,"28,445",,N/A,N/A,N/A,617,"7,178",608,"6,678,414","142,834","46,756,451",Europe,139,"1,644",7
11,Colombia,"317,651","+11,470","10,650",+320,"167,239","+6,531","139,762","1,493","6,237",209,"1,647,396","32,346","50,930,338",South America,160,"4,782",31
12,Iran,"309,437","+2,685","17,190",+208,"268,102","+2,272","24,145","4,089","3,680",204,"2,508,418","29,832","84,085,874",Asia,272,"4,892",34
13,UK,"304,695",+743,"46,201",+8,N/A,N/A,N/A,86,"4,486",680,"16,499,272","242,929","67,918,139",Europe,223,"1,470",4
14,Pakistan,"279,698",+552,"5,976",+6,"248,577",+550,"25,145","1,064","1,264",27,"2,010,170","9,086","221,248,898",Asia,791,"37,023",110
15,Saudi Arabia,"278,835","+1,357","2,917",+30,"240,081","+2,533","35,837","2,011","7,999",84,"3,432,354","98,461","34,859,989",Asia,125,"11,951",10
16,Italy,"248,070",+238,"35,154",+8,"200,460",+231,"12,456",42,"4,103",582,"6,916,765","114,415","60,453,535",Europe,244,"1,720",9
17,Bangladesh,"240,746",+886,"3,154",+22,"136,839",+586,"100,753",,"1,461",19,"1,189,295","7,215","164,833,483",Asia,685,"52,262",139
18,Turkey,"232,856",+987,"5,728",+18,"216,494",+978,"10,634",582,"2,758",68,"4,885,916","57,877","84,418,418",Asia,363,"14,738",17
19,Germany,"211,462",+385,"9,226",,"193,600",,"8,636",261,"2,523",110,"8,006,135","95,529","83,808,340",Europe,396,"9,084",10
20,Argentina,"201,919","+5,376","3,648",+52,"89,026","+2,527","109,245","1,122","4,464",81,"736,007","16,272","45,232,356",South America,224,"12,399",61
21,France,"187,919",,"30,265",,"81,500",,"76,154",371,"2,878",464,"2,982,302","45,680","65,286,732",Europe,347,"2,157",22
22,Iraq,"129,151","+2,447","4,868",+63,"91,886","+2,611","32,397",498,"3,205",121,"1,029,159","25,540","40,296,137",Asia,312,"8,278",39
23,Canada,"116,884",+285,"8,945",+4,"101,574",+138,"6,365","2,253","3,095",237,"4,143,459","109,698","37,771,409",North America,323,"4,223",9
24,Indonesia,"111,455","+1,519","5,236",+43,"68,975","+1,056","37,244",,407,19,"1,537,413","5,616","273,776,774",Asia,"2,456","52,287",178
25,Qatar,"111,107",+196,177,+3,"107,779",+201,"3,151",76,"39,571",63,"500,536","178,266","2,807,805",Asia,25,"15,863",6
26,Philippines,"103,104","+4,951","2,059",+20,"65,547",+290,"35,498",351,940,19,"1,536,626","14,007","109,706,778",Asia,"1,064","53,282",71
27,Egypt,"94,483",+167,"4,865",+31,"42,455","+1,318","47,163",41,922,47,"135,000","1,317","102,495,399",Africa,"1,085","21,068",759
28,Kazakhstan,"91,593","+1,226",793,,"61,839","+1,014","28,961",221,"4,873",42,"2,079,540","110,636","18,796,213",Asia,205,"23,703",9
29,Ecuador,"86,524",+292,"5,750",+14,"36,213",,"44,561",363,"4,898",325,"246,730","13,966","17,665,894",South America,204,"3,072",72
30,Sweden,"80,422",,"5,743",,N/A,N/A,N/A,40,"7,959",568,"810,356","80,194","10,104,909",Europe,126,"1,760",12
31,Oman,"79,159",,421,,"61,421",,"17,317",187,"15,470",82,"305,651","59,732","5,117,023",Asia,65,"12,154",17
32,Bolivia,"78,793","+2,004","3,064",+87,"23,968",+386,"51,761",71,"6,742",262,"168,175","14,390","11,686,718",South America,148,"3,814",69
33,Israel,"72,815",+597,536,+10,"45,677",+575,"26,602",342,"7,917",58,"1,781,967","193,743","9,197,590",Asia,126,"17,160",5
34,Dominican Republic,"72,243",+828,"1,178",+8,"38,244",+735,"32,821",385,"6,654",108,"260,171","23,962","10,857,460",North America,150,"9,217",42
35,Ukraine,"72,168","+1,112","1,725",+16,"39,543",+235,"30,900",128,"1,651",39,"1,058,383","24,214","43,708,714",Europe,606,"25,338",41
36,Belgium,"69,402",+651,"9,845",+4,"17,573",+27,"41,984",56,"5,986",849,"1,694,349","146,138","11,594,189",Europe,167,"1,178",7
37,Belarus,"68,067",+121,567,+4,"62,896",+210,"4,604",,"7,204",60,"1,319,976","139,694","9,449,035",Europe,139,"16,665",7
38,Kuwait,"67,911",+463,457,+4,"59,213",+688,"8,241",129,"15,882",107,"509,561","119,169","4,275,968",Asia,63,"9,357",8
39,Panama,"67,453","+1,070","1,471",+22,"41,038",+957,"24,944",164,"15,612",340,"229,831","53,195","4,320,539",North America,64,"2,937",19
40,UAE,"60,999",+239,351,,"54,615",+360,"6,033",,"6,161",35,"5,162,080","521,382","9,900,773",Asia,162,"28,207",2
41,Netherlands,"55,098",+366,"6,149",+1,N/A,N/A,N/A,21,"3,215",359,"962,965","56,188","17,138,342",Europe,311,"2,787",18
42,Romania,"53,186","+1,075","2,413",+34,"27,592",+246,"23,181",412,"2,766",126,"1,240,273","64,512","19,225,418",Europe,361,"7,967",16
43,Singapore,"52,825",+313,27,,"46,926",+186,"5,872",,"9,023",5,"1,321,094","225,657","5,854,430",Asia,111,"216,831",4
44,Portugal,"51,463",+153,"1,738",+1,"36,984",+201,"12,741",41,"5,048",170,"1,622,951","159,208","10,193,917",Europe,198,"5,865",6
45,Guatemala,"51,306",+327,"1,995",+36,"38,416",+543,"10,895",5,"2,859",111,"161,606","9,006","17,943,272",North America,350,"8,994",111
46,Poland,"46,894",+548,"1,731",+10,"34,709",+335,"10,454",76,"1,239",46,"2,297,427","60,710","37,842,753",Europe,807,"21,862",16
47,Nigeria,"43,841",+304,888,+5,"20,308",+221,"22,645",7,212,4,"286,091","1,385","206,550,293",Africa,"4,711","232,602",722
48,Honduras,"42,685",+671,"1,368",+31,"5,694",+140,"35,623",43,"4,304",138,"105,820","10,670","9,917,981",North America,232,"7,250",94
49,Bahrain,"41,536",+346,147,,"38,666",+455,"2,723",47,"24,347",86,"842,992","494,128","1,706,019",Asia,41,"11,606",2
50,Armenia,"39,050",+209,754,+5,"29,750",+193,"8,546",10,"13,176",254,"166,701","56,247","2,963,751",Asia,76,"3,931",18
51,Ghana,"37,014",,182,,"33,365",,"3,467",8,"1,189",6,"396,731","12,746","31,126,380",Africa,841,"171,024",78
52,Kyrgyzstan,"36,719",+420,"1,409",+12,"27,274",+855,"8,036",24,"5,620",216,"267,718","40,977","6,533,301",Asia,178,"4,637",24
53,Afghanistan,"36,710",,"1,284",+1,"25,510",+1,"9,916",31,941,33,"89,255","2,289","38,999,842",Asia,"1,062","30,374",437
54,Japan,"36,689",+853,"1,011",,"25,906",+400,"9,772",83,290,8,"836,404","6,615","126,440,072",Asia,"3,446","125,064",151
55,Switzerland,"35,550",+138,"1,981",,"31,500",+200,"2,069",25,"4,105",229,"801,742","92,577","8,660,262",Europe,244,"4,372",11
56,Azerbaijan,"32,443",+286,462,+8,"27,113",+639,"4,868",66,"3,197",46,"738,963","72,824","10,147,245",Asia,313,"21,964",14
57,Algeria,"31,465",+515,"1,231",+8,"21,419",+431,"8,815",64,716,28,,,"43,917,413",Africa,"1,396","35,676",
58,Serbia,"26,193",+311,590,+8,"14,047",,"11,556",146,"2,999",68,"686,488","78,599","8,734,048",Europe,333,"14,803",13
59,Ireland,"26,162",+53,"1,763",,"23,364",,"1,035",4,"5,293",357,"636,085","128,694","4,942,598",Europe,189,"2,804",8
60,Morocco,"25,537",+522,382,+15,"18,435",+475,"6,720",31,691,10,"1,295,194","35,054","36,948,579",Africa,"1,447","96,724",29
61,Moldova,"25,362",+249,791,+3,"17,816",+245,"6,755",362,"6,288",196,"128,076","31,756","4,033,085",Europe,159,"5,099",31
62,Uzbekistan,"25,336",+553,151,+4,"15,833",+534,"9,352",185,756,5,"1,377,915","41,119","33,510,724",Asia,"1,323","221,925",24
63,Kenya,"22,053",+690,369,+5,"8,477",+58,"13,207",44,409,7,"315,723","5,861","53,868,186",Africa,"2,443","145,984",171
64,Austria,"21,304",+92,718,,"18,984",+73,"1,602",20,"2,364",80,"905,314","100,467","9,011,017",Europe,423,"12,550",10
65,Nepal,"20,332",+246,57,+1,"14,603",+111,"5,672",,697,2,"703,672","24,114","29,180,751",Asia,"1,435","511,943",41
66,Venezuela,"20,206",+763,174,+5,"11,404",+275,"8,628",25,711,6,"1,545,895","54,379","28,428,376",South America,"1,407","163,381",18
67,Costa Rica,"18,975",+788,162,+8,"4,585",+54,"14,228",98,"3,722",32,"92,680","18,179","5,098,222",North America,269,"31,471",55
68,Ethiopia,"18,706",+707,310,+26,"7,601",+406,"10,795",153,162,3,"437,319","3,796","115,192,520",Africa,"6,158","371,589",263
69,Australia,"17,923",+641,208,+7,"10,420",+218,"7,295",46,702,8,"4,359,636","170,794","25,525,632",Australia/Oceania,"1,424","122,719",6
70,El Salvador,"17,448",+398,467,+8,"8,634",+139,"8,347",493,"2,689",72,"243,842","37,577","6,489,157",North America,372,"13,895",27
71,Cameroon,"17,255",,391,,"15,320",,"1,544",30,649,15,"149,000","5,602","26,598,944",Africa,"1,542","68,028",179
