#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"8,100,485","+124,463","157,216","+1,765","6,540,320","+94,368","1,402,949","19,228",,,,,,Asia,,,
NA,North America,"7,785,288","+46,983","283,877","+1,994","4,699,286","+57,797","2,802,125","18,666",,,,,,North America,,,
NA,South America,"6,861,857","+66,173","222,273","+1,895","5,564,336","+95,762","1,075,248","15,022",,,,,,South America,,,
NA,Europe,"3,908,608","+40,427","211,149",+401,"2,198,140","+13,600","1,499,319","6,210",,,,,,Europe,,,
NA,Africa,"1,328,263","+8,365","31,962",+161,"1,063,653","+8,341","232,648","1,468",,,,,,Africa,,,
NA,Oceania,"29,609",+120,812,+11,"25,311",+143,"3,486",35,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"28,014,831","+286,531","907,304","+6,227","20,091,697","+270,011","7,015,830","60,633","3,594",116.4,,,,All,,,
1,China,"85,146",+2,"4,634",,"80,347",+12,165,3,59,3,"160,000,000","111,163","1,439,323,776",Asia,"16,904","310,601",9
2,USA,"6,549,475","+35,244","195,239","+1,209","3,846,095","+49,335","2,508,141","14,578","19,764",589,"89,283,072","269,430","331,378,104",North America,51,"1,697",4
3,India,"4,462,965","+95,529","75,091","+1,168","3,469,084","+73,057","918,790","8,944","3,228",54,"51,804,677","37,469","1,382,604,367",Asia,310,"18,412",27
4,Brazil,"4,199,332","+34,208","128,653","+1,136","3,453,336","+56,102","617,343","8,318","19,729",604,"14,408,116","67,691","212,850,840",South America,51,"1,654",15
5,Russia,"1,041,007","+5,218","18,135",+142,"856,458","+6,409","166,414","2,300","7,133",124,"39,289,176","269,202","145,946,717",Europe,140,"8,048",4
6,Peru,"702,776","+6,586","30,236",+113,"536,959","+7,208","135,581","1,476","21,258",915,"3,428,910","103,721","33,058,997",South America,47,"1,093",10
7,Colombia,"686,856","+7,343","22,053",+236,"552,885","+11,423","111,918",863,"13,471",433,"3,028,754","59,403","50,986,614",South America,74,"2,312",17
8,Mexico,"642,860","+5,351","68,484",+703,"451,159","+4,444","123,217","3,030","4,976",530,"1,450,397","11,227","129,191,920",North America,201,"1,886",89
9,South Africa,"642,431","+1,990","15,168",+82,"569,935","+2,206","57,328",539,"10,806",255,"3,842,898","64,640","59,451,026",Africa,93,"3,920",15
10,Spain,"543,379","+8,866","29,628",+34,N/A,N/A,N/A,"1,051","11,621",634,"9,987,326","213,595","46,758,325",Europe,86,"1,578",5
11,Argentina,"512,293","+12,259","10,658",+253,"382,490","+15,900","119,145","2,719","11,315",235,"1,458,619","32,217","45,275,373",South America,88,"4,248",31
12,Chile,"427,027","+1,486","11,702",+20,"399,555","+1,825","15,770",942,"22,302",611,"2,691,374","140,558","19,147,740",South America,45,"1,636",7
13,Iran,"393,425","+2,313","22,669",+127,"339,111","+1,697","31,645","3,735","4,673",269,"3,431,646","40,757","84,197,490",Asia,214,"3,714",25
14,UK,"355,219","+2,659","41,594",+8,N/A,N/A,N/A,80,"5,227",612,"17,619,897","259,287","67,955,088",Europe,191,"1,634",4
15,France,"344,101","+8,577","30,794",+30,"88,524",+298,"224,783",599,"5,269",472,"8,500,000","130,165","65,301,684",Europe,190,"2,121",8
16,Bangladesh,"331,078","+1,827","4,593",+41,"230,804","+2,995","95,681",,"2,006",28,"1,674,452","10,148","165,003,705",Asia,498,"35,925",99
17,Saudi Arabia,"323,012",+775,"4,165",+28,"298,966",+720,"19,881","1,386","9,251",119,"5,548,202","158,900","34,916,319",Asia,108,"8,383",6
18,Pakistan,"299,659",+426,"6,359",+9,"286,506",+349,"6,794",544,"1,352",29,"2,825,040","12,743","221,694,953",Asia,740,"34,863",78
19,Turkey,"284,943","+1,673","6,837",+55,"254,188",+943,"23,918","1,181","3,372",81,"8,105,222","95,905","84,512,590",Asia,297,"12,361",10
20,Italy,"281,583","+1,434","35,577",+14,"211,272",+471,"34,734",150,"4,659",589,"9,460,203","156,511","60,444,341",Europe,215,"1,699",6
21,Iraq,"273,821","+4,243","7,732",+75,"209,993","+3,669","56,096",540,"6,779",191,"1,718,157","42,539","40,390,075",Asia,148,"5,224",24
22,Germany,"256,349","+1,393","9,410",+1,"231,900","+1,300","15,039",227,"3,058",112,"13,436,301","160,269","83,836,082",Europe,327,"8,909",6
23,Philippines,"245,126","+3,159","3,986",+70,"185,495",+328,"55,645",990,"2,231",36,"2,908,407","26,474","109,858,222",Asia,448,"27,561",38
24,Indonesia,"203,342","+3,307","8,336",+106,"145,200","+2,242","49,806",,742,30,"2,514,670","9,175","274,076,888",Asia,"1,348","32,879",109
25,Ukraine,"143,030","+2,551","2,979",+45,"64,703","+1,157","75,348",177,"3,274",68,"1,751,931","40,107","43,681,579",Europe,305,"14,663",25
