#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"3,825,421","+74,887","88,612","+1,258","2,764,389","+72,836","972,420","19,510",,,,,,Asia,,,
NA,North America,"5,054,303","+81,366","206,963","+1,797","2,522,968","+42,937","2,324,372","26,128",,,,,,North America,,,
NA,South America,"3,695,048","+69,647","132,984","+1,895","2,458,860","+41,389","1,103,204","14,224",,,,,,South America,,,
NA,Europe,"2,765,540","+13,178","201,263",+309,"1,662,507","+11,333","901,770","5,172",,,,,,Europe,,,
NA,Africa,"832,514","+18,349","17,570",+424,"487,462","+22,105","327,482","1,086",,,,,,Africa,,,
NA,Oceania,"15,656",+362,167,+6,"10,641",+88,"4,848",46,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"16,189,203","+257,789","647,574","+5,689","9,907,478","+190,688","5,634,151","66,170","2,077",83.1,,,,All,,,
1,China,"83,784",+34,"4,634",,"78,889",+16,261,6,58,3,"90,410,000","62,814","1,439,323,776",Asia,"17,179","310,601",16
2,USA,"4,315,709","+67,413","149,398",+908,"2,061,692","+33,800","2,104,619","18,984","13,033",451,"53,352,250","161,120","331,134,610",North America,77,"2,216",6
3,Brazil,"2,396,434","+48,234","86,496","+1,111","1,617,480","+25,199","692,458","8,318","11,269",407,"4,911,063","23,093","212,661,228",South America,89,"2,459",43
4,India,"1,385,494","+48,472","32,096",+690,"886,235","+36,128","467,163","8,944","1,003",23,"15,849,068","11,477","1,380,900,513",Asia,997,"43,024",87
5,Russia,"806,720","+5,871","13,192",+146,"597,140","+8,366","196,388","2,300","5,528",90,"26,610,623","182,341","145,938,879",Europe,181,"11,063",5
6,South Africa,"434,200","+12,204","6,655",+312,"263,054","+17,283","164,491",539,"7,315",112,"2,730,812","46,007","59,357,051",Africa,137,"8,919",22
7,Peru,"379,884","+3,923","18,030",+187,"263,130","+3,707","98,724","1,402","11,511",546,"2,206,105","66,849","33,001,256",South America,87,"1,830",15
8,Mexico,"378,285","+7,573","42,645",+737,"242,692","+6,483","92,948","3,889","2,932",331,"896,124","6,946","129,021,774",North America,341,"3,025",144
9,Chile,"343,592","+2,288","9,020",+106,"316,169","+2,473","18,403","1,636","17,964",472,"1,504,844","78,676","19,127,140",South America,56,"2,121",13
10,Spain,"319,501",,"28,432",,N/A,N/A,N/A,617,"6,833",608,"6,320,836","135,188","46,756,057",Europe,146,"1,644",7
11,UK,"298,681",+767,"45,738",+61,N/A,N/A,N/A,104,"4,398",674,"14,568,733","214,529","67,910,360",Europe,227,"1,485",5
12,Iran,"288,839","+2,316","15,484",+195,"251,319","+2,107","22,036","3,670","3,436",184,"2,302,634","27,392","84,062,376",Asia,291,"5,429",37
13,Pakistan,"271,887","+1,487","5,787",+24,"236,596","+16,813","29,504","1,294","1,229",26,"1,844,926","8,342","221,154,992",Asia,813,"38,216",120
14,Saudi Arabia,"264,973","+2,201","2,703",+31,"217,782","+2,051","44,488","2,120","7,604",78,"2,946,928","84,565","34,848,130",Asia,132,"12,892",12
15,Italy,"245,864",+274,"35,102",+5,"198,320",+128,"12,442",41,"4,067",581,"6,520,046","107,849","60,455,471",Europe,246,"1,722",9
16,Colombia,"240,795","+7,254","8,269",+294,"119,667","+5,803","112,859","1,493","4,729",162,"1,379,043","27,083","50,918,491",South America,211,"6,158",37
17,Turkey,"225,173",+921,"5,596",+16,"208,477","+1,103","11,100","1,252","2,668",66,"4,532,672","53,706","84,398,593",Asia,375,"15,082",19
18,Bangladesh,"221,178","+2,520","2,874",+38,"122,090","+1,114","96,214",1,"1,342",17,"1,101,480","6,684","164,797,647",Asia,745,"57,341",150
19,Germany,"206,332",+372,"9,202",+1,"190,600",+200,"6,530",237,"2,462",110,"7,418,812","88,527","83,802,499",Europe,406,"9,107",11
20,France,"180,528",,"30,192",,"80,815",,"69,521",410,"2,765",462,"2,982,302","45,682","65,283,584",Europe,362,"2,162",22
21,Argentina,"158,334","+4,814","2,893",+86,"68,022","+2,575","87,419",955,"3,501",64,"623,893","13,796","45,223,300",South America,286,"15,632",72
22,Canada,"113,556",+350,"8,885",+4,"99,115",+242,"5,556","2,224","3,007",235,"3,761,927","99,616","37,764,184",North America,333,"4,250",10
23,Qatar,"109,036",+398,164,,"105,750",+330,"3,122",98,"38,833",58,"469,000","167,034","2,807,805",Asia,26,"17,121",6
24,Iraq,"107,573","+2,862","4,284",+72,"73,317","+2,049","29,972",449,"2,671",106,"895,187","22,226","40,276,360",Asia,374,"9,402",45
25,Indonesia,"97,286","+1,868","4,714",+49,"55,354","+1,409","37,218",,355,17,"1,361,207","4,973","273,713,592",Asia,"2,813","58,064",201
26,Egypt,"91,583",+511,"4,558",+40,"32,903",+933,"54,122",41,894,44,"135,000","1,318","102,453,147",Africa,"1,119","22,478",759
27,Kazakhstan,"80,226","+1,740",585,,"51,260","+1,772","28,381",221,"4,269",31,"1,894,815","100,835","18,791,305",Asia,234,"32,122",10
28,Ecuador,"80,036",+987,"5,507",+39,"34,544",,"39,985",278,"4,532",312,"224,197","12,695","17,660,035",South America,221,"3,207",79
29,Sweden,"78,997",,"5,697",,N/A,N/A,N/A,50,"7,819",564,"751,213","74,352","10,103,535",Europe,128,"1,773",13
30,Philippines,"78,412","+1,968","1,897",+18,"25,752","+1,250","50,763",351,715,17,"1,299,445","11,848","109,674,895",Asia,"1,399","57,815",84
31,Oman,"74,858","+1,067",371,+12,"54,061","+1,054","20,426",167,"14,637",73,"290,726","56,847","5,114,175",Asia,68,"13,785",18
32,Belarus,"67,002",+156,530,+6,"60,092",+337,"6,380",89,"7,091",56,"1,241,624","131,401","9,449,102",Europe,141,"17,828",8
33,Bolivia,"66,456","+1,204","2,473",+66,"20,614",+584,"43,369",71,"5,688",212,"144,045","12,329","11,683,237",South America,176,"4,724",81
34,Belgium,"65,199",+352,"9,817",+5,"17,394",+25,"37,988",41,"5,624",847,"1,514,046","130,599","11,593,089",Europe,178,"1,181",8
35,Ukraine,"63,929","+1,106","1,590",+19,"35,497",+611,"26,842",91,"1,462",36,"937,006","21,435","43,714,427",Europe,684,"27,493",47
36,Kuwait,"63,309",+684,429,+4,"53,607",+692,"9,273",123,"14,811",100,"479,411","112,154","4,274,587",Asia,68,"9,964",9
37,Dominican Republic,"60,896","+1,819","1,055",+19,"27,980",+355,"31,861",267,"5,610",97,"235,289","21,675","10,855,084",North America,178,"10,289",46
38,Israel,"60,678","+1,203",457,+9,"26,917",+120,"33,304",310,"6,597",50,"1,597,269","173,662","9,197,590",Asia,152,"20,126",6
39,Panama,"58,864",+871,"1,275",+25,"33,428",+724,"24,161",158,"13,629",295,"203,600","47,140","4,319,053",North America,73,"3,387",21
40,UAE,"58,562",+313,343,,"51,628",+393,"6,591",,"5,916",35,"4,776,904","482,605","9,898,162",Asia,169,"28,858",2
41,Netherlands,"52,732",+137,"6,139",,N/A,N/A,N/A,16,"3,077",358,"851,885","49,709","17,137,516",Europe,325,"2,792",20
42,Portugal,"49,955",+263,"1,716",+4,"35,010",+323,"13,229",50,"4,900",168,"1,528,600","149,943","10,194,564",Europe,204,"5,941",7
43,Singapore,"49,888",+513,27,,"45,352",+180,"4,509",,"8,523",5,"1,170,049","199,891","5,853,425",Asia,117,"216,794",5
44,Guatemala,"44,492","+1,209","1,699",+30,"31,045",+895,"11,748",5,"2,481",95,"138,850","7,741","17,936,018",North America,403,"10,557",129
45,Romania,"43,678","+1,284","2,165",+15,"25,373",+24,"16,140",315,"2,272",113,"1,087,783","56,572","19,228,208",Europe,440,"8,881",18
