#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"798,308","+20,228","24,734",+432,"458,731","314,843","4,973",,,,,,Asia
NA,North America,"1,684,258","+23,950","102,919","+1,257","432,700","1,148,639","17,512",,,,,,North America
NA,Europe,"1,780,768","+19,416","162,839","+1,167","769,709","848,220","11,604",,,,,,Europe
NA,South America,"440,182","+15,635","23,117",+711,"153,379","263,686","10,426",,,,,,South America
NA,Africa,"86,381","+3,018","2,777",+51,"33,496","50,108",288,,,,,,Africa
NA,Oceania,"8,648",+10,119,,"7,900",629,16,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"4,799,266","+82,257","316,520","+3,618","1,856,566","2,626,180","44,823",616,40.6,,,,All
1,China,"82,947",+6,"4,634",+1,"78,227",86,10,58,3,,,"1,439,323,776",Asia
2,USA,"1,527,664","+19,891","90,978",+865,"346,389","1,090,297","16,355","4,619",275,"11,875,580","35,903","330,769,370",North America
3,Russia,"281,752","+9,709","2,631",+94,"67,373","211,748","2,300","1,931",18,"6,916,088","47,394","145,927,122",Europe
4,Spain,"277,719","+1,214","27,650",+87,"195,945","54,124","1,152","5,940",591,"3,037,840","64,977","46,752,654",Europe
5,UK,"243,695","+3,534","34,636",+170,N/A,N/A,"1,559","3,592",511,"2,580,769","38,040","67,843,268",Europe
6,Brazil,"241,080","+7,938","16,118",+485,"94,122","130,840","8,318","1,135",76,"735,224","3,462","212,376,810",South America
7,Italy,"225,435",+675,"31,908",+145,"125,176","68,351",762,"3,728",528,"3,004,960","49,692","60,472,166",Europe
8,France,"179,569",+204,"28,108",+483,"61,213","90,248","2,087","2,752",431,"1,384,633","21,218","65,256,433",Europe
9,Germany,"176,651",+407,"8,049",+22,"153,400","15,202","1,166","2,109",96,"3,147,771","37,584","83,752,125",Europe
10,Turkey,"149,435","+1,368","4,140",+44,"109,962","35,333",914,"1,774",49,"1,624,994","19,293","84,227,597",Asia
11,Iran,"120,198","+1,806","6,988",+51,"94,464","18,746","2,705","1,433",83,"686,935","8,191","83,859,705",Asia
12,India,"95,698","+5,050","3,025",+154,"36,795","55,878",,69,2,"2,227,642","1,616","1,378,344,732",Asia
13,Peru,"92,273","+3,732","2,648",+125,"28,621","61,004",850,"2,803",80,"650,613","19,767","32,914,644",South America
14,Canada,"77,002","+1,138","5,782",+103,"38,550","32,670",502,"2,042",153,"1,300,729","34,500","37,701,865",North America
15,Belgium,"55,280",+291,"9,052",+47,"14,630","31,598",371,"4,772",781,"682,980","58,961","11,583,602",Europe
16,Saudi Arabia,"54,752","+2,736",312,+10,"25,722","28,718",202,"1,576",9,"586,405","16,877","34,745,848",Asia
17,Mexico,"47,144","+2,112","5,045",+278,"31,848","10,251",378,366,39,"163,691","1,271","128,766,554",North America
18,Netherlands,"43,995",+125,"5,680",+10,N/A,N/A,349,"2,568",332,"287,943","16,809","17,130,389",Europe
19,Chile,"43,781","+2,353",450,+29,"19,213","24,118",769,"2,293",24,"363,496","19,035","19,096,239",South America
20,Pakistan,"40,151","+1,352",873,+39,"11,341","27,937",111,182,4,"373,410","1,695","220,345,049",Asia
21,Ecuador,"33,182",+419,"2,736",+48,"3,433","27,013",189,"1,884",155,"95,047","5,397","17,609,499",South America
22,Qatar,"32,604","+1,632",15,,"4,370","28,219",165,"11,341",5,"157,570","54,809","2,874,914",Asia
23,Switzerland,"30,587",+15,"1,881",+2,"27,500","1,206",69,"3,537",218,"343,359","39,709","8,646,966",Europe
24,Sweden,"30,143",+466,"3,679",+5,"4,971","21,493",287,"2,987",365,"177,500","17,589","10,091,684",Europe
25,Belarus,"29,650",+969,165,+5,"9,932","19,553",92,"3,138",17,"350,515","37,093","9,449,686",Europe
26,Portugal,"29,036",+226,"1,218",+15,"4,636","23,182",108,"2,847",119,"618,066","60,594","10,200,144",Europe
27,Singapore,"28,038",+682,22,,"9,340","18,676",16,"4,797",4,"246,254","42,132","5,844,763",Asia
28,Ireland,"24,112",+64,"1,543",+10,"19,470","3,099",54,"4,890",313,"258,808","52,486","4,930,999",Europe
29,UAE,"23,358",+731,220,+6,"8,512","14,626",1,"2,365",22,"1,600,923","162,108","9,875,638",Asia
30,Bangladesh,"22,268","+1,273",328,+14,"4,373","17,567",1,135,2,"175,228","1,065","164,488,562",Asia
31,Poland,"18,529",+272,925,+10,"7,451","10,153",160,490,24,"620,249","16,386","37,851,440",Europe
32,Ukraine,"18,291",+433,514,+17,"5,116","12,661",238,418,12,"227,801","5,205","43,763,700",Europe
33,Indonesia,"17,514",+489,"1,148",+59,"4,129","12,237",,64,4,"187,965",688,"273,168,646",Asia
34,Romania,"16,871",+167,"1,107",+13,"9,890","5,874",205,876,57,"310,407","16,123","19,252,270",Europe
35,Israel,"16,617",+10,272,+4,"12,942","3,403",50,"1,924",31,"498,711","57,731","8,638,547",Asia
36,Japan,"16,285",+48,744,+19,"11,153","4,388",230,129,6,"244,452","1,932","126,521,169",Asia
37,Austria,"16,242",+41,629,,"14,563","1,050",48,"1,805",70,"362,509","40,278","9,000,226",Europe
38,Colombia,"15,574",+635,574,+12,"3,751","11,249",136,306,11,"190,114","3,741","50,816,306",South America
39,South Africa,"15,515","+1,160",264,+3,"7,006","8,245",119,262,4,"460,873","7,783","59,216,090",Africa
40,Kuwait,"14,850","+1,048",112,+5,"4,093","10,645",168,"3,484",26,"244,476","57,353","4,262,674",Asia
41,Philippines,"12,513",+208,824,+7,"2,635","9,054",79,114,8,"215,060","1,966","109,399,904",Asia
42,Dominican Republic,"12,314",+204,428,,"5,847","6,039",127,"1,137",40,"50,108","4,625","10,834,592",North America
43,Egypt,"12,229",+510,630,+18,"3,172","8,427",41,120,6,"135,000","1,322","102,088,722",Africa
44,S. Korea,"11,050",+13,262,,"9,888",900,55,216,5,"747,653","14,584","51,263,999",Asia
45,Denmark,"10,927",+69,547,+4,"9,227","1,153",27,"1,887",94,"455,613","78,693","5,789,776",Europe
46,Serbia,"10,610",+114,230,+2,"4,713","5,667",18,"1,214",26,"181,272","20,737","8,741,417",Europe
47,Panama,"9,449",+181,269,+3,"6,080","3,100",72,"2,194",62,"49,104","11,403","4,306,239",North America
48,Czechia,"8,475",+20,298,+2,"5,462","2,715",39,792,28,"353,186","32,988","10,706,636",Europe
49,Norway,"8,249",+12,232,,32,"7,985",20,"1,523",43,"216,350","39,946","5,416,102",Europe
50,Argentina,"8,068",+263,373,+10,"2,569","5,126",154,179,8,"103,220","2,286","45,145,190",South America
51,Australia,"7,045",+9,98,,"6,367",580,16,277,4,"1,042,126","40,926","25,463,408",Australia/Oceania
52,Algeria,"7,019",+198,548,+6,"3,507","2,964",22,160,13,"6,500",149,"43,750,607",Africa
53,Bahrain,"6,956",+209,12,,"2,910","4,034",8,"4,107",7,"236,828","139,845","1,693,504",Asia
54,Malaysia,"6,894",+22,113,,"5,571","1,210",13,213,3,"443,263","13,717","32,314,600",Asia
55,Morocco,"6,870",+129,192,,"3,660","3,018",1,186,5,"89,957","2,441","36,856,563",Africa
56,Afghanistan,"6,664",+262,169,+1,778,"5,717",19,172,4,"22,639",583,"38,814,948",Asia
57,Finland,"6,347",+61,298,+1,"5,000","1,049",30,"1,146",54,"146,800","26,500","5,539,705",Europe
58,Kazakhstan,"6,157",+307,34,,"3,256","2,867",31,328,2,"505,216","26,946","18,748,973",Asia
59,Moldova,"6,060",+126,211,+4,"2,344","3,505",251,"1,502",52,"20,447","5,067","4,035,049",Europe
60,Nigeria,"5,959",+338,182,+6,"1,594","4,183",7,29,0.9,"33,970",165,"205,472,159",Africa
61,Ghana,"5,735",,29,,"1,754","3,952",5,185,0.9,"173,096","5,586","30,989,647",Africa
62,Oman,"5,186",+157,22,+1,"1,465","3,699",31,"1,019",4,"61,000","11,985","5,089,612",Asia
63,Armenia,"4,472",+189,60,+5,"1,925","2,487",10,"1,509",20,"40,230","13,579","2,962,589",Asia
64,Luxembourg,"3,945",+15,107,+3,"3,702",136,14,"6,315",171,"62,153","99,493","624,696",Europe
65,Bolivia,"3,826",+249,165,+1,473,"3,188",3,328,14,"14,803","1,270","11,653,213",South America
66,Hungary,"3,509",+36,451,+3,"1,396","1,662",47,363,47,"135,137","13,985","9,663,190",Europe
67,Iraq,"3,404",+144,123,+2,"2,218","1,063",,85,3,"149,701","3,733","40,105,788",Asia
