#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
68,Azerbaijan,"3,274",+136,39,+3,"2,015","1,220",37,323,4,"232,077","22,914","10,128,038",Asia
69,Cameroon,"3,105",,140,,"1,567","1,398",28,117,5,,,"26,459,502",Africa
70,Thailand,"3,028",+3,56,,"2,856",116,61,43,0.8,"286,008","4,099","69,779,241",Asia
71,Greece,"2,834",+15,163,+1,"1,374","1,297",22,272,16,"128,525","12,324","10,428,885",Europe
72,Uzbekistan,"2,753",+15,12,+1,"2,247",494,8,82,0.4,"460,000","13,769","33,408,634",Asia
73,Guinea,"2,658",,16,,"1,133","1,509",18,203,1,"10,304",787,"13,085,782",Africa
74,Honduras,"2,565",+105,138,+4,278,"2,149",10,259,14,"5,653",572,"9,884,814",North America
75,Senegal,"2,480",+51,25,,973,"1,482",6,149,1,"24,599","1,474","16,685,890",Africa
76,Bosnia and Herzegovina,"2,290",+23,133,+4,"1,436",721,4,698,41,"49,832","15,178","3,283,142",Europe
77,Sudan,"2,289",,97,,222,"1,970",,52,2,,,"43,716,354",Africa
78,Croatia,"2,226",+2,95,,"1,936",195,10,542,23,"53,877","13,115","4,108,150",Europe
79,Bulgaria,"2,211",+36,108,+3,598,"1,505",45,318,16,"65,574","9,429","6,954,364",Europe
80,Ivory Coast,"2,109",+48,27,+2,"1,004","1,078",,80,1,"18,303",696,"26,292,953",Africa
81,Cuba,"1,872",+10,79,,"1,495",298,10,165,7,"81,917","7,232","11,327,423",North America
82,Iceland,"1,802",,10,,"1,786",6,,"5,285",29,"56,875","166,801","340,976",Europe
83,North Macedonia,"1,792",+30,101,+3,"1,293",398,21,860,48,"21,436","10,289","2,083,384",Europe
84,Estonia,"1,774",+4,63,,938,773,4,"1,337",47,"69,520","52,411","1,326,430",Europe
85,Guatemala,"1,763",+120,33,+3,138,"1,592",5,99,2,"7,200",403,"17,873,451",North America
86,Lithuania,"1,541",+7,56,+1,997,488,17,565,21,"228,726","83,891","2,726,463",Europe
87,Tajikistan,"1,524",+202,39,+3,,"1,485",,160,4,,,"9,509,944",Asia
88,New Zealand,"1,499",+1,21,,"1,433",45,,311,4,"228,148","47,358","4,817,478",Australia/Oceania
89,Slovakia,"1,494",+1,28,,"1,163",303,3,274,5,"142,462","26,095","5,459,332",Europe
90,Slovenia,"1,466",+1,104,+1,273,"1,089",5,705,50,"69,363","33,365","2,078,905",Europe
91,DRC,"1,455",,61,,270,"1,124",,16,0.7,,,"89,196,871",Africa
92,Somalia,"1,421",+64,56,+1,152,"1,213",2,90,4,,,"15,834,504",Africa
93,Djibouti,"1,401",+70,4,,972,425,,"1,421",4,"17,532","17,777","986,206",Africa
94,Mayotte,"1,342",+30,18,,627,697,10,"4,935",66,"5,200","19,121","271,958",Africa
95,El Salvador,"1,338",+73,27,+1,462,849,23,206,4,"55,694","8,592","6,482,286",North America
96,Gabon,"1,320",,11,,244,"1,065",10,595,5,"7,445","3,355","2,218,909",Africa
97,Kyrgyzstan,"1,138",+21,14,,804,320,5,175,2,"59,490","9,137","6,510,635",Asia
98,Maldives,"1,094",+16,4,,58,"1,032",9,"2,028",7,"11,775","21,832","539,339",Asia
99,Hong Kong,"1,056",+3,4,,"1,024",28,1,141,0.5,"168,291","22,470","7,489,597",Asia
100,Tunisia,"1,037",,45,,816,176,3,88,4,"40,559","3,436","11,803,449",Africa
101,Latvia,"1,008",+11,19,,662,327,2,534,10,"88,405","46,812","1,888,520",Europe
102,Guinea-Bissau,990,+21,4,,26,960,,505,2,"1,500",765,"1,961,955",Africa
103,Sri Lanka,981,+24,9,,538,434,1,46,0.4,"43,137","2,016","21,402,538",Asia
104,Albania,946,+13,31,,715,200,1,329,11,"12,024","4,178","2,878,163",Europe
105,Cyprus,916,+2,17,,515,384,10,759,14,"87,549","72,577","1,206,296",Asia
106,Lebanon,911,+9,26,,247,638,3,133,4,"61,479","9,003","6,828,952",Asia
107,Niger,904,+15,54,+3,698,152,,38,2,"5,816",241,"24,086,326",Africa
108,Kenya,887,+57,50,,313,524,1,17,0.9,"43,712",815,"53,618,426",Africa
109,Costa Rica,863,+10,10,,565,288,3,170,2,"20,115","3,953","5,088,445",North America
110,Mali,860,+25,52,+4,494,314,,43,3,"3,383",168,"20,173,287",Africa
111,Burkina Faso,796,+14,51,,644,101,,38,2,,,"20,827,528",Africa
112,Paraguay,786,+8,11,,202,573,,110,2,"20,124","2,826","7,121,704",South America
113,Andorra,761,,51,,617,93,3,"9,851",660,"3,750","48,544","77,250",Europe
114,Zambia,753,+74,7,,188,558,1,41,0.4,"17,354",947,"18,315,744",Africa
115,Uruguay,734,+1,20,+1,564,150,4,211,6,"33,861","9,752","3,472,299",South America
116,Diamond Princess,712,,13,,651,48,4,,,,,,
117,Georgia,695,+12,12,,425,258,6,174,3,"38,961","9,765","3,990,056",Asia
118,San Marino,654,+1,41,,201,412,1,"19,279","1,209","3,499","103,145","33,923",Europe
119,Jordan,613,+6,9,,408,196,5,60,0.9,"144,356","14,165","10,190,738",Asia
120,Equatorial Guinea,594,,7,,22,565,,425,5,854,611,"1,396,748",Africa
121,Channel Islands,554,,43,,458,53,,"3,190",248,"5,342","30,760","173,668",Europe
122,Malta,553,+7,6,,454,93,1,"1,253",14,"50,616","114,670","441,404",Europe
123,Venezuela,541,+37,10,,241,290,1,19,0.4,"575,374","20,227","28,445,253",South America
124,Jamaica,517,+6,9,,121,387,,175,3,"8,193","2,768","2,959,624",North America
125,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,508,332",Africa
126,Sierra Leone,505,+43,32,+3,141,332,,63,4,,,"7,956,201",Africa
127,Chad,503,+29,53,+3,117,333,,31,3,,,"16,363,230",Africa
128,Haiti,456,+98,20,,21,415,,40,2,"1,669",147,"11,385,346",North America
129,Réunion,443,,,,354,89,4,495,,"17,200","19,228","894,540",Africa
130,Taiwan,440,,7,,395,38,,18,0.3,"69,206","2,906","23,811,687",Asia
131,Congo,391,,15,,87,289,,71,3,,,"5,500,357",Africa
132,Palestine,381,+5,2,,335,44,,75,0.4,"44,876","8,823","5,086,026",Asia
133,Benin,339,,2,,83,254,,28,0.2,"25,471","2,108","12,081,463",Africa
134,Isle of Man,335,,24,,285,26,9,"3,942",282,"4,102","48,271","84,979",Europe
135,Mauritius,332,,10,,322,0,,261,8,"86,887","68,333","1,271,519",Africa
136,Cabo Verde,328,,3,,84,241,,591,5,892,"1,606","555,245",Africa
137,CAR,327,,,,13,314,,68,,"3,498",726,"4,819,147",Africa
138,Montenegro,324,,9,,311,4,2,516,14,"10,167","16,188","628,057",Europe
139,Vietnam,320,+2,,,260,60,2,3,,"275,000","2,828","97,231,841",Asia
140,Ethiopia,317,+11,5,,113,199,,3,0.04,"57,254",500,"114,591,613",Africa
141,Madagascar,304,+21,1,+1,114,189,2,11,0.04,"5,670",205,"27,597,647",Africa
142,Togo,301,+3,11,,104,186,,36,1,"12,613","1,528","8,253,526",Africa
143,Nepal,295,+14,2,+1,36,257,,10,0.07,"92,440","3,180","29,070,358",Asia
144,Rwanda,292,+3,,,197,95,,23,,"49,374","3,824","12,910,275",Africa
145,South Sudan,290,+54,4,,4,282,,26,0.4,"3,356",300,"11,177,537",Africa
146,Sao Tome and Principe,235,,7,,4,224,,"1,075",32,175,800,"218,642",Africa
147,Uganda,227,,,,63,164,,5,,"72,161","1,584","45,546,614",Africa
148,Liberia,226,+3,21,+1,120,85,,45,4,,,"5,042,239",Africa
149,Eswatini,203,+1,2,,73,128,,175,2,"4,160","3,590","1,158,691",Africa
150,French Guiana,197,,1,,125,71,,662,3,,,"297,666",South America
151,Martinique,192,,14,,91,87,,512,37,,,"375,299",North America
152,Faeroe Islands,187,,,,187,0,,"3,829",,"8,863","181,466","48,841",Europe
153,Myanmar,184,+2,6,,97,81,,3,0.1,"13,634",251,"54,365,797",Asia
154,Guadeloupe,155,,13,,109,33,3,387,32,"2,866","7,163","400,116",North America
155,Gibraltar,147,,,,145,2,,"4,363",,"5,060","150,184","33,692",Europe
156,Brunei,141,,1,,136,4,2,323,2,"16,892","38,657","436,967",Asia
157,Mozambique,137,+8,,,44,93,,4,,"6,011",193,"31,139,416",Africa
158,Mongolia,136,+1,,,21,115,2,42,,"10,318","3,154","3,271,651",Asia
159,Yemen,128,+6,20,+2,1,107,,4,0.7,120,4,"29,741,182",Asia
160,Bermuda,123,,9,,73,41,2,"1,974",144,"5,017","80,525","62,304",North America
161,Cambodia,122,,,,122,0,1,7,,"15,152",908,"16,690,156",Asia
162,Guyana,117,,10,,43,64,2,149,13,"1,089","1,385","786,098",South America
163,Trinidad and Tobago,116,,8,,107,1,,83,6,"2,678","1,914","1,398,950",North America
164,Aruba,101,,3,,93,5,4,946,28,"1,937","18,152","106,712",North America
165,Bahamas,96,,11,,42,43,1,244,28,"1,814","4,618","392,785",North America
166,Monaco,96,,4,,87,5,1,"2,448",102,,,"39,208",Europe
167,Cayman Islands,94,,1,,55,38,,"1,432",15,"5,900","89,902","65,627",North America
168,Barbados,88,+2,7,,68,13,4,306,24,"3,924","13,657","287,334",North America
169,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,613","38,115",Europe
170,Sint Maarten,77,,15,,54,8,7,"1,798",350,414,"9,669","42,816",North America
171,Malawi,70,+5,3,,27,40,1,4,0.2,"1,803",95,"19,065,078",Africa
172,Libya,65,,3,,35,27,,9,0.4,"3,633",530,"6,859,671",Africa
173,Mauritania,62,+22,4,,7,51,,13,0.9,"2,015",435,"4,633,587",Africa
174,French Polynesia,60,,,,59,1,,214,,"3,216","11,457","280,713",Australia/Oceania
175,Syria,58,+7,3,,36,19,,3,0.2,,,"17,445,241",Asia
176,Angola,48,,2,,17,29,,1,0.06,"6,136",187,"32,728,977",Africa
177,Macao,45,,,,43,2,1,69,,,,"648,234",Asia
178,Zimbabwe,44,+2,4,,17,23,,3,0.3,"27,059","1,824","14,835,899",Africa
179,Saint Martin,39,,3,,30,6,1,"1,011",78,,,"38,583",North America
180,Eritrea,39,,,,39,0,,11,,,,"3,540,310",Africa
181,Nicaragua,25,,8,,7,10,,4,1,,,"6,614,824",North America
182,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,"1,871","97,830",North America
183,Botswana,25,+1,1,,17,7,,11,0.4,"11,495","4,901","2,345,548",Africa
184,Timor-Leste,24,,,,24,0,,18,,738,561,"1,315,246",Asia
185,Burundi,23,+8,1,,15,7,,2,0.08,284,24,"11,843,500",Africa
186,Gambia,23,,1,,12,10,,10,0.4,"1,341",557,"2,407,670",Africa
187,Grenada,22,,,,14,8,4,196,,"2,419","21,510","112,461",North America
188,Bhutan,21,,,,5,16,,27,,"13,701","17,781","770,563",Asia
189,Laos,19,,,,14,5,,3,,"4,451",613,"7,262,376",Asia
190,Belize,18,,2,,16,0,,45,5,"1,043","2,629","396,712",North America
191,Fiji,18,,,,15,3,,20,,"1,300","1,451","895,659",Australia/Oceania
192,New Caledonia,18,,,,18,0,,63,,"5,454","19,126","285,163",Australia/Oceania
193,Saint Lucia,18,,,,18,0,,98,,786,"4,283","183,527",North America
194,St. Vincent Grenadines,17,,,,14,3,,153,,155,"1,398","110,898",North America
195,Curaçao,16,,1,,14,1,,98,6,389,"2,372","164,013",North America
196,Dominica,16,,,,15,1,,222,,420,"5,836","71,965",North America
197,Namibia,16,,,,13,3,,6,,"2,074",818,"2,535,067",Africa
198,Saint Kitts and Nevis,15,,,,14,1,,282,,327,"6,152","53,154",North America
199,Falkland Islands,13,,,,13,0,,"3,750",,402,"115,950","3,467",South America
200,Turks and Caicos,12,,1,,10,1,,310,26,109,"2,820","38,652",North America
201,Vatican City,12,,,,2,10,,"14,981",,,,801,Europe
202,Comoros,11,,1,,3,7,,13,1,,,"867,218",Africa
203,Montserrat,11,,1,,10,0,,"2,204",200,36,"7,212","4,992",North America
204,Greenland,11,,,,11,0,,194,,"1,629","28,701","56,758",North America
205,Seychelles,11,,,,10,1,,112,,,,"98,274",Africa
206,Suriname,10,,1,,9,0,,17,2,404,689,"585,992",South America
207,MS Zaandam,9,,2,,,7,,,,,,,
208,British Virgin Islands,8,,1,,6,1,,265,33,167,"5,529","30,207",North America
209,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,925,443",Australia/Oceania
210,Caribbean Netherlands,6,,,,6,0,,229,,357,"13,630","26,193",North America
211,St. Barth,6,,,,6,0,,608,,,,"9,873",North America
212,Western Sahara,6,,,,6,0,,10,,,,"595,422",Africa
213,Anguilla,3,,,,3,0,,200,,,,"14,987",North America
214,Lesotho,1,,,,,1,,0.5,,,,"2,140,189",Africa
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797",North America
NA,Total:,"798,308","+20,228","24,734",+432,"458,731","314,843","4,973",,,,,,Asia
NA,Total:,"1,684,258","+23,950","102,919","+1,257","432,700","1,148,639","17,512",,,,,,North America
NA,Total:,"1,780,768","+19,416","162,839","+1,167","769,709","848,220","11,604",,,,,,Europe
NA,Total:,"440,182","+15,635","23,117",+711,"153,379","263,686","10,426",,,,,,South America
NA,Total:,"86,381","+3,018","2,777",+51,"33,496","50,108",288,,,,,,Africa
NA,Total:,"8,648",+10,119,,"7,900",629,16,,,,,,Australia/Oceania
NA,Total:,721,,15,,651,55,4,,,,,,
NA,Total:,"4,799,266","+82,257","316,520","+3,618","1,856,566","2,626,180","44,823",615.7,40.6,,,,All
