#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"5,039,746","+85,239","109,615","+1,556","3,810,983","+74,309","1,119,148","18,581",,,,,,Asia,,,
NA,North America,"6,115,595","+58,573","234,532","+1,335","3,260,525","+34,987","2,620,538","25,120",,,,,,North America,,,
NA,South America,"4,749,460","+49,771","159,676","+1,352","3,245,733","+46,649","1,344,051","14,719",,,,,,South America,,,
NA,Europe,"3,035,999","+13,241","206,139",+195,"1,824,572","+8,063","1,005,288","5,177",,,,,,Europe,,,
NA,Africa,"1,052,094","+12,416","23,324",+358,"736,638","+12,950","292,132","1,200",,,,,,Africa,,,
NA,Oceania,"22,986",+412,321,+17,"13,548",+308,"9,117",51,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"20,016,601","+219,652","733,622","+4,813","12,892,650","+177,266","6,390,329","64,852","2,568",94.1,,,,All,,,
1,China,"84,619",+23,"4,634",,"79,168",+45,817,43,59,3,"90,410,000","62,814","1,439,323,776",Asia,"17,009","310,601",16
2,USA,"5,199,444","+47,849","165,617",+534,"2,664,701","+26,231","2,369,126","17,812","15,698",500,"65,433,251","197,556","331,214,010",North America,64,"2,000",5
3,Brazil,"3,035,582","+22,213","101,136",+593,"2,118,460","+24,167","815,986","8,318","14,270",475,"13,231,548","62,201","212,723,058",South America,70,"2,103",16
4,India,"2,214,137","+62,117","44,466","+1,013","1,534,278","+54,474","635,393","8,944","1,603",32,"24,106,535","17,450","1,381,456,118",Asia,624,"31,068",57
5,Russia,"887,536","+5,189","14,931",+77,"693,422","+3,215","179,183","2,300","6,081",102,"30,640,020","209,947","145,941,435",Europe,164,"9,774",5
6,South Africa,"559,859","+6,671","10,408",+198,"411,474","+6,906","137,977",539,"9,427",175,"3,250,583","54,735","59,387,695",Africa,106,"5,706",18
7,Peru,"478,024","+7,012","21,072",+228,"324,020","+4,849","132,932","1,488","14,477",638,"2,573,691","77,943","33,020,085",South America,69,"1,567",13
8,Mexico,"475,902","+6,495","52,006",+695,"318,638","+5,252","105,258","3,892","3,687",403,"1,085,897","8,413","129,077,256",North America,271,"2,482",119
9,Colombia,"387,481","+10,611","12,842",+302,"212,688","+8,097","161,951","1,493","7,607",252,"1,909,111","37,477","50,940,705",South America,131,"3,967",27
10,Chile,"373,056","+2,033","10,077",+66,"345,826","+1,693","17,153","1,276","19,497",527,"1,841,355","96,235","19,133,857",South America,51,"1,899",10
11,Spain,"361,442",,"28,503",,N/A,N/A,N/A,617,"7,730",610,"7,064,329","151,087","46,756,796",Europe,129,"1,640",7
12,Iran,"326,712","+2,020","18,427",+163,"284,371","+2,249","23,914","4,022","3,885",219,"2,686,498","31,942","84,106,435",Asia,257,"4,564",31
13,UK,"310,825","+1,062","46,574",+8,N/A,N/A,N/A,67,"4,576",686,"18,349,668","270,146","67,924,946",Europe,219,"1,458",4
14,Saudi Arabia,"288,690","+1,428","3,167",+37,"252,039","+1,599","33,484","1,816","8,279",91,"3,813,274","109,356","34,870,366",Asia,121,"11,011",9
15,Pakistan,"284,121",+634,"6,082",+14,"260,248",+644,"17,791",791,"1,284",27,"2,127,089","9,610","221,331,066",Asia,779,"36,391",104
16,Bangladesh,"257,600","+2,487","3,399",+34,"148,370","+1,766","105,831",,"1,562",21,"1,260,319","7,645","164,864,840",Asia,640,"48,504",131
17,Italy,"250,566",+463,"35,205",+2,"202,098",+151,"13,263",45,"4,145",582,"7,249,844","119,928","60,451,842",Europe,241,"1,717",8
18,Argentina,"246,499","+4,688","4,606",+83,"108,242",,"133,651","1,565","5,449",102,"845,220","18,683","45,240,280",South America,184,"9,822",54
19,Turkey,"240,804","+1,182","5,844",+15,"223,759","+1,103","11,201",596,"2,852",69,"5,263,816","62,341","84,435,766",Asia,351,"14,448",16
20,Germany,"217,281",+385,"9,261",,"197,400",,"10,620",236,"2,592",110,"8,586,648","102,450","83,813,450",Europe,386,"9,050",10
21,France,"197,921",,"30,324",,"82,836",,"84,761",383,"3,031",464,"4,279,588","65,548","65,289,486",Europe,330,"2,153",15
22,Iraq,"150,115","+2,726","5,392",+82,"107,775","+2,271","36,948",551,"3,724",134,"1,145,386","28,412","40,313,441",Asia,269,"7,477",35
23,Philippines,"129,913","+3,028","2,270",+61,"67,673",+556,"59,970",239,"1,184",21,"1,769,881","16,129","109,734,675",Asia,845,"48,341",62
24,Indonesia,"125,396","+1,893","5,723",+65,"80,952","+1,646","38,721",,458,21,"1,715,798","6,266","273,832,058",Asia,"2,184","47,848",160
25,Canada,"119,451",+230,"8,981",+5,"103,728",+162,"6,742","2,281","3,162",238,"4,447,810","117,736","37,777,731",North America,316,"4,206",8
26,Qatar,"112,947",+297,184,+2,"109,709",+271,"3,054",80,"40,226",66,"520,360","185,326","2,807,805",Asia,25,"15,260",5
27,Kazakhstan,"98,701",+872,"1,058",,"72,273",+664,"25,370",221,"5,250",56,"2,183,308","116,130","18,800,507",Asia,190,"17,770",9
28,Egypt,"95,492",+178,"5,009",+17,"52,678","+1,006","37,805",41,931,49,"135,000","1,317","102,532,370",Africa,"1,074","20,470",759
29,Ecuador,"94,459",+887,"5,922",+6,"78,552","+6,947","9,985",369,"5,345",335,"267,146","15,118","17,671,021",South America,187,"2,984",66
30,Bolivia,"89,055","+1,164","3,587",+63,"28,904",+765,"56,564",71,"7,618",307,"189,172","16,183","11,689,764",South America,131,"3,259",62
31,Israel,"83,002",+678,600,+7,"57,533",+462,"24,869",395,"9,024",65,"1,872,453","203,581","9,197,590",Asia,111,"15,329",5
32,Sweden,"82,323",,"5,763",,N/A,N/A,N/A,34,"8,146",570,"863,315","85,425","10,106,111",Europe,123,"1,754",12
33,Oman,"81,580",+223,513,+4,"74,691","+1,210","6,376",171,"15,935",100,"309,212","60,399","5,119,514",Asia,63,"9,980",17
34,Ukraine,"80,949","+1,199","1,897",+18,"43,972",+317,"35,080",143,"1,852",43,"1,169,351","26,756","43,703,716",Europe,540,"23,038",37
35,Dominican Republic,"79,732",+954,"1,309",+20,"43,744","+1,206","34,679",317,"7,342",121,"290,267","26,729","10,859,539",North America,136,"8,296",37
36,Panama,"74,492",+841,"1,639",+30,"48,748","+1,264","24,105",157,"17,236",379,"247,212","57,201","4,321,839",North America,58,"2,637",17
37,Belgium,"73,401",+617,"9,870",+4,"17,766",+38,"45,765",69,"6,330",851,"1,819,137","156,888","11,595,151",Europe,158,"1,175",6
38,Kuwait,"71,713",+514,478,+4,"63,519",+713,"7,716",115,"16,766",112,"532,353","124,464","4,277,176",Asia,60,"8,948",8
39,Belarus,"68,850",+112,587,+2,"64,935",+191,"3,328",,"7,287",62,"1,372,691","145,274","9,448,976",Europe,137,"16,097",7
40,UAE,"62,525",+225,357,+1,"56,568",+323,"5,600",,"6,314",36,"5,500,701","555,455","9,903,058",Asia,158,"27,740",2
41,Romania,"61,768","+1,145","2,700",+41,"30,119",+247,"28,949",458,"3,213",140,"1,378,727","71,723","19,222,977",Europe,311,"7,120",14
42,Netherlands,"58,564",+577,"6,157",,N/A,N/A,N/A,38,"3,417",359,"1,079,860","63,006","17,139,065",Europe,293,"2,784",16
43,Guatemala,"56,605",+416,"2,211",+14,"44,598",+526,"9,796",5,"3,154",123,"181,305","10,101","17,949,619",North America,317,"8,118",99
44,Singapore,"55,104",+175,27,,"48,915",+332,"6,162",,"9,411",5,"1,474,372","251,801","5,855,309",Asia,106,"216,863",4
45,Portugal,"52,668",+131,"1,756",+6,"38,511",+147,"12,401",33,"5,167",172,"1,705,474","167,312","10,193,351",Europe,194,"5,805",6
46,Poland,"51,791",+624,"1,807",+7,"36,691",+288,"13,293",73,"1,369",48,"2,199,085","58,112","37,841,963",Europe,731,"20,942",17
47,Honduras,"46,973",+608,"1,476",+11,"6,428",+73,"39,069",35,"4,735",149,"115,059","11,598","9,920,996",North America,211,"6,722",86
48,Japan,"46,783","+1,344","1,040",+1,"32,312","+1,005","13,431",156,370,8,"1,001,281","7,919","126,432,699",Asia,"2,703","121,570",126
49,Nigeria,"46,577",+437,945,+3,"33,186",+142,"12,446",7,225,5,"317,496","1,536","206,648,305",Africa,"4,437","218,675",651
50,Bahrain,"44,011",+382,162,+1,"40,967",+418,"2,882",36,"25,780",95,"902,059","528,399","1,707,156",Asia,39,"10,538",2
51,Ghana,"41,003",+470,215,+9,"38,330",+628,"2,458",7,"1,317",7,"413,835","13,290","31,138,810",Africa,759,"144,832",75
52,Armenia,"40,410",+225,791,+6,"32,520",+125,"7,099",,"13,634",267,"176,014","59,387","2,963,856",Asia,73,"3,747",17
53,Kyrgyzstan,"39,919",+332,"1,468",+8,"31,822",+374,"6,629",24,"6,108",225,"267,718","40,965","6,535,362",Asia,164,"4,452",24
54,Afghanistan,"37,054",,"1,324",+12,"26,130",+170,"9,600",31,950,34,"92,710","2,376","39,016,650",Asia,"1,053","29,469",421
55,Switzerland,"36,603",+152,"1,986",,"32,300",+400,"2,317",21,"4,226",229,"840,409","97,028","8,661,471",Europe,237,"4,361",10
56,Algeria,"35,214",+521,"1,302",+9,"24,506",+423,"9,406",57,802,30,,,"43,932,578",Africa,"1,248","33,742",
57,Azerbaijan,"33,568",+87,490,+2,"30,364",+308,"2,714",,"3,308",48,"785,126","77,360","10,148,992",Asia,302,"20,712",13
58,Morocco,"33,237","+1,230",498,+18,"23,347","+1,157","9,392",31,899,13,"1,449,968","39,234","36,956,944",Africa,"1,112","74,211",25
59,Uzbekistan,"30,609",+957,194,+7,"22,042","+1,036","8,373",228,913,6,"1,377,915","41,107","33,520,004",Asia,"1,095","172,784",24
60,Serbia,"28,099",+236,641,+9,"14,047",,"13,411",106,"3,217",73,"747,324","85,571","8,733,378",Europe,311,"13,625",12
61,Moldova,"27,660",+217,845,+4,"19,300",+200,"7,515",362,"6,859",210,"128,076","31,758","4,032,906",Europe,146,"4,773",31
62,Ireland,"26,712",+68,"1,772",,"23,364",,"1,576",6,"5,403",358,"662,242","133,958","4,943,652",Europe,185,"2,790",7
63,Kenya,"26,436",+599,420,+2,"12,961","+1,062","13,055",44,491,8,"353,727","6,564","53,890,891",Africa,"2,039","128,312",152
64,Venezuela,"25,805",+844,223,+8,"13,356",,"12,226",66,908,8,"1,586,205","55,800","28,426,842",South America,"1,102","127,475",18
65,Costa Rica,"23,286",+484,235,+7,"7,730",+141,"15,321",86,"4,567",46,"105,915","20,771","5,099,111",North America,219,"21,698",48
66,Nepal,"22,972",+380,75,+2,"16,353",+40,"6,544",,787,3,"756,206","25,906","29,190,787",Asia,"1,271","389,210",39
67,Ethiopia,"22,818",+565,407,+17,"10,206",+499,"12,205",185,198,4,"497,971","4,321","115,247,148",Africa,"5,051","283,163",231
68,Austria,"22,033",+114,721,,"19,923",+111,"1,389",22,"2,445",80,"961,868","106,732","9,011,998",Europe,409,"12,499",9
69,Australia,"21,084",+386,295,+17,"11,869",+308,"8,920",51,826,12,"4,857,414","190,253","25,531,288",Australia/Oceania,"1,211","86,547",5
70,El Salvador,"20,423",+445,549,+13,"9,626",+111,"10,248",514,"3,147",85,"261,130","40,237","6,489,781",North America,318,"11,821",25
71,Czechia,"18,353",+118,390,+1,"12,785",+21,"5,178",17,"1,713",36,"748,872","69,915","10,711,182",Europe,584,"27,465",14
72,Cameroon,"18,042",,395,,"15,320",,"2,327",30,678,15,"149,000","5,599","26,611,621",Africa,"1,475","67,371",179
73,Ivory Coast,"16,715",+95,105,+1,"12,926",+33,"3,684",,632,4,"108,862","4,117","26,443,320",Africa,"1,582","251,841",243
