#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"8,356,161","+127,865","160,763","+1,696","6,738,081","+102,854","1,457,317","19,307",,,,,,Asia,,,
NA,North America,"7,892,209","+56,988","287,405","+1,727","4,788,746","+46,772","2,816,058","18,301",,,,,,North America,,,
NA,South America,"7,010,660","+75,827","225,706","+1,734","5,715,086","+69,428","1,069,868","15,373",,,,,,South America,,,
NA,Europe,"4,013,146","+41,056","211,968",+407,"2,224,339","+13,541","1,576,839","6,407",,,,,,Europe,,,
NA,Africa,"1,345,199","+8,792","32,410",+232,"1,080,227","+7,449","232,562","1,486",,,,,,Africa,,,
NA,Oceania,"29,877",+150,830,+11,"25,795",+254,"3,252",26,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"28,647,973","+310,678","919,097","+5,807","20,572,925","+240,298","7,155,951","60,904","3,675",117.9,,,,All,,,
1,China,"85,168",+15,"4,634",,"80,377",+19,157,2,59,3,"160,000,000","111,163","1,439,323,776",Asia,"16,900","310,601",9
2,USA,"6,636,247","+46,600","197,421","+1,094","3,917,962","+38,002","2,520,864","14,347","20,026",596,"90,845,706","274,136","331,388,690",North America,50,"1,679",4
3,India,"4,657,379","+97,654","77,506","+1,202","3,621,438","+81,455","958,435","8,944","3,368",56,"54,097,975","39,125","1,382,678,448",Asia,297,"17,840",26
4,Brazil,"4,283,978","+44,215","130,474",+899,"3,530,655","+33,318","622,849","8,318","20,126",613,"14,505,652","68,147","212,859,084",South America,50,"1,631",15
5,Russia,"1,051,874","+5,504","18,365",+102,"868,107","+5,734","165,402","2,300","7,207",126,"39,912,526","273,473","145,947,058",Europe,139,"7,947",4
6,Peru,"716,670","+6,603","30,470",+126,"552,214","+7,469","133,986","1,469","21,677",922,"3,482,894","105,346","33,061,508",South America,46,"1,085",9
7,Colombia,"702,088","+7,424","22,518",+243,"582,694","+13,215","96,876",863,"13,769",442,"3,100,659","60,810","50,989,576",South America,73,"2,264",16
8,Mexico,"652,364","+4,857","69,649",+554,"458,850","+3,868","123,865","2,892","5,049",539,"1,480,902","11,462","129,199,318",North America,198,"1,855",87
9,South Africa,"646,398","+1,960","15,378",+113,"574,587","+1,584","56,433",539,"10,872",259,"3,884,166","65,329","59,455,111",Africa,92,"3,866",15
10,Spain,"576,697","+4,708","29,747",+48,N/A,N/A,N/A,"1,136","12,334",636,"9,987,326","213,594","46,758,424",Europe,81,"1,572",5
11,Argentina,"535,705","+11,507","11,148",+241,"400,121","+10,023","124,436","3,093","11,832",246,"1,513,847","33,435","45,277,637",South America,85,"4,062",30
12,Chile,"430,535","+1,860","11,850",+69,"403,064","+1,708","15,621",918,"22,484",619,"2,753,769","143,810","19,148,635",South America,44,"1,616",7
13,Iran,"397,801","+2,313","22,913",+115,"342,539","+1,697","32,349","3,753","4,724",272,"3,507,938","41,660","84,203,364",Asia,212,"3,675",24
14,France,"363,350","+9,406","30,893",+80,"89,059",+317,"243,398",635,"5,564",473,"10,000,000","153,134","65,302,471",Europe,180,"2,114",7
15,UK,"361,677","+3,539","41,614",+6,N/A,N/A,N/A,78,"5,322",612,"19,293,329","283,905","67,957,033",Europe,188,"1,633",4
16,Bangladesh,"334,762","+1,792","4,668",+34,"236,024","+2,474","94,070",,"2,029",28,"1,704,758","10,331","165,012,664",Asia,493,"35,350",97
17,Saudi Arabia,"324,407",+687,"4,213",+24,"300,933",+935,"19,261","1,368","9,290",121,"5,645,077","161,661","34,919,284",Asia,108,"8,288",6
18,Pakistan,"300,371",+516,"6,370",+5,"288,206",+256,"5,795",535,"1,355",29,"2,879,655","12,988","221,718,430",Asia,738,"34,807",77
19,Turkey,"288,126","+1,671","6,951",+56,"256,524","+1,117","24,651","1,223","3,409",82,"8,325,137","98,502","84,517,546",Asia,293,"12,159",10
20,Italy,"284,796","+1,616","35,597",+10,"212,432",+547,"36,767",175,"4,712",589,"9,653,269","159,706","60,443,857",Europe,212,"1,698",6
21,Iraq,"282,672","+4,254","7,881",+67,"217,396","+3,579","57,395",566,"6,998",195,"1,718,157","42,534","40,395,020",Asia,143,"5,126",24
22,Germany,"259,725","+1,618","9,423",+4,"233,300",,"17,002",233,"3,098",112,"13,436,301","160,266","83,837,542",Europe,323,"8,897",6
23,Philippines,"252,928","+4,004","4,106",+40,"186,457",+417,"62,365",990,"2,302",37,"3,003,007","27,333","109,866,193",Asia,434,"26,757",37
24,Indonesia,"210,940","+3,737","8,544",+88,"150,217","+2,707","52,179",,770,31,"2,581,392","9,418","274,092,684",Asia,"1,299","32,080",106
25,Ukraine,"148,756","+3,144","3,076",+53,"67,005","+1,128","78,675",177,"3,406",70,"1,806,428","41,356","43,680,151",Europe,294,"14,200",24
26,Israel,"148,564","+3,038","1,090",+13,"111,728","+1,786","35,746",486,"16,152",119,"2,620,012","284,859","9,197,590",Asia,62,"8,438",4
27,Canada,"135,626",+702,"9,163",,"119,674",+684,"6,789",53,"3,587",242,"6,046,330","159,924","37,807,535",North America,279,"4,126",6
28,Bolivia,"124,205",+860,"7,193",+47,"79,483","+2,267","37,529",71,"10,612",615,"266,600","22,778","11,704,123",South America,94,"1,627",44
29,Qatar,"121,287",+235,205,,"118,199",+221,"2,883",50,"43,196",73,"680,633","242,408","2,807,805",Asia,23,"13,697",4
30,Ecuador,"114,732","+1,526","10,836",+87,"91,242",,"12,654",367,"6,484",612,"348,099","19,672","17,695,191",South America,154,"1,633",51
31,Kazakhstan,"106,661",+77,"1,634",,"100,409",+161,"4,618",221,"5,667",87,"2,571,562","136,634","18,820,753",Asia,176,"11,518",7
32,Dominican Republic,"102,232",+516,"1,941",+15,"75,747",+713,"24,544",210,"9,406",179,"408,014","37,538","10,869,340",North America,106,"5,600",27
33,Romania,"101,075","+1,391","4,100",+35,"41,010",,"55,965",478,"5,261",213,"2,041,921","106,287","19,211,470",Europe,190,"4,686",9
34,Egypt,"100,708",+151,"5,607",+17,"82,473",+876,"12,628",41,981,55,"135,000","1,314","102,706,660",Africa,"1,020","18,318",761
35,Panama,"100,330",+615,"2,140",+13,"72,858",+655,"25,332",135,"23,182",494,"389,532","90,003","4,327,967",North America,43,"2,022",11
