#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"6,383,857","+85,594","131,607","+1,366","5,073,372","+93,118","1,178,878","19,017",,,,,,Asia,,,
NA,North America,"6,988,860","+49,310","260,044",+816,"3,944,036","+60,105","2,784,780","20,850",,,,,,North America,,,
NA,South America,"5,816,246","+51,279","190,734","+1,674","4,391,376","+96,912","1,234,136","14,955",,,,,,South America,,,
NA,Europe,"3,385,754","+19,394","205,573",+250,"1,994,949","+8,809","1,185,232","5,541",,,,,,Europe,,,
NA,Africa,"1,199,961","+7,795","28,051",+223,"925,220","+15,531","246,690","1,212",,,,,,Africa,,,
NA,Oceania,"27,423",+187,544,+15,"21,567",+371,"5,312",50,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"23,802,822","+213,559","816,568","+4,344","16,351,171","+274,846","6,635,083","61,629","3,054",104.8,,,,All,,,
1,China,"84,967",+16,"4,634",,"79,925",+30,408,15,59,3,"90,410,000","62,814","1,439,323,776",Asia,"16,940","310,601",16
2,USA,"5,915,630","+41,484","181,114",+510,"3,217,981","+50,918","2,516,535","16,483","17,856",547,"76,883,479","232,071","331,293,410",North America,56,"1,829",4
3,Brazil,"3,627,217","+21,434","115,451",+679,"2,778,709","+69,071","733,057","8,318","17,046",543,"14,144,344","66,473","212,784,888",South America,59,"1,843",15
4,India,"3,164,881","+59,696","58,546",+854,"2,403,101","+66,305","703,234","8,944","2,290",42,"35,902,137","25,978","1,382,011,722",Asia,437,"23,606",38
5,Russia,"961,493","+4,744","16,448",+65,"773,095","+2,456","171,950","2,300","6,588",113,"34,600,000","237,077","145,943,991",Europe,152,"8,873",4
6,South Africa,"611,450","+1,677","13,159",+100,"516,494","+10,024","81,797",539,"10,291",221,"3,564,065","59,983","59,418,339",Africa,97,"4,515",17
7,Peru,"600,438","+6,112","27,813",+150,"407,301","+7,944","165,324","1,525","18,174",842,"3,006,993","91,014","33,038,913",South America,55,"1,188",11
8,Mexico,"560,164","+3,948","60,480",+226,"383,872","+3,380","115,812","3,264","4,338",468,"1,259,141","9,751","129,132,739",North America,231,"2,135",103
9,Colombia,"551,696","+10,549","17,612",+296,"384,171","+10,141","149,913","1,493","10,825",346,"2,508,972","49,231","50,962,919",South America,92,"2,894",20
10,Spain,"420,809","+2,080","28,872",+12,N/A,N/A,N/A,658,"9,000",617,"8,517,446","182,162","46,757,536",Europe,111,"1,619",5
11,Chile,"399,568","+1,903","10,916",+64,"372,464","+1,285","16,188","1,014","20,875",570,"2,231,463","116,583","19,140,575",South America,48,"1,753",9
12,Iran,"361,150","+2,245","20,776",+133,"311,365","+1,901","29,009","3,848","4,292",247,"3,062,422","36,392","84,150,494",Asia,233,"4,050",27
13,Argentina,"350,867","+8,713","7,366",+381,"256,789","+5,389","86,712","1,960","7,753",163,"1,105,878","24,435","45,257,261",South America,129,"6,144",41
14,UK,"326,614",+853,"41,433",+4,N/A,N/A,N/A,72,"4,807",610,"15,177,265","223,394","67,939,531",Europe,208,"1,640",4
15,Saudi Arabia,"308,654","+1,175","3,691",+42,"282,888","+2,745","22,075","1,635","8,846",106,"4,733,485","135,659","34,892,601",Asia,113,"9,453",7
16,Bangladesh,"297,083","+2,485","3,983",+42,"182,875","+3,784","110,225",,"1,801",24,"1,456,038","8,828","164,932,033",Asia,555,"41,409",113
17,Pakistan,"293,261",+496,"6,244",+9,"276,829",+993,"10,188",686,"1,324",28,"2,463,513","11,122","221,507,141",Asia,755,"35,475",90
18,Italy,"260,298",+953,"35,441",+4,"205,662",+192,"19,195",65,"4,306",586,"8,053,551","133,231","60,448,212",Europe,232,"1,706",8
19,Turkey,"259,692","+1,443","6,139",+18,"237,908",+743,"15,645",796,"3,074",73,"6,423,409","76,041","84,472,939",Asia,325,"13,760",13
20,France,"244,854","+1,955","30,528",+15,"85,199",+226,"129,127",399,"3,750",468,"6,000,000","91,890","65,295,389",Europe,267,"2,139",11
21,Germany,"236,117","+1,628","9,336",+4,"209,600",,"17,181",245,"2,817",111,"10,197,366","121,652","83,824,401",Europe,355,"8,979",8
22,Iraq,"207,985","+3,644","6,519",+91,"150,389","+3,980","51,077",661,"5,154",162,"1,457,665","36,125","40,350,522",Asia,194,"6,190",28
23,Philippines,"194,199","+4,633","3,004",+7,"132,028",+715,"59,167",717,"1,769",27,"2,338,607","21,300","109,794,456",Asia,565,"36,549",47
24,Indonesia,"155,412","+1,877","6,759",+79,"111,060","+3,560","37,593",,567,25,"2,056,166","7,506","273,950,524",Asia,"1,763","40,531",133
25,Canada,"125,647",+751,"9,083",+10,"111,694",+582,"4,870",62,"3,325",240,"5,169,166","136,782","37,791,278",North America,301,"4,161",7
26,Qatar,"117,266",+258,194,+1,"114,099",+291,"2,973",67,"41,764",69,"594,215","211,630","2,807,805",Asia,24,"14,473",5
27,Bolivia,"109,149",+722,"4,509",+67,"45,396","+1,509","59,244",71,"9,332",386,"231,259","19,772","11,696,291",South America,107,"2,594",51
28,Ecuador,"108,289",+520,"6,322",+12,"94,878",+62,"7,089",370,"6,124",358,"307,742","17,404","17,682,007",South America,163,"2,797",57
29,Ukraine,"106,757","+1,802","2,293",+22,"54,524","+2,289","49,940",177,"2,443",52,"1,425,351","32,622","43,693,004",Europe,409,"19,055",31
30,Kazakhstan,"104,718",+175,"1,415",,"92,598","+1,509","10,705",221,"5,567",75,"2,291,327","121,816","18,809,710",Asia,180,"13,293",8
31,Israel,"104,472","+1,809",847,+13,"81,642","+2,128","21,983",416,"11,359",92,"2,180,096","237,029","9,197,590",Asia,88,"10,859",4
32,Egypt,"97,478",+138,"5,280",+18,"66,817",+890,"25,381",41,950,51,"135,000","1,316","102,611,592",Africa,"1,053","19,434",760
33,Dominican Republic,"91,608",+447,"1,573",+6,"61,558",+888,"28,477",242,"8,432",145,"350,033","32,220","10,863,994",North America,119,"6,907",31
34,Panama,"87,485",+585,"1,906",+14,"62,185",+765,"23,394",154,"20,229",441,"308,435","71,321","4,324,625",North America,49,"2,269",14
35,Sweden,"86,721",,"5,813",+6,N/A,N/A,N/A,22,"8,579",575,"1,030,010","101,894","10,108,688",Europe,117,"1,739",10
36,Oman,"84,509",+740,637,+28,"78,912",+526,"4,960",149,"16,490",124,"309,212","60,336","5,124,854",Asia,61,"8,045",17
37,Belgium,"81,936",+468,"9,992",+4,"18,225",+21,"53,719",87,"7,065",862,"2,135,402","184,131","11,597,214",Europe,142,"1,161",5
38,Kuwait,"80,960",+432,518,+3,"72,925",+618,"7,517",99,"18,917",121,"590,623","138,004","4,279,766",Asia,53,"8,262",7
39,Romania,"79,330",+825,"3,309",+37,"35,517",+230,"40,504",494,"4,128",172,"1,659,135","86,333","19,217,747",Europe,242,"5,808",12
40,Belarus,"70,645",+177,646,+4,"68,925",+86,"1,074",,"7,477",68,"1,477,939","156,415","9,448,849",Europe,134,"14,627",6
41,Guatemala,"68,533",+345,"2,611",+17,"57,735",+957,"8,187",5,"3,815",145,"221,659","12,340","17,963,221",North America,262,"6,880",81
42,UAE,"67,282",+275,376,+1,"58,582",+94,"8,324",,"6,791",38,"6,560,686","662,164","9,907,954",Asia,147,"26,351",2
43,Netherlands,"67,128",+574,"6,202",+2,N/A,N/A,N/A,41,"3,916",362,"1,312,787","76,589","17,140,615",Europe,255,"2,764",13
44,Japan,"62,507",+760,"1,181",+5,"49,340",+790,"11,986",259,494,9,"1,333,884","10,551","126,416,901",Asia,"2,022","107,042",95
45,Poland,"62,310",+548,"1,960",+5,"42,448",+265,"17,902",83,"1,647",52,"2,555,515","67,534","37,840,271",Europe,607,"19,306",15
46,Singapore,"56,404",+51,27,,"54,587",+423,"1,790",,"9,630",5,"1,745,928","298,083","5,857,192",Asia,104,"216,933",3
47,Portugal,"55,720",+123,"1,801",+5,"40,880",+106,"13,039",44,"5,467",177,"1,896,675","186,092","10,192,137",Europe,183,"5,659",5
48,Honduras,"54,511",+528,"1,654",+11,"8,532",+83,"44,325",46,"5,491",167,"132,242","13,321","9,927,457",North America,182,"6,002",75
49,Morocco,"53,252",+903,920,+32,"37,478","+1,135","14,854",31,"1,440",25,"1,779,980","48,140","36,974,869",Africa,694,"40,190",21
50,Nigeria,"52,548",+321,"1,004",+2,"39,257",+312,"12,287",7,254,5,"379,542","1,835","206,858,331",Africa,"3,937","206,034",545
51,Bahrain,"49,719",+389,185,+1,"46,311",+330,"3,223",33,"29,082",108,"1,048,935","613,558","1,709,594",Asia,34,"9,241",2
52,Ghana,"43,622",+117,263,+2,"41,695",+163,"1,664",5,"1,400",8,"435,109","13,961","31,165,447",Africa,714,"118,500",72
53,Kyrgyzstan,"43,126",+103,"1,057",+1,"36,615",+218,"5,454",24,"6,594",162,"267,718","40,937","6,539,777",Asia,152,"6,187",24
54,Armenia,"42,825",+33,854,+2,"36,049",+58,"5,922",,"14,448",288,"195,574","65,981","2,964,083",Asia,69,"3,471",15
55,Ethiopia,"42,143","+1,472",692,+14,"15,262",+267,"26,189",248,365,6,"775,908","6,726","115,364,208",Africa,"2,737","166,711",149
56,Algeria,"41,858",+398,"1,446",+11,"29,369",+227,"11,043",41,952,33,,,"43,965,072",Africa,"1,050","30,405",
57,Venezuela,"40,338",+774,337,+8,"31,080","+1,114","8,921",86,"1,419",12,"1,706,093","60,024","28,423,554",South America,705,"84,343",17
58,Switzerland,"40,060",+157,"2,001",,"34,400",,"3,659",16,"4,624",231,"941,798","108,702","8,664,061",Europe,216,"4,330",9
59,Uzbekistan,"39,348",+402,280,+7,"35,551",+564,"3,517",249,"1,173",8,"1,377,915","41,083","33,539,892",Asia,852,"119,785",24
60,Afghanistan,"38,054",+55,"1,389",+2,"28,360",+180,"8,305",31,974,36,"101,208","2,592","39,052,669",Asia,"1,026","28,116",386
61,Azerbaijan,"35,426",+152,519,+1,"33,104",+111,"1,803",,"3,489",51,"878,667","86,545","10,152,733",Asia,287,"19,562",12
62,Costa Rica,"34,463",+643,362,+7,"12,758","+2,240","21,343",143,"6,756",71,"133,005","26,074","5,101,016",North America,148,"14,091",38
63,Moldova,"33,828",+350,945,+5,"23,570",+887,"9,313",575,"8,389",234,"183,923","45,610","4,032,524",Europe,119,"4,267",22
64,Nepal,"32,678",+743,157,+8,"18,806",+175,"13,715",,"1,119",5,"904,802","30,973","29,212,293",Asia,894,"186,066",32
65,Kenya,"32,557",+193,554,+6,"18,895",+225,"13,108",44,604,10,"425,364","7,886","53,939,546",Africa,"1,657","97,364",127
66,Serbia,"30,714",+57,701,+3,"29,028",+291,985,44,"3,517",80,"876,929","100,428","8,731,942",Europe,284,"12,456",10
67,Ireland,"28,116",+147,"1,777",,"23,364",,"2,975",5,"5,685",359,"777,635","157,228","4,945,912",Europe,176,"2,783",6
68,Austria,"25,495",+242,733,+1,"21,657",+99,"3,105",23,"2,828",81,"1,101,206","122,165","9,014,100",Europe,354,"12,298",8
69,Australia,"24,916",+104,517,+15,"19,603",+370,"4,796",38,975,20,"5,757,173","225,388","25,543,410",Australia/Oceania,"1,025","49,407",4
70,El Salvador,"24,811",+189,669,+8,"12,492",+246,"11,650",312,"3,822",103,"298,112","45,926","6,491,120",North America,262,"9,703",22
71,Czechia,"22,181",+258,415,+3,"16,376",+251,"5,390",22,"2,071",39,"845,528","78,933","10,711,994",Europe,483,"25,812",13
72,Palestine,"19,213",+411,133,+5,"11,870",+27,"7,210",,"3,754",26,"214,862","41,980","5,118,188",Asia,266,"38,483",24
73,Cameroon,"18,762",,408,,"16,540",,"1,814",30,704,15,"149,000","5,593","26,638,785",Africa,"1,420","65,291",179
74,Bosnia and Herzegovina,"18,029",+314,547,+15,"11,861",+532,"5,621",,"5,501",167,"174,907","53,364","3,277,651",Europe,182,"5,992",19
75,S. Korea,"17,665",+266,309,,"14,219",+19,"3,137",32,345,6,"1,804,422","35,190","51,275,895",Asia,"2,903","165,941",28
76,Ivory Coast,"17,506",+35,114,+1,"15,633",+332,"1,759",,661,4,"121,286","4,582","26,470,171",Africa,"1,512","232,194",218
77,Denmark,"16,397",+80,623,+1,"14,310",+130,"1,464",5,"2,829",108,"2,211,377","381,582","5,795,279",Europe,353,"9,302",3
78,Bulgaria,"15,386",+99,563,+18,"10,497",+159,"4,326",65,"2,217",81,"374,374","53,942","6,940,296",Europe,451,"12,327",19
79,Madagascar,"14,402",+75,178,,"13,436",+81,788,74,518,6,"55,375","1,993","27,790,833",Africa,"1,930","156,128",502
80,North Macedonia,"13,673",+78,568,+4,"10,150",+40,"2,955",5,"6,563",273,"138,325","66,395","2,083,361",Europe,152,"3,668",15
81,Paraguay,"13,602",+369,219,+14,"7,649",+232,"5,734",66,"1,904",31,"175,652","24,583","7,145,399",South America,525,"32,627",41
82,Lebanon,"13,155",+457,126,+3,"3,704",+79,"9,325",76,"1,929",18,"468,266","68,653","6,820,724",Asia,518,"54,133",15
83,Senegal,"13,013",+64,272,+3,"8,595",+140,"4,146",45,774,16,"137,832","8,202","16,805,651",Africa,"1,291","61,785",122
84,Sudan,"12,903",+67,818,+3,"6,538",+41,"5,547",,293,19,401,9,"43,994,021",Africa,"3,410","53,782","109,711"
85,Zambia,"11,148",+66,280,,"10,208",+266,660,,604,15,"106,795","5,787","18,455,547",Africa,"1,656","65,913",173
86,Libya,"11,009",+572,199,+11,"1,096",+11,"9,714",,"1,599",29,"96,524","14,020","6,884,949",Africa,625,"34,598",71
87,Norway,"10,395",+72,264,,"9,150",,981,1,"1,915",49,"630,903","116,241","5,427,553",Europe,522,"20,559",9
88,DRC,"9,842",+12,251,,"8,953",+19,638,,109,3,,,"89,936,697",Africa,"9,138","358,314",
