#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"3,070,752","+55,798","72,618","+1,167","2,154,794","+58,775","843,340","19,858",,,,,,Asia,,,
NA,North America,"4,145,450","+75,033","188,140","+1,562","1,934,729","+57,819","2,022,581","19,737",,,,,,North America,,,
NA,South America,"2,991,624","+60,758","108,367","+1,927","1,895,112","+10,071","988,145","13,640",,,,,,South America,,,
NA,Europe,"2,599,060","+11,491","197,275",+458,"1,530,085","+12,479","871,700","5,330",,,,,,Europe,,,
NA,Africa,"628,885","+14,473","13,803",+299,"316,780","+10,928","298,302",982,,,,,,Africa,,,
NA,Oceania,"11,915",+271,130,,"9,440",+68,"2,345",28,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"13,448,407","+217,824","580,348","+5,413","7,841,591","+150,140","5,026,468","59,579","1,725",74.5,,,,All,,,
1,China,"83,605",+3,"4,634",,"78,674",+26,297,3,58,3,"90,410,000","62,814","1,439,323,776",Asia,"17,216","310,601",16
2,USA,"3,545,077","+65,594","139,143",+935,"1,600,195","+50,726","1,805,739","16,337","10,708",420,"44,030,877","132,993","331,076,384",North America,93,"2,379",8
3,Brazil,"1,931,204","+43,245","74,262","+1,341","1,213,512",,"643,430","8,318","9,083",349,"4,572,796","21,507","212,615,886",South America,110,"2,863",46
4,India,"937,487","+29,842","24,315",+588,"593,080","+20,968","320,092","8,944",679,18,"12,092,503","8,760","1,380,493,070",Asia,"1,473","56,775",114
5,Russia,"739,947","+6,248","11,614",+175,"512,825","+8,804","215,508","2,300","5,070",80,"23,495,752","160,999","145,937,005",Europe,197,"12,566",6
6,Peru,"333,867","+3,744","12,229",+175,"223,261","+2,253","98,377","1,325","10,121",371,"1,963,921","59,535","32,987,448",South America,99,"2,697",17
7,Chile,"319,493","+1,836","7,069",+45,"289,220","+2,664","23,204","1,915","16,708",370,"1,322,503","69,161","19,122,213",South America,60,"2,705",14
8,Mexico,"304,435","+4,685","35,491",+485,"189,063","+4,299","79,881",378,"2,360",275,"739,922","5,737","128,981,086",North America,424,"3,634",174
9,Spain,"303,699",+666,"28,409",+3,N/A,N/A,N/A,617,"6,495",608,"6,026,446","128,893","46,755,514",Europe,154,"1,646",8
10,South Africa,"298,292","+10,496","4,346",+174,"146,279","+8,038","147,667",539,"5,027",73,"2,232,738","37,630","59,334,579",Africa,199,"13,653",27
11,UK,"291,373",+398,"44,968",+138,N/A,N/A,N/A,162,"4,291",662,"12,270,317","180,712","67,899,665",Europe,233,"1,510",6
12,Iran,"262,173","+2,521","13,211",+179,"225,270","+2,731","23,692","3,389","3,120",157,"2,023,079","24,076","84,030,066",Asia,321,"6,361",42
13,Pakistan,"253,604","+1,979","5,320",+54,"170,656","+8,739","77,628","2,151","1,147",24,"1,606,190","7,267","221,025,870",Asia,872,"41,546",138
14,Italy,"243,344",+114,"34,984",+17,"195,441",+335,"12,919",60,"4,025",579,"6,004,611","99,319","60,458,132",Europe,248,"1,728",10
15,Saudi Arabia,"237,803","+2,692","2,283",+40,"177,560","+7,718","57,960","2,235","6,827",66,"2,336,874","67,090","34,831,824",Asia,146,"15,257",15
16,Turkey,"214,993",+992,"5,402",+20,"196,720","+1,049","12,871","1,204","2,548",64,"4,065,178","48,182","84,371,332",Asia,392,"15,619",21
17,Germany,"200,766",+330,"9,144",+5,"185,500",+400,"6,122",264,"2,396",109,"6,376,054","76,092","83,794,469",Europe,417,"9,164",13
18,Bangladesh,"190,057","+3,163","2,424",+33,"103,227","+4,910","84,406",1,"1,154",15,"966,400","5,866","164,748,373",Asia,867,"67,966",170
19,France,"172,377",,"30,029",,"78,597",,"63,751",492,"2,641",460,"2,489,269","38,133","65,279,255",Europe,379,"2,174",26
20,Colombia,"159,898","+5,621","5,625",+170,"68,806","+2,997","85,467",875,"3,141",111,"1,082,415","21,265","50,902,201",South America,318,"9,049",47
21,Canada,"108,486",+331,"8,798",+8,"72,170",+329,"27,518","2,170","2,873",233,"3,302,483","87,473","37,754,249",North America,348,"4,291",11
