#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"1,424,270","+31,788","36,297",+658,"864,232","+21,318","523,741","15,054",,,,,,Asia,,,
NA,North America,"2,327,720","+24,384","137,939","+1,554","963,408","+20,131","1,226,373","19,520",,,,,,North America,,,
NA,South America,"1,219,028","+42,752","52,845","+1,518","563,823","+3,862","602,360","11,932",,,,,,South America,,,
NA,Europe,"2,124,695","+14,928","180,184",+824,"1,105,422","+16,507","839,089","7,011",,,,,,Europe,,,
NA,Africa,"205,520","+6,530","5,568",+178,"92,914","+4,702","107,038",499,,,,,,Africa,,,
NA,Oceania,"8,878",+3,124,,"8,308",+14,446,2,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"7,310,832","+120,385","412,972","+4,732","3,598,758","+66,534","3,299,102","54,022",938,53.0,,,,All,,,
1,China,"83,043",+3,"4,634",,"78,351",+10,58,1,58,3,,,"1,439,323,776",Asia,"17,332","310,601",
2,USA,"2,045,549","+19,056","114,148","+1,093","788,862","+15,382","1,142,539","16,952","6,182",345,"22,140,676","66,912","330,891,117",North America,162,"2,899",15
3,Brazil,"742,084","+31,197","38,497","+1,185","325,602",,"377,985","8,318","3,493",181,"999,836","4,706","212,471,616",South America,286,"5,519",213
4,Russia,"485,253","+8,595","6,142",+171,"242,397","+11,709","236,714","2,300","3,325",42,"13,254,678","90,828","145,931,041",Europe,301,"23,760",11
5,UK,"289,140","+1,741","40,883",+286,N/A,N/A,N/A,516,"4,260",602,"5,870,506","86,502","67,865,632",Europe,235,"1,660",12
6,Spain,"289,046",+249,"27,136",,N/A,N/A,N/A,617,"6,182",580,"4,465,338","95,508","46,753,788",Europe,162,"1,723",10
7,India,"274,780","+8,852","7,719",+246,"134,165","+5,070","132,896","8,944",199,6,"4,916,116","3,564","1,379,196,659",Asia,"5,019","178,676",281
8,Italy,"235,561",+283,"34,043",+79,"168,646","+2,062","32,872",263,"3,896",563,"4,318,650","71,422","60,466,601",Europe,257,"1,776",14
9,Peru,"203,736","+4,040","5,738",+167,"92,929","+3,373","105,069","1,077","6,184",174,"1,227,691","37,267","32,943,514",South America,162,"5,741",27
