#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
48,Argentina,"9,931",+648,416,+13,"3,032","6,483",171,220,9,"116,689","2,584","45,149,718",South America
49,Czechia,"8,754",+33,306,+2,"5,926","2,522",36,818,29,"379,750","35,468","10,706,852",Europe
50,Afghanistan,"8,676",+531,193,+6,938,"7,545",19,223,5,"26,707",688,"38,824,552",Asia
51,Norway,"8,309",+28,235,+1,32,"8,042",14,"1,534",43,"223,045","41,178","5,416,564",Europe
52,Bahrain,"8,174",+286,12,,"3,873","4,289",9,"4,825",7,"262,107","154,713","1,694,155",Asia
53,Algeria,"7,728",+186,575,+7,"4,062","3,091",22,177,13,,,"43,759,272",Africa
54,Kazakhstan,"7,234",+265,35,,"3,843","3,356",31,386,2,"591,502","31,544","18,751,427",Asia
55,Morocco,"7,211",+78,196,+2,"4,280","2,735",1,196,5,"112,997","3,065","36,861,343",Africa
56,Australia,"7,081",+2,100,,"6,472",509,9,278,4,"1,137,684","44,674","25,466,640",Australia/Oceania
57,Malaysia,"7,059",+50,114,,"5,796","1,149",10,218,4,"481,411","14,896","32,319,132",Asia
58,Nigeria,"7,016",+339,211,+11,"1,907","4,898",7,34,1,"40,043",195,"205,528,166",Africa
59,Moldova,"6,704",+151,233,+5,"2,953","3,518",251,"1,661",58,"40,565","10,053","4,034,947",Europe
60,Finland,"6,493",+50,306,+2,"4,800","1,387",22,"1,172",55,"160,177","28,914","5,539,799",Europe
61,Oman,"6,370",+327,31,+1,"1,821","4,518",31,"1,251",6,"72,000","14,143","5,091,036",Asia
62,Ghana,"6,269",,31,,"1,898","4,340",8,202,1,"187,929","6,063","30,996,750",Africa
63,Armenia,"5,606",+335,70,+3,"2,581","2,955",10,"1,892",24,"45,822","15,467","2,962,649",Asia
64,Bolivia,"4,919",+438,199,+10,553,"4,167",3,422,17,"14,803","1,270","11,654,953",South America
65,Cameroon,"4,288",+555,156,+10,"1,808","2,324",28,162,6,,,"26,466,746",Africa
66,Luxembourg,"3,980",+9,109,,"3,741",130,6,"6,370",174,"64,981","104,002","624,808",Europe
67,Iraq,"3,877",+153,140,+6,"2,483","1,254",,97,3,"149,701","3,732","40,115,676",Asia
68,Azerbaijan,"3,749",+118,44,+1,"2,340","1,365",42,370,4,"252,496","24,928","10,129,036",Asia
69,Hungary,"3,641",+43,473,+3,"1,509","1,659",27,377,49,"147,511","15,266","9,662,923",Europe
70,Sudan,"3,138",+410,121,+10,309,"2,708",,72,3,281,6,"43,727,573",Africa
71,Honduras,"3,100",+145,151,+4,355,"2,594",13,314,15,"11,315","1,144","9,886,537",North America
72,Guinea,"3,067",+204,18,,"1,575","1,474",18,234,1,"10,304",787,"13,089,690",Africa
73,Thailand,"3,037",+3,56,,"2,897",84,61,44,0.8,"328,073","4,701","69,781,150",Asia
74,Uzbekistan,"2,964",+25,13,,"2,407",544,5,89,0.4,"460,000","13,767","33,413,938",Asia
75,Greece,"2,853",+3,168,+2,"1,374","1,311",21,274,16,"144,078","13,816","10,428,331",Europe
76,Senegal,"2,812",+98,33,+3,"1,251","1,528",6,168,2,"24,599","1,474","16,690,729",Africa
77,Bosnia and Herzegovina,"2,350",+12,140,+4,"1,596",614,4,716,43,"56,997","17,362","3,282,920",Europe
78,Tajikistan,"2,350",+210,44,+3,470,"1,836",,247,5,,,"9,512,290",Asia
79,Bulgaria,"2,331",+39,120,+4,727,"1,484",31,335,17,"70,155","10,089","6,953,796",Europe
80,Ivory Coast,"2,301",+70,29,,"1,100","1,172",,87,1,"21,069",801,"26,300,113",Africa
81,Guatemala,"2,265",+132,45,+2,159,"2,061",5,127,3,"20,820","1,165","17,877,078",North America
82,Croatia,"2,237",+3,97,+1,"1,978",162,9,545,24,"58,091","14,141","4,107,874",Europe
83,Djibouti,"2,047",+219,10,+1,"1,055",982,,"2,075",10,"21,156","21,448","986,363",Africa
84,Cuba,"1,908",+8,80,+1,"1,603",225,5,168,7,"89,031","7,860","11,327,348",North America
85,North Macedonia,"1,898",+40,111,+1,"1,378",409,21,911,53,"23,316","11,191","2,083,383",Europe
86,DRC,"1,835",+104,61,,303,"1,471",,21,0.7,,,"89,226,763",Africa
87,Iceland,"1,803",,10,,"1,790",3,,"5,287",29,"58,225","170,748","341,000",Europe
88,Estonia,"1,800",+6,64,,"1,488",248,2,"1,357",48,"73,732","55,586","1,326,440",Europe
89,El Salvador,"1,640",+69,33,+2,544,"1,063",26,253,5,"65,226","10,062","6,482,643",North America
90,Somalia,"1,594",+21,61,,204,"1,329",2,101,4,,,"15,839,369",Africa
91,Lithuania,"1,593",+16,61,+1,"1,049",483,17,584,22,"253,004","92,810","2,726,052",Europe
92,Gabon,"1,567",,12,,365,"1,190",6,706,5,"8,622","3,885","2,219,485",Africa
93,New Zealand,"1,503",,21,,"1,452",30,1,312,4,"244,838","50,818","4,817,906",Australia/Oceania
94,Slovakia,"1,502",+6,28,,"1,245",229,3,275,5,"151,778","27,801","5,459,361",Europe
95,Mayotte,"1,475",,19,,894,562,11,"5,422",70,"5,200","19,116","272,030",Africa
96,Slovenia,"1,468",,106,+1,"1,340",22,3,706,51,"74,228","35,705","2,078,908",Europe
97,Kyrgyzstan,"1,313",+43,14,,923,376,5,202,2,"94,441","14,503","6,511,813",Asia
98,Maldives,"1,216",+30,4,,91,"1,121",9,"2,254",7,"11,775","21,828","539,443",Asia
99,Kenya,"1,109",+80,50,,375,684,1,21,0.9,"52,507",979,"53,631,400",Africa
100,Guinea-Bissau,"1,109",+20,6,,42,"1,061",,565,3,"1,500",764,"1,962,465",Africa
101,Hong Kong,"1,064",+8,4,,"1,029",31,1,142,0.5,"168,291","22,468","7,490,261",Asia
102,Sri Lanka,"1,048",+20,9,,604,435,1,49,0.4,"47,521","2,220","21,403,517",Asia
103,Tunisia,"1,046",+1,47,,883,116,3,89,4,"45,308","3,838","11,804,800",Africa
104,Latvia,"1,025",+9,22,+1,694,309,2,543,12,"94,621","50,109","1,888,294",Europe
105,Lebanon,"1,024",+63,26,,663,335,3,150,4,"67,510","9,886","6,828,619",Asia
106,Albania,969,+5,31,,771,167,3,337,11,"12,759","4,433","2,878,129",Europe
107,Mali,947,+16,60,+5,558,329,,47,3,"3,483",173,"20,179,688",Africa
108,Niger,924,+4,60,+2,753,111,,38,2,"5,949",247,"24,095,961",Africa
109,Cyprus,923,+1,17,,561,345,10,765,14,"95,349","79,036","1,206,392",Asia
110,Costa Rica,903,+6,10,,592,301,3,177,2,"21,929","4,309","5,088,953",North America
111,Equatorial Guinea,903,+13,10,+3,22,871,,646,7,854,611,"1,397,254",Africa
112,Venezuela,882,+58,10,,262,610,2,31,0.4,"697,691","24,528","28,444,376",South America
113,Zambia,866,+34,7,,302,557,1,47,0.4,"19,432","1,061","18,321,393",Africa
114,Paraguay,836,+3,11,,256,569,,117,2,"21,987","3,087","7,122,661",South America
115,Burkina Faso,812,+3,52,,669,91,,39,2,,,"20,833,816",Africa
116,Andorra,762,,51,,639,72,3,"9,864",660,"3,750","48,542","77,252",Europe
117,Uruguay,749,+3,20,,594,135,4,216,6,"36,537","10,522","3,472,430",South America
118,Georgia,721,+8,12,,485,224,6,181,3,"44,098","11,052","3,989,972",Asia
119,Diamond Princess,712,,13,,651,48,4,,,,,,
120,Jordan,684,+12,9,,457,218,5,67,0.9,"156,663","15,371","10,191,845",Asia
121,Haiti,663,+67,22,,21,620,,58,2,"2,270",199,"11,386,865",North America
122,San Marino,658,+2,41,,235,382,1,"19,397","1,209","3,779","111,399","33,923",Europe
123,Malta,599,+15,6,,468,125,1,"1,357",14,"56,224","127,372","441,416",Europe
124,Chad,588,+23,58,+1,186,344,,36,4,,,"16,368,402",Africa
125,Sierra Leone,585,+15,35,+1,205,345,,74,4,,,"7,957,977",Africa
