#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"912,036","+24,779","26,674",+430,"531,963","353,399","4,850",,,,,,Asia
NA,North America,"1,824,549","+29,354","111,630","+1,835","505,055","1,207,864","18,247",,,,,,North America
NA,South America,"578,187","+29,563","29,361","+1,283","218,724","330,102","10,701",,,,,,South America
NA,Europe,"1,868,166","+19,844","168,419","+1,614","849,073","850,674","10,477",,,,,,Europe
NA,Africa,"105,845","+4,161","3,204",+89,"42,881","59,760",296,,,,,,Africa
NA,Oceania,"8,703",+15,122,+1,"8,035",546,8,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"5,298,207","+107,716","339,425","+5,252","2,156,382","2,802,400","44,583",680,43.5,,,,All
1,China,"82,971",+4,"4,634",,"78,255",82,8,58,3,,,"1,439,323,776",Asia
2,USA,"1,645,094","+24,197","97,647","+1,293","403,201","1,144,246","17,109","4,973",295,"13,909,905","42,050","330,795,837",North America
3,Brazil,"330,890","+19,969","21,048",+966,"135,430","174,412","8,318","1,558",99,"735,224","3,462","212,397,420",South America
4,Russia,"326,448","+8,894","3,249",+150,"99,825","223,374","2,300","2,237",22,"8,126,626","55,689","145,927,974",Europe
5,Spain,"281,904","+1,787","28,628",+688,"196,958","56,318","1,152","6,030",612,"3,037,840","64,977","46,752,901",Europe
6,UK,"254,195","+3,287","36,393",+351,N/A,N/A,"1,559","3,747",536,"3,231,921","47,635","67,848,130",Europe
7,Italy,"228,658",+652,"32,616",+130,"136,720","59,322",595,"3,781",539,"3,318,778","54,882","60,470,956",Europe
8,France,"182,219",+393,"28,289",+74,"64,209","89,721","1,701","2,792",433,"1,384,633","21,218","65,258,400",Europe
9,Germany,"179,713",+692,"8,352",+43,"159,000","12,361",965,"2,146",100,"3,595,059","42,923","83,755,775",Europe
10,Turkey,"154,500",+952,"4,276",+27,"116,111","34,113",800,"1,834",51,"1,767,495","20,982","84,239,988",Asia
11,Iran,"131,652","+2,311","7,300",+51,"102,276","22,076","2,659","1,570",87,"763,913","9,108","83,874,391",Asia
12,India,"124,794","+6,568","3,726",+142,"51,824","69,244",,91,3,"2,719,434","1,973","1,378,529,934",Asia
13,Peru,"111,698","+2,929","3,244",+96,"44,848","63,606",886,"3,393",99,"750,526","22,798","32,920,920",South America
14,Canada,"82,480","+1,156","6,250",+98,"42,594","33,636",502,"2,187",166,"1,405,208","37,267","37,706,381",North America
15,Saudi Arabia,"67,719","+2,642",364,+13,"39,003","28,352",302,"1,949",10,"667,057","19,194","34,753,259",Asia
16,Chile,"61,857","+4,276",630,+41,"25,342","35,885",986,"3,239",33,"442,093","23,148","19,098,478",South America
17,Mexico,"59,567","+2,973","6,510",+420,"40,657","12,400",378,463,51,"201,838","1,567","128,785,048",North America
18,Belgium,"56,511",+276,"9,212",+26,"15,123","32,176",268,"4,878",795,"757,328","65,375","11,584,289",Europe
19,Pakistan,"50,694","+2,603","1,067",+50,"15,201","34,426",111,230,5,"445,987","2,024","220,403,741",Asia
20,Netherlands,"44,888",+188,"5,788",+13,N/A,N/A,252,"2,620",338,"313,755","18,315","17,130,906",Europe
21,Qatar,"40,481","+1,830",19,+2,"7,893","32,569",175,"14,078",7,"180,642","62,819","2,875,579",Asia
22,Ecuador,"35,828",+522,"3,056",+117,"3,557","29,215",191,"2,034",174,"104,330","5,923","17,613,161",South America
23,Belarus,"34,303",+932,190,+5,"12,833","21,280",92,"3,630",20,"419,004","44,341","9,449,644",Europe
24,Sweden,"32,809",+637,"3,925",+54,"4,971","23,913",265,"3,251",389,"209,900","20,798","10,092,543",Europe
25,Switzerland,"30,707",+13,"1,903",+5,"27,900",904,51,"3,551",220,"364,321","42,129","8,647,829",Europe
26,Singapore,"30,426",+614,23,,"12,995","17,408",8,"5,205",4,"294,414","50,367","5,845,390",Asia
27,Bangladesh,"30,205","+1,694",432,+24,"6,190","23,583",1,184,3,"223,841","1,361","164,510,959",Asia
28,Portugal,"30,200",+288,"1,289",+12,"7,590","21,321",84,"2,961",126,"689,705","67,620","10,199,740",Europe
29,UAE,"27,892",+994,241,+4,"13,798","13,853",1,"2,824",24,"1,600,923","162,082","9,877,270",Asia
