#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"8,481,528","+125,368","162,532","+1,769","6,837,629","+99,548","1,481,367","19,369",,,,,,Asia,,,
NA,North America,"7,943,669","+50,388","288,729","+1,324","4,830,637","+41,891","2,824,303","18,330",,,,,,North America,,,
NA,South America,"7,073,083","+62,423","227,119","+1,413","5,769,768","+54,682","1,076,196","15,251",,,,,,South America,,,
NA,Europe,"4,049,800","+36,655","212,293",+325,"2,238,809","+14,470","1,598,698","6,424",,,,,,Europe,,,
NA,Africa,"1,352,693","+7,494","32,556",+146,"1,096,779","+16,552","223,358","1,486",,,,,,Africa,,,
NA,Oceania,"29,921",+44,836,+6,"25,916",+121,"3,169",23,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"28,931,415","+282,372","924,080","+4,983","20,800,189","+227,264","7,207,146","60,887","3,712",118.6,,,,All,,,
1,China,"85,174",+6,"4,634",,"80,386",+9,154,2,59,3,"160,000,000","111,163","1,439,323,776",Asia,"16,899","310,601",9
2,USA,"6,676,601","+39,282","198,128",+707,"3,950,354","+32,392","2,528,119","14,366","20,147",598,"91,703,503","276,720","331,393,984",North America,50,"1,673",4
3,India,"4,751,788","+94,409","78,614","+1,108","3,699,298","+77,860","973,876","8,944","3,437",57,"55,189,226","39,914","1,382,715,488",Asia,291,"17,589",25
4,Brazil,"4,315,858","+31,880","131,274",+800,"3,553,421","+22,766","631,163","8,318","20,275",617,"14,505,652","68,145","212,863,206",South America,49,"1,622",15
5,Russia,"1,057,362","+5,488","18,484",+119,"873,535","+5,428","165,343","2,300","7,245",127,"40,200,000","275,442","145,947,228",Europe,138,"7,896",4
6,Peru,"722,832","+6,162","30,593",+123,"559,321","+7,107","132,918","1,463","21,862",925,"3,509,997","106,162","33,062,763",South America,46,"1,081",9
7,Colombia,"708,964","+6,876","22,734",+216,"592,820","+10,126","93,410",863,"13,904",446,"3,132,861","61,439","50,991,057",South America,72,"2,243",16
8,Mexico,"658,299","+5,935","70,183",+534,"463,764","+4,914","124,352","2,892","5,095",543,"1,496,322","11,581","129,203,017",North America,196,"1,841",86
9,South Africa,"648,214","+1,816","15,427",+49,"576,423","+1,836","56,364",539,"10,902",259,"3,902,786","65,640","59,457,154",Africa,92,"3,854",15
10,Spain,"576,697",,"29,747",,N/A,N/A,N/A,"1,136","12,334",636,"9,987,326","213,594","46,758,473",Europe,81,"1,572",5
11,Argentina,"546,481","+10,776","11,263",+115,"409,771","+9,650","125,447","2,962","12,069",249,"1,540,101","34,014","45,278,769",South America,83,"4,020",29
12,Chile,"432,666","+2,131","11,895",+45,"404,919","+1,855","15,852",918,"22,595",621,"2,791,831","145,795","19,149,083",South America,44,"1,610",7
13,Iran,"399,940","+2,139","23,029",+116,"344,516","+1,977","32,395","3,768","4,750",273,"3,532,873","41,955","84,206,302",Asia,211,"3,657",24
14,France,"373,911","+10,561","30,910",+17,"89,059",,"253,942",635,"5,726",473,"10,000,000","153,133","65,302,865",Europe,175,"2,113",7
15,UK,"365,174","+3,497","41,623",+9,N/A,N/A,N/A,79,"5,374",612,"19,293,329","283,901","67,958,005",Europe,186,"1,633",4
16,Bangladesh,"336,044","+1,282","4,702",+34,"238,271","+2,247","93,071",,"2,036",28,"1,715,481","10,396","165,017,143",Asia,491,"35,095",96
17,Saudi Arabia,"325,050",+643,"4,240",+27,"301,836",+903,"18,974","1,343","9,308",121,"5,686,255","162,833","34,920,766",Asia,107,"8,236",6
