#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"7,297,497","+109,008","145,652","+1,565","5,855,737","+87,627","1,296,108","18,830",,,,,,Asia,,,
NA,North America,"7,454,665","+52,870","274,656","+2,019","4,343,631","+58,162","2,836,378","19,416",,,,,,North America,,,
NA,South America,"6,469,233","+80,620","206,662","+2,067","5,101,483","+82,134","1,161,088","15,272",,,,,,South America,,,
NA,Europe,"3,646,402","+35,087","208,567",+393,"2,099,216","+12,458","1,338,619","5,842",,,,,,Europe,,,
NA,Africa,"1,273,213","+8,796","30,370",+266,"1,011,064","+8,510","231,779","1,278",,,,,,Africa,,,
NA,Oceania,"28,825",+169,692,+6,"23,910",+326,"4,223",35,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"26,170,556","+286,550","866,614","+6,316","18,435,692","+249,217","6,868,250","60,677","3,357",111.2,,,,All,,,
1,China,"85,066",+8,"4,634",,"80,234",+26,198,4,59,3,"160,000,000","111,163","1,439,323,776",Asia,"16,920","310,601",9
2,USA,"6,290,737","+41,211","189,964","+1,090","3,547,032","+50,119","2,553,741","15,101","18,986",573,"84,098,411","253,812","331,341,050",North America,53,"1,744",4
3,Brazil,"4,001,422","+48,632","123,899","+1,218","3,210,405","+51,309","667,118","8,318","18,802",582,"14,352,484","67,439","212,821,986",South America,53,"1,718",15
4,India,"3,848,968","+82,860","67,486","+1,026","2,967,396","+67,875","814,086","8,944","2,784",49,"44,337,201","32,074","1,382,345,085",Asia,359,"20,483",31
5,Russia,"1,005,000","+4,952","17,414",+115,"821,169","+5,464","166,417","2,300","6,886",119,"37,100,000","254,204","145,945,524",Europe,145,"8,381",4
6,Peru,"663,437","+6,308","29,259",+191,"480,177","+8,578","154,001","1,500","20,074",885,"3,256,711","98,538","33,050,211",South America,50,"1,130",10
