#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"2,072,538","+46,448","52,019","+1,038","1,340,550","+37,800","679,969","19,255",,,,,,Asia,,,
NA,North America,"2,911,818","+48,896","162,381","+1,681","1,312,586","+17,582","1,436,851","18,657",,,,,,North America,,,
NA,South America,"1,985,185","+58,408","77,851","+1,826","1,110,852","+13,068","796,482","12,727",,,,,,South America,,,
NA,Europe,"2,372,079","+13,833","189,493",+419,"1,313,043","+11,477","869,543","6,098",,,,,,Europe,,,
NA,Africa,"350,859","+12,093","9,104",+214,"168,752","+5,245","173,003",885,,,,,,Africa,,,
NA,Oceania,"9,186",+40,126,+1,"8,522",+17,538,2,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"9,702,386","+179,718","490,989","+5,179","5,254,956","+85,189","3,956,441","57,628","1,245",63.0,,,,All,,,
1,China,"83,449",+19,"4,634",,"78,433",+5,382,13,58,3,"90,410,000","62,814","1,439,323,776",Asia,"17,248","310,601",16
2,USA,"2,504,588","+40,184","126,780",+649,"1,052,293","+11,688","1,325,515","15,723","7,567",383,"30,732,552","92,854","330,975,810",North America,132,"2,611",11
3,Brazil,"1,233,147","+40,673","55,054","+1,180","649,908",,"528,185","8,318","5,802",259,"2,751,953","12,948","212,537,568",South America,172,"3,861",77
4,Russia,"613,994","+7,113","8,605",+92,"375,164","+6,342","230,225","2,300","4,207",59,"18,115,830","124,137","145,933,767",Europe,238,"16,959",8
5,India,"491,170","+18,185","15,308",+401,"285,671","+13,983","190,191","8,944",356,11,"7,560,782","5,480","1,379,789,304",Asia,"2,809","90,135",182
6,UK,"307,980","+1,118","43,230",+149,N/A,N/A,N/A,311,"4,537",637,"8,710,292","128,317","67,881,190",Europe,220,"1,570",8
7,Spain,"294,566",+400,"28,330",+3,N/A,N/A,N/A,617,"6,300",606,"5,162,909","110,426","46,754,577",Europe,159,"1,650",9
8,Peru,"268,602","+3,913","8,761",+175,"156,074","+4,485","103,767","1,144","8,148",266,"1,583,605","48,041","32,963,598",South America,123,"3,763",21
9,Chile,"259,064","+4,648","4,903",+172,"219,327","+4,234","34,834","2,078","13,554",257,"1,025,081","53,631","19,113,705",South America,74,"3,898",19
10,Italy,"239,706",+296,"34,678",+34,"186,725",+614,"18,303",103,"3,965",574,"5,163,154","85,394","60,462,730",Europe,252,"1,744",12
11,Iran,"215,096","+2,595","10,130",+134,"175,103","+3,007","29,863","2,899","2,561",121,"1,530,437","18,225","83,974,258",Asia,390,"8,290",55
12,Mexico,"196,847","+5,437","24,324",+947,"149,318","+4,870","23,205",378,"1,527",189,"515,658","4,000","128,910,809",North America,655,"5,300",250
13,Germany,"193,785",+531,"9,012",+9,"176,800",+500,"7,973",360,"2,313",108,"5,412,655","64,605","83,780,597",Europe,432,"9,297",15
14,Turkey,"193,115","+1,458","5,046",+21,"165,706","+1,472","22,363",941,"2,290",60,"3,135,424","37,183","84,324,246",Asia,437,"16,711",27
15,Pakistan,"192,970","+4,044","3,903",+148,"81,307","+3,553","107,760","3,003",874,18,"1,171,976","5,308","220,802,843",Asia,"1,144","56,573",188
16,Saudi Arabia,"170,639","+3,372","1,428",+41,"117,882","+5,085","51,329","2,206","4,903",41,"1,479,759","42,517","34,803,660",Asia,204,"24,372",24
17,France,"161,348",,"29,752",+21,"75,351",+224,"56,245",651,"2,472",456,"1,384,633","21,213","65,271,779",Europe,405,"2,194",47
18,Bangladesh,"126,606","+3,946","1,621",+39,"51,495","+1,829","73,490",1,769,10,"681,443","4,138","164,663,262",Asia,"1,301","101,581",242
19,South Africa,"118,375","+6,579","2,292",+87,"59,974","+3,100","56,109",539,"1,996",39,"1,460,012","24,623","59,295,764",Africa,501,"25,871",41
20,Canada,"102,622",+380,"8,504",+20,"65,425",+334,"28,693","2,077","2,719",225,"2,558,363","67,794","37,737,089",North America,368,"4,438",15
21,Qatar,"91,838","+1,060",106,+2,"74,544","+1,461","17,188",212,"32,708",38,"337,496","120,199","2,807,805",Asia,31,"26,489",8
22,Colombia,"80,599","+3,486","2,654",+163,"33,349","+1,678","44,596",335,"1,584",52,"670,093","13,172","50,874,063",South America,631,"19,169",76
23,Sweden,"63,890",+230,"5,230",+21,N/A,N/A,N/A,193,"6,327",518,"444,607","44,028","10,098,382",Europe,158,"1,931",23
