#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"2,630,117","+50,665","63,293","+1,067","1,778,315","+39,846","788,509","19,505",,,,,,Asia,,,
NA,North America,"3,555,894","+59,851","176,138",+747,"1,606,979","+40,106","1,772,777","18,382",,,,,,North America,,,
NA,South America,"2,549,517","+35,383","94,925","+1,240","1,566,615","+11,133","887,977","13,569",,,,,,South America,,,
NA,Europe,"2,492,804","+11,605","193,989",+278,"1,437,425","+6,686","861,390","5,555",,,,,,Europe,,,
NA,Africa,"493,710","+13,865","11,649",+249,"238,464","+8,448","243,597",956,,,,,,Africa,,,
NA,Oceania,"10,233",+139,128,+2,"9,017",+21,"1,088",7,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"11,732,996","+171,508","540,137","+3,583","6,637,466","+106,240","4,555,393","57,978","1,505",69.3,,,,All,,,
1,China,"83,557",+4,"4,634",,"78,518",+2,405,5,58,3,"90,410,000","62,814","1,439,323,776",Asia,"17,226","310,601",16
2,USA,"3,040,833","+50,586","132,979",+378,"1,324,947","+35,383","1,582,907","15,198","9,186",402,"38,217,640","115,449","331,034,037",North America,109,"2,489",9
3,Brazil,"1,626,071","+21,486","65,556",+656,"978,615",,"581,900","8,318","7,649",308,"3,330,562","15,667","212,582,910",South America,131,"3,243",64
4,India,"720,346","+22,510","20,174",+474,"440,150","+15,259","260,022","8,944",522,15,"9,969,662","7,223","1,380,196,747",Asia,"1,916","68,415",138
5,Russia,"687,862","+6,611","10,296",+135,"454,329","+3,579","223,237","2,300","4,713",71,"21,335,394","146,197","145,935,642",Europe,212,"14,174",7
6,Peru,"305,703","+2,985","10,772",+183,"197,619","+3,662","97,312","1,236","9,270",327,"1,800,690","54,604","32,977,406",South America,108,"3,061",18
7,Spain,"298,869",+414,"28,388",+3,N/A,N/A,N/A,617,"6,392",607,"5,734,599","122,652","46,755,120",Europe,156,"1,647",8
8,Chile,"298,557","+3,025","6,384",+76,"264,371","+3,339","27,802","2,069","15,616",334,"1,198,261","62,675","19,118,631",South America,64,"2,995",16
9,UK,"285,768",+352,"44,236",+16,N/A,N/A,N/A,231,"4,209",652,"10,651,308","156,886","67,891,886",Europe,238,"1,535",6
10,Mexico,"256,848","+4,683","30,639",+273,"155,604","+3,295","70,605",378,"1,992",238,"641,142","4,972","128,951,496",North America,502,"4,209",201
11,Iran,"243,051","+2,613","11,731",+160,"204,083","+2,753","27,237","3,201","2,893",140,"1,820,000","21,665","84,006,568",Asia,346,"7,161",46
12,Italy,"241,819",+208,"34,869",+8,"192,241",+133,"14,709",72,"4,000",577,"5,660,454","93,623","60,460,068",Europe,250,"1,734",11
13,Pakistan,"231,818","+3,344","4,762",+50,"131,649","+1,819","95,407","2,406","1,049",22,"1,420,623","6,430","220,931,964",Asia,953,"46,395",156
14,Saudi Arabia,"213,716","+4,207","1,968",+52,"149,634","+4,398","62,114","2,254","6,138",57,"1,934,391","55,554","34,819,965",Asia,163,"17,693",18
15,Turkey,"206,844","+1,086","5,241",+16,"182,995","+2,315","18,608","1,130","2,452",62,"3,682,673","43,659","84,351,507",Asia,408,"16,095",23
16,South Africa,"205,721","+8,971","3,310",+111,"97,848","+4,533","104,563",539,"3,468",56,"1,864,111","31,426","59,318,236",Africa,288,"17,921",32
17,Germany,"198,057",+499,"9,092",+6,"182,200",+500,"6,765",305,"2,364",109,"5,873,563","70,100","83,788,628",Europe,423,"9,216",14
18,France,"168,335",+176,"29,920",+13,"77,308",+129,"61,107",548,"2,579",458,"1,384,633","21,212","65,276,107",Europe,388,"2,182",47
19,Bangladesh,"165,618","+3,201","2,096",+44,"76,149","+3,524","87,373",1,"1,005",13,"863,307","5,241","164,712,537",Asia,995,"78,584",191
20,Colombia,"120,281","+3,171","4,210",+146,"50,370","+2,489","65,701",841,"2,364",83,"881,190","17,315","50,890,353",South America,423,"12,088",58
21,Canada,"105,935",+399,"8,693",+9,"69,570",+331,"27,672","2,128","2,806",230,"2,975,711","78,833","37,747,023",North America,356,"4,342",13
22,Qatar,"100,345",+546,133,+5,"93,898","+1,614","6,314",164,"35,738",47,"386,111","137,513","2,807,805",Asia,28,"21,111",7
23,Argentina,"80,447","+2,632","1,582",+75,"28,531",+934,"50,334",676,"1,780",35,"406,210","8,987","45,201,791",South America,562,"28,573",111
24,Egypt,"76,222",+969,"3,422",+79,"21,238",+512,"51,562",41,745,33,"135,000","1,319","102,352,798",Africa,"1,343","29,910",758
25,Sweden,"73,061",+44,"5,433",+13,N/A,N/A,N/A,124,"7,234",538,"519,113","51,396","10,100,272",Europe,138,"1,859",19
26,Indonesia,"64,958","+1,209","3,241",+70,"29,919",+814,"31,798",,237,12,"928,238","3,393","273,563,534",Asia,"4,211","84,407",295
27,Belarus,"63,804",+250,429,+6,"51,120",+249,"12,255",89,"6,752",45,"1,074,240","113,685","9,449,263",Europe,148,"22,026",9
28,Ecuador,"62,380",+422,"4,821",+40,"28,872",+150,"28,687",288,"3,535",273,"163,842","9,285","17,646,119",South America,283,"3,660",108
29,Iraq,"62,275","+1,796","2,567",+94,"34,741","+1,724","24,967",337,"1,548",64,"612,607","15,228","40,229,391",Asia,646,"15,672",66
30,Belgium,"62,016",+107,"9,771",,"17,091",,"35,154",32,"5,351",843,"1,284,605","110,833","11,590,476",Europe,187,"1,186",9
31,UAE,"52,068",+528,324,+1,"40,721",+424,"11,023",1,"5,264",33,"3,500,000","353,823","9,891,960",Asia,190,"30,531",3
32,Netherlands,"50,657",+36,"6,128",+1,N/A,N/A,N/A,18,"2,956",358,"616,376","35,971","17,135,554",Europe,338,"2,796",28
33,Kuwait,"50,644",+703,373,+5,"41,001",+538,"9,270",152,"11,857",87,"409,335","95,834","4,271,307",Asia,84,"11,451",10
34,Ukraine,"49,043",+543,"1,262",+13,"21,703",+327,"26,078",103,"1,122",29,"722,513","16,523","43,727,995",Europe,892,"34,650",61
35,Kazakhstan,"48,574","+1,403",264,+13,"27,334",+304,"20,976",221,"2,587",14,"1,620,252","86,277","18,779,648",Asia,387,"71,135",12
36,Oman,"47,735","+1,557",218,+5,"29,146","+1,229","18,371",129,"9,346",43,"213,187","41,741","5,107,411",Asia,107,"23,428",24
37,Philippines,"46,333","+2,079","1,303",+6,"12,185",+243,"32,845",166,423,12,"845,218","7,712","109,599,173",Asia,"2,365","84,113",130
38,Singapore,"44,983",+183,26,,"40,717",+276,"4,240",2,"7,688",4,"757,746","129,506","5,851,040",Asia,130,"225,040",8
39,Portugal,"44,129",+232,"1,620",+6,"29,166",+149,"13,343",73,"4,328",159,"1,271,425","124,697","10,196,100",Europe,231,"6,294",8
40,Panama,"39,334","+1,185",770,+23,"18,036",+50,"20,528",146,"9,115",178,"148,115","34,321","4,315,525",North America,110,"5,605",29
41,Bolivia,"39,297","+1,226","1,434",+56,"11,667",+395,"26,196",71,"3,366",123,"86,878","7,441","11,674,969",South America,297,"8,142",134
42,Dominican Republic,"38,128",+703,804,+10,"19,489",+546,"17,835",208,"3,514",74,"169,999","15,669","10,849,442",North America,285,"13,494",64
