#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"1,392,482","+31,253","35,639",+614,"842,914","+20,618","513,929","14,953",,,,,,Asia,,,
NA,North America,"2,303,336","+24,856","136,385",+848,"943,277","+15,980","1,223,674","19,439",,,,,,North America,,,
NA,South America,"1,176,276","+29,806","51,327","+1,105","559,961","+28,597","564,988","11,792",,,,,,South America,,,
NA,Europe,"2,109,178","+14,468","179,360",+417,"1,088,915","+6,787","840,903","7,117",,,,,,Europe,,,
NA,Africa,"198,990","+6,872","5,390",+173,"88,212","+3,293","105,388",490,,,,,,Africa,,,
NA,Oceania,"8,875",+5,124,,"8,294",+5,457,3,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"7,189,858","+107,260","408,240","+3,157","3,532,224","+75,280","3,249,394","53,798",922,52.4,,,,All,,,
1,China,"83,040",+4,"4,634",,"78,341",+9,65,1,58,3,,,"1,439,323,776",Asia,"17,333","310,601",
2,USA,"2,026,493","+19,044","113,055",+586,"773,480","+11,772","1,139,958","16,907","6,124",342,"21,725,064","65,657","330,885,824",North America,163,"2,927",15
3,Brazil,"710,887","+18,925","37,312",+813,"325,602","+23,518","347,973","8,318","3,346",176,"999,836","4,706","212,467,494",South America,299,"5,694",213
4,Russia,"476,658","+8,985","5,971",+112,"230,688","+3,957","239,999","2,300","3,266",41,"13,016,023","89,193","145,930,871",Europe,306,"24,440",11
5,Spain,"288,797",+167,"27,136",,N/A,N/A,N/A,617,"6,177",580,"4,465,338","95,508","46,753,739",Europe,162,"1,723",10
6,UK,"287,399","+1,205","40,597",+55,N/A,N/A,N/A,516,"4,235",598,"5,731,576","84,456","67,864,660",Europe,236,"1,672",12
7,India,"265,928","+8,442","7,473",+266,"129,095","+5,247","129,360","8,944",193,5,"4,774,434","3,462","1,379,159,619",Asia,"5,186","184,552",289
8,Italy,"235,278",+280,"33,964",+65,"166,584",+747,"34,730",283,"3,891",562,"4,236,535","70,064","60,466,843",Europe,257,"1,780",14
9,Peru,"199,696","+3,181","5,571",+106,"89,556","+3,337","104,569","1,062","6,062",169,"1,203,985","36,548","32,942,259",South America,165,"5,913",27
10,Germany,"186,205",+336,"8,783",+7,"169,600",+500,"7,822",540,"2,223",105,"4,348,880","51,916","83,768,186",Europe,450,"9,538",19
11,Iran,"173,832","+2,043","8,351",+70,"136,360","+2,011","29,121","2,619","2,071",100,"1,107,254","13,193","83,924,324",Asia,483,"10,050",76
12,Turkey,"171,121",+989,"4,711",+19,"141,380","+3,411","25,030",625,"2,030",56,"2,377,954","28,214","84,282,117",Asia,493,"17,890",35
13,France,"154,188",+211,"29,209",+54,"71,062",+220,"53,917","1,024","2,362",448,"1,384,633","21,216","65,265,090",Europe,423,"2,234",47
14,Chile,"138,846","+4,696","2,264",+74,"95,631",,"40,951","1,558","7,267",118,"728,815","38,146","19,106,092",South America,138,"8,439",26
15,Mexico,"117,103","+3,484","13,699",+188,"84,419","+2,875","18,985",378,909,106,"336,395","2,611","128,847,928",North America,"1,100","9,406",383
16,Saudi Arabia,"105,283","+3,369",746,+34,"74,524","+1,707","30,013","1,632","3,027",21,"976,815","28,087","34,778,459",Asia,330,"46,620",36
17,Pakistan,"103,671","+4,728","2,067",+65,"34,355",+890,"67,249",111,470,9,"705,833","3,200","220,603,292",Asia,"2,128","106,726",313
18,Canada,"96,244",+545,"7,835",+35,"55,000",+767,"33,409","1,828","2,551",208,"1,930,141","51,168","37,721,735",North America,392,"4,815",20
19,Qatar,"70,158","+1,368",57,+3,"45,935","+1,597","24,166",241,"24,987",20,"259,646","92,473","2,807,805",Asia,40,"49,260",11
20,Bangladesh,"68,504","+2,735",930,+42,"14,560",+657,"53,014",1,416,6,"410,841","2,496","164,587,111",Asia,"2,403","176,975",401
21,Belgium,"59,348",+122,"9,606",+11,"16,315",+24,"33,427",116,"5,122",829,"949,675","81,963","11,586,627",Europe,195,"1,206",12
22,South Africa,"50,879","+2,594","1,080",+82,"26,099","+1,735","23,700",208,859,18,"943,059","15,914","59,261,034",Africa,"1,165","54,871",63
23,Belarus,"49,453",+823,276,+7,"23,880",+233,"25,297",92,"5,233",29,"632,993","66,987","9,449,500",Europe,191,"34,237",15
24,Netherlands,"47,739",+165,"6,016",+3,N/A,N/A,N/A,92,"2,786",351,"414,550","24,196","17,132,661",Europe,359,"2,848",41
25,Sweden,"45,133",+68,"4,694",+35,N/A,N/A,N/A,298,"4,471",465,"275,500","27,289","10,095,462",Europe,224,"2,151",37
