#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
50,Bahrain,"9,366",+195,14,,"4,938","4,414",9,"5,526",8,"286,223","168,866","1,694,967",Asia
51,Czechia,"9,050",+48,317,,"6,270","2,463",24,845,30,"410,777","38,365","10,707,123",Europe
52,Kazakhstan,"8,969",+438,37,+2,"4,613","4,319",31,478,2,"687,249","36,644","18,754,495",Asia
53,Algeria,"8,697",+194,617,+8,"4,918","3,162",27,199,14,,,"43,770,104",Africa
54,Norway,"8,383",+19,235,,"7,727",421,11,"1,547",43,"236,666","43,688","5,417,143",Europe
55,Nigeria,"8,344",+276,249,+16,"2,385","5,710",7,41,1,"44,458",216,"205,598,175",Africa
56,Oman,"8,118",+348,37,,"2,067","6,014",31,"1,594",7,"72,000","14,138","5,092,816",Asia
57,Malaysia,"7,604",+187,115,,"6,041","1,448",8,235,4,"519,944","16,085","32,324,797",Asia
58,Morocco,"7,577",+45,202,+2,"4,881","2,494",1,206,5,"161,365","4,377","36,867,318",Africa
59,Armenia,"7,402",+289,91,+4,"3,220","4,091",10,"2,498",31,"52,554","17,738","2,962,725",Asia
60,Moldova,"7,305",+158,267,+6,"3,884","3,154",256,"1,810",66,"40,565","10,054","4,034,820",Europe
61,Australia,"7,133",+15,102,,"6,553",478,5,280,4,"1,288,223","50,577","25,470,681",Australia/Oceania
62,Ghana,"7,117",+309,34,+2,"2,317","4,766",16,230,1,"203,383","6,560","31,005,629",Africa
63,Bolivia,"6,660",+397,261,+11,647,"5,752",3,571,22,"22,294","1,912","11,657,129",South America
64,Finland,"6,628",+29,312,+4,"5,100","1,216",11,"1,196",56,"171,575","30,971","5,539,916",Europe
65,Cameroon,"5,436",+546,175,+10,"1,996","3,265",28,205,7,,,"26,475,800",Africa
66,Iraq,"4,848",+216,169,+6,"2,852","1,827",34,121,4,"199,367","4,968","40,128,037",Asia
67,Azerbaijan,"4,403",+132,52,+1,"2,819","1,532",42,435,5,"273,411","26,989","10,130,283",Asia
68,Honduras,"4,189",+239,182,+2,473,"3,534",13,424,18,"14,790","1,496","9,888,691",North America
69,Luxembourg,"3,995",+2,110,,"3,783",102,5,"6,393",176,"68,829","110,136","624,947",Europe
70,Sudan,"3,976",+156,170,+5,503,"3,303",,91,4,401,9,"43,741,597",Africa
71,Hungary,"3,771",+15,499,+8,"1,836","1,436",27,390,52,"166,263","17,207","9,662,589",Europe
72,Guatemala,"3,760",+336,59,+1,274,"3,427",5,210,3,"31,427","1,758","17,881,612",North America
73,Uzbekistan,"3,290",+101,14,+1,"2,636",640,3,98,0.4,"460,000","13,764","33,420,567",Asia
74,Guinea,"3,275",,20,,"1,673","1,582",24,250,2,"14,407","1,100","13,094,574",Africa
75,Tajikistan,"3,266",+166,47,+1,"1,417","1,802",,343,5,,,"9,515,224",Asia
76,Senegal,"3,161",+31,36,+1,"1,565","1,560",18,189,2,"35,016","2,097","16,696,778",Africa
77,Thailand,"3,045",+3,57,,"2,929",59,57,44,0.8,"375,453","5,380","69,783,536",Asia
78,Greece,"2,892",+10,173,+1,"1,374","1,345",18,277,17,"160,991","15,439","10,427,639",Europe
79,Ivory Coast,"2,477",+54,30,,"1,286","1,161",,94,1,"25,099",954,"26,309,063",Africa
80,Djibouti,"2,468",,14,,"1,079","1,375",,"2,502",14,"23,140","23,455","986,559",Africa
81,Bulgaria,"2,443",+10,130,,880,"1,433",20,351,19,"74,834","10,763","6,953,085",Europe
82,Bosnia and Herzegovina,"2,416",+10,149,+3,"1,721",546,4,736,45,"60,528","18,439","3,282,643",Europe
83,DRC,"2,403",+106,68,+1,340,"1,995",,27,0.8,,,"89,264,128",Africa
84,Croatia,"2,244",,101,+1,"2,046",97,5,546,25,"63,682","15,504","4,107,530",Europe
85,Gabon,"2,238",+103,14,,593,"1,631",11,"1,008",6,"10,683","4,812","2,220,204",Africa
86,El Salvador,"2,042",+59,36,+1,787,"1,219",25,315,6,"77,482","11,951","6,483,089",North America
87,North Macedonia,"2,014",+15,116,+3,"1,453",445,21,967,56,"25,841","12,403","2,083,382",Europe
88,Cuba,"1,963",+16,82,,"1,709",172,4,173,7,"97,003","8,564","11,327,254",North America
89,Estonia,"1,834",+10,65,,"1,552",217,1,"1,383",49,"78,085","58,868","1,326,452",Europe
90,Iceland,"1,804",,10,,"1,792",2,,"5,290",29,"59,087","173,260","341,030",Europe
91,Somalia,"1,711",+22,67,+1,253,"1,391",2,108,4,,,"15,845,450",Africa
92,Lithuania,"1,639",+4,65,+2,"1,165",409,17,601,24,"275,058","100,919","2,725,537",Europe
93,Mayotte,"1,634",+25,20,,894,720,11,"6,005",73,"5,200","19,109","272,120",Africa
94,Slovakia,"1,513",+2,28,,"1,322",163,1,277,5,"160,523","29,403","5,459,397",Europe
95,New Zealand,"1,504",,21,,"1,461",22,1,312,4,"263,156","54,614","4,818,440",Australia/Oceania
96,Slovenia,"1,469",,108,+1,"1,346",15,2,707,52,"77,138","37,105","2,078,912",Europe
97,Kyrgyzstan,"1,468",+35,16,,"1,015",437,5,225,2,"100,488","15,428","6,513,284",Asia
98,Maldives,"1,438",+43,5,+1,197,"1,236",9,"2,665",9,"11,775","21,823","539,573",Asia
99,Kenya,"1,348",+62,52,,405,891,1,25,1.0,"64,264","1,198","53,647,618",Africa
100,Sri Lanka,"1,319",+137,10,,712,597,1,62,0.5,"56,181","2,625","21,404,741",Asia
101,Venezuela,"1,211",+34,11,+1,302,898,2,43,0.4,"865,367","30,424","28,443,280",South America
102,Guinea-Bissau,"1,178",,7,,42,"1,129",,600,4,"1,500",764,"1,963,102",Africa
103,Lebanon,"1,140",+21,26,,689,425,3,167,4,"75,813","11,103","6,828,204",Asia
104,Mali,"1,077",+18,70,+3,617,390,,53,3,"3,483",173,"20,187,688",Africa
105,Hong Kong,"1,066",,4,,"1,033",29,1,142,0.5,"202,930","27,090","7,491,091",Asia
106,Haiti,"1,063",+105,31,+4,22,"1,010",,93,3,"3,328",292,"11,388,764",North America
107,Latvia,"1,053",+4,22,,741,290,2,558,12,"101,598","53,812","1,888,011",Europe
108,Tunisia,"1,051",,48,,919,84,3,89,4,"48,476","4,106","11,806,488",Africa
109,Equatorial Guinea,"1,043",,12,,165,866,,746,9,854,611,"1,397,887",Africa
110,Albania,"1,029",+25,33,+1,803,193,3,358,11,"13,506","4,693","2,878,086",Europe
111,Costa Rica,956,+5,10,,634,312,2,188,2,"23,703","4,657","5,089,588",North America
112,Niger,952,+1,63,+1,796,93,,39,3,"5,989",248,"24,108,004",Africa
113,Cyprus,939,+2,17,,594,328,10,778,14,"103,814","86,045","1,206,512",Asia
114,Zambia,920,,7,,336,577,1,50,0.4,"20,011","1,092","18,328,453",Africa
115,Paraguay,877,+12,11,,382,484,,123,2,"26,169","3,673","7,123,858",South America
116,Burkina Faso,832,,52,,672,108,,40,2,,,"20,841,675",Africa
117,South Sudan,806,,8,,6,792,,72,0.7,"3,356",300,"11,180,763",Africa
118,Uruguay,789,+2,22,,638,129,5,227,6,"39,469","11,366","3,472,594",South America
119,Nepal,772,+90,4,,155,613,,27,0.1,"152,391","5,240","29,083,261",Asia
120,Andorra,763,,51,,676,36,3,"9,877",660,"3,750","48,542","77,253",Europe
121,Nicaragua,759,+480,35,+18,370,354,,115,5,,,"6,616,762",North America
122,Sierra Leone,754,+19,44,+2,297,413,,95,6,,,"7,960,197",Africa
123,Georgia,732,+1,12,,537,183,6,183,3,"50,208","12,584","3,989,868",Asia
124,Jordan,718,+7,9,,586,123,5,70,0.9,"167,892","16,471","10,193,227",Asia
125,Diamond Princess,712,,13,,651,48,4,,,,,0,
126,Ethiopia,701,+46,6,+1,167,528,,6,0.05,"87,264",761,"114,661,849",Africa
127,Chad,700,+13,62,+1,303,335,,43,4,,,"16,374,868",Africa
128,CAR,671,+19,1,,22,648,,139,0.2,"11,570","2,400","4,821,214",Africa
129,San Marino,666,,42,,275,349,,"19,632","1,238","4,079","120,239","33,924",Europe
130,Malta,611,,6,,485,120,1,"1,384",14,"63,087","142,914","441,433",Europe
131,Madagascar,586,+44,2,,147,437,6,21,0.07,"9,340",338,"27,615,210",Africa
132,Channel Islands,559,,45,,512,2,,"3,218",259,"10,255","59,036","173,707",Europe
133,Jamaica,556,+4,9,,238,309,1,188,3,"10,570","3,571","2,959,941",North America
134,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,550,338",Africa
135,Congo,487,,16,,147,324,,88,3,,,"5,503,707",Africa
136,Réunion,459,+3,1,,411,47,1,513,1,"17,200","19,224","894,697",Africa
137,Sao Tome and Principe,441,+142,12,+1,68,361,,"2,016",55,175,800,"218,742",Africa
138,Taiwan,441,,7,,416,18,,19,0.3,"71,101","2,986","23,812,744",Asia
139,Palestine,429,+6,3,,365,61,,84,0.6,"44,876","8,818","5,088,950",Asia
140,Togo,391,+5,13,,177,201,,47,2,"17,501","2,119","8,258,310",Africa
141,Cabo Verde,390,,4,+1,155,231,,702,7,"1,307","2,353","555,393",Africa
142,French Guiana,384,+31,1,,146,237,2,"1,289",3,,,"297,857",South America
143,Rwanda,339,+3,,,244,95,,26,,"60,443","4,679","12,918,194",Africa
144,Isle of Man,336,,24,,306,6,2,"3,953",282,"4,624","54,406","84,990",Europe
145,Mauritius,334,,10,,322,2,,263,8,"104,639","82,291","1,271,571",Africa
146,Vietnam,327,+1,,,272,55,2,3,,"275,000","2,828","97,253,355",Asia
147,Montenegro,324,,9,,315,0,,516,14,"10,167","16,188","628,059",Europe
148,Mauritania,268,+6,13,+4,15,240,,58,3,"2,583",557,"4,636,603",Africa
149,Liberia,266,+1,26,,144,96,,53,5,,,"5,045,170",Africa
150,Eswatini,261,+5,2,,164,95,,225,2,"4,994","4,309","1,158,986",Africa
151,Uganda,253,+31,,,69,184,,6,,"87,903","1,928","45,582,307",Africa
152,Yemen,249,+16,49,+5,10,190,,8,2,120,4,"29,757,373",Asia
153,Mozambique,213,+4,1,,71,141,,7,0.03,"9,036",290,"31,161,032",Africa
154,Benin,208,+17,3,,118,87,,17,0.2,"28,179","2,331","12,089,298",Africa
155,Myanmar,206,+3,6,,124,76,,4,0.1,"20,322",374,"54,374,752",Asia
156,Martinique,197,,14,,91,92,,525,37,,,"375,292",North America
157,Faeroe Islands,187,,,,187,0,,"3,828",,"9,288","190,153","48,845",Europe
158,Guadeloupe,161,,14,,115,32,3,402,35,"3,573","8,930","400,118",North America
159,Gibraltar,154,,,,147,7,,"4,571",,"6,621","196,515","33,692",Europe
160,Brunei,141,,1,,137,3,2,323,2,"18,589","42,531","437,070",Asia
161,Mongolia,141,,,,37,104,25,43,,"12,460","3,807","3,272,950",Asia
162,Guyana,139,+2,11,,62,66,2,177,14,"1,499","1,907","786,191",South America
163,Bermuda,139,+6,9,,91,39,2,"2,231",144,"6,773","108,718","62,299",North America
164,Cayman Islands,137,+3,1,,63,73,,"2,087",15,"9,815","149,514","65,646",North America
165,Cambodia,124,,,,122,2,1,7,,"18,392","1,102","16,695,847",Asia
166,Syria,121,+15,4,,41,76,,7,0.2,,,"17,455,726",Asia
167,Trinidad and Tobago,116,,8,,108,0,,83,6,"3,012","2,153","1,399,061",North America
168,Malawi,101,,4,,37,60,1,5,0.2,"3,372",177,"19,077,274",Africa
169,Aruba,101,,3,,95,3,3,946,28,"2,073","19,424","106,723",North America
170,Bahamas,100,,11,,46,43,1,255,28,"2,026","5,157","392,877",North America
171,Monaco,98,,4,,90,4,2,"2,499",102,,,"39,215",Europe
172,Barbados,92,,7,,71,14,1,320,24,"4,888","17,011","287,342",North America
173,Comoros,87,,1,,21,65,,100,1,,,"867,674",Africa
174,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,611","38,118",Europe
175,Sint Maarten,77,,15,,59,3,1,"1,798",350,438,"10,227","42,828",North America
176,Libya,77,+2,3,,40,34,,11,0.4,"5,154",751,"6,861,969",Africa
177,Angola,70,,4,,18,48,,2,0.1,"10,000",305,"32,754,235",Africa
178,French Polynesia,60,,,,60,0,,214,,"3,964","14,119","280,753",Australia/Oceania
179,Zimbabwe,56,,4,,25,27,,4,0.3,"37,039","2,496","14,841,222",Africa
180,Macao,45,,,,45,0,,69,,,,"648,452",Asia
181,Burundi,42,,1,,20,21,,4,0.08,284,24,"11,852,246",Africa
182,Saint Martin,40,,3,,33,4,1,"1,036",78,553,"14,327","38,599",North America
183,Eritrea,39,,,,39,0,,11,,,,"3,541,517",Africa
184,Botswana,35,,1,,20,14,,15,0.4,"17,631","7,513","2,346,718",Africa
185,Bhutan,27,,,,6,21,,35,,"15,607","20,249","770,772",Asia
186,Antigua and Barbuda,25,,3,,19,3,1,255,31,183,"1,870","97,850",North America
187,Gambia,25,,1,,18,6,,10,0.4,"1,657",688,"2,409,346",Africa
188,Timor-Leste,24,,,,24,0,,18,,"1,290",980,"1,315,864",Asia
189,Grenada,23,,,,18,5,4,204,,"3,007","26,735","112,473",North America
190,Namibia,21,,,,14,7,,8,,"3,186","1,256","2,536,200",Africa
191,Laos,19,,,,14,5,,3,,"5,855",806,"7,264,973",Asia
192,Belize,18,,2,,16,0,,45,5,"1,485","3,742","396,890",North America
193,Curaçao,18,,1,,14,3,,110,6,572,"3,487","164,029",North America
194,Fiji,18,,,,15,3,,20,,"1,300","1,451","895,819",Australia/Oceania
195,New Caledonia,18,,,,18,0,,63,,"5,454","19,121","285,230",Australia/Oceania
196,Saint Lucia,18,,,,18,0,,98,,924,"5,034","183,547",North America
197,St. Vincent Grenadines,18,,,,14,4,,162,,216,"1,948","110,907",North America
198,Dominica,16,,,,16,0,,222,,433,"6,016","71,969",North America
199,Saint Kitts and Nevis,15,,,,15,0,,282,,394,"7,411","53,163",North America
200,Falkland Islands,13,,,,13,0,,"3,747",,466,"134,333","3,469",South America
201,Turks and Caicos,12,,1,,10,1,,310,26,126,"3,259","38,665",North America
202,Greenland,12,,,,11,1,,211,,"1,938","34,143","56,761",North America
203,Vatican City,12,,,,2,10,,"14,981",,,,801,Europe
204,Montserrat,11,,1,,10,0,,"2,204",200,36,"7,212","4,992",North America
205,Suriname,11,,1,,9,1,,19,2,488,833,"586,121",South America
206,Seychelles,11,,,,11,0,,112,,,,"98,289",Africa
207,MS Zaandam,9,,2,,,7,,,,,,0,
208,Western Sahara,9,,1,+1,6,2,,15,2,,,"595,784",Africa
209,British Virgin Islands,8,,1,,6,1,,265,33,167,"5,528","30,212",North America
210,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,929,617",Australia/Oceania
211,Caribbean Netherlands,6,,,,6,0,,229,,424,"16,184","26,199",North America
212,St. Barth,6,,,,6,0,,608,,137,"13,875","9,874",North America
213,Anguilla,3,,,,3,0,,200,,30,"2,001","14,990",North America
214,Lesotho,2,,,,,2,,0.9,,283,132,"2,140,606",Africa
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797",North America
NA,Total:,"1,002,918","+20,509","28,215",+414,"589,039","385,664","13,771",,,,,,Asia
NA,Total:,"1,926,396","+24,178","116,163","+1,144","595,573","1,214,660","18,300",,,,,,North America
NA,Total:,"683,742","+27,527","33,924","+1,286","272,294","377,524","10,975",,,,,,South America
NA,Total:,"1,934,081","+16,085","169,601","+1,086","912,558","851,922","9,711",,,,,,Europe
NA,Total:,"121,547","+3,746","3,613",+118,"49,902","68,032",334,,,,,,Africa
NA,Total:,"8,741",+15,123,,"8,115",503,6,,,,,,Australia/Oceania
NA,Total:,721,,15,,651,55,4,,,,,,
NA,Total:,"5,678,146","+92,060","351,654","+4,048","2,428,132","2,898,360","53,101",728.5,45.1,,,,All
