#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"1,002,918","+20,509","28,215",+414,"589,039","385,664","13,771",,,,,,Asia
NA,North America,"1,926,396","+24,178","116,163","+1,144","595,573","1,214,660","18,300",,,,,,North America
NA,South America,"683,742","+27,527","33,924","+1,286","272,294","377,524","10,975",,,,,,South America
NA,Europe,"1,934,081","+16,085","169,601","+1,086","912,558","851,922","9,711",,,,,,Europe
NA,Africa,"121,547","+3,746","3,613",+118,"49,902","68,032",334,,,,,,Africa
NA,Oceania,"8,741",+15,123,,"8,115",503,6,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"5,678,146","+92,060","351,654","+4,048","2,428,132","2,898,360","53,101",728,45.1,,,,All
1,China,"82,992",+7,"4,634",,"78,277",81,7,58,3,,,"1,439,323,776",Asia
2,USA,"1,725,275","+19,049","100,572",+774,"479,969","1,144,734","17,158","5,215",304,"15,532,159","46,951","330,817,010",North America
3,Brazil,"392,360","+15,691","24,549","+1,027","158,593","209,218","8,318","1,847",116,"871,839","4,104","212,413,908",South America
4,Russia,"362,342","+8,915","3,807",+174,"131,129","227,406","2,300","2,483",26,"9,160,590","62,774","145,928,655",Europe
5,Spain,"283,339",+859,"27,117",+280,"196,958","59,264",854,"6,060",580,"3,556,567","76,071","46,753,098",Europe
6,UK,"265,227","+2,004","37,048",+134,N/A,N/A,"1,559","3,909",546,"3,681,295","54,255","67,852,019",Europe
7,Italy,"230,555",+397,"32,955",+78,"144,658","52,942",521,"3,813",545,"3,539,927","58,540","60,469,988",Europe
8,France,"182,722",,"28,530",+98,"65,879","88,313","1,555","2,800",437,"1,384,633","21,217","65,259,974",Europe
9,Germany,"181,288",+499,"8,498",+70,"162,000","10,790",821,"2,164",101,"3,595,059","42,922","83,758,696",Europe
10,Turkey,"158,762",+948,"4,397",+28,"121,507","32,858",739,"1,884",52,"1,873,607","22,239","84,249,900",Asia
11,India,"150,793","+5,843","4,344",+172,"64,277","82,172","8,944",109,3,"3,126,119","2,267","1,378,678,095",Asia
12,Iran,"139,511","+1,787","7,508",+57,"109,437","22,566","2,567","1,663",90,"837,090","9,979","83,886,140",Asia
13,Peru,"129,751","+5,772","3,788",+159,"52,906","73,057",923,"3,941",115,"875,721","26,597","32,925,941",South America
14,Canada,"86,647",+936,"6,639",+94,"45,339","34,669",502,"2,298",176,"1,502,990","39,857","37,709,994",North America
15,Chile,"77,961","+3,964",806,+45,"30,915","46,240","1,202","4,082",42,"501,125","26,237","19,100,270",South America
16,Saudi Arabia,"76,726","+1,931",411,+12,"48,450","27,865",384,"2,207",12,"738,743","21,253","34,759,189",Asia
17,Mexico,"71,105","+2,485","7,633",+239,"49,890","13,582",378,552,59,"225,650","1,752","128,799,843",North America
18,Pakistan,"57,705","+1,356","1,197",+30,"18,314","38,194",111,262,5,"490,908","2,227","220,450,694",Asia
19,Belgium,"57,455",+113,"9,334",+22,"15,320","32,801",249,"4,959",806,"795,447","68,663","11,584,839",Europe
20,Qatar,"47,207","+1,742",28,+2,"11,844","35,335",205,"16,413",10,"196,411","68,290","2,876,111",Asia
21,Netherlands,"45,578",+133,"5,856",+26,N/A,N/A,188,"2,661",342,"324,918","18,966","17,131,319",Europe
22,Belarus,"38,059",+915,208,+4,"15,086","22,765",92,"4,028",22,"472,906","50,045","9,449,610",Europe
23,Ecuador,"37,355",,"3,203",,"18,003","16,149",211,"2,121",182,"106,554","6,049","17,616,090",South America
24,Bangladesh,"36,751","+1,166",522,+21,"7,579","28,650",1,223,3,"258,550","1,571","164,528,877",Asia
25,Sweden,"34,440",+597,"4,125",+96,"4,971","25,344",304,"3,412",409,"238,800","23,659","10,093,230",Europe
26,Singapore,"32,343",+383,23,,"16,444","15,876",8,"5,533",4,"294,414","50,363","5,845,893",Asia
27,UAE,"31,086",+779,253,+5,"15,982","14,851",1,"3,147",26,"2,072,493","209,797","9,878,576",Asia
28,Portugal,"31,007",+219,"1,342",+12,"18,096","11,569",71,"3,040",132,"689,705","67,622","10,199,416",Europe
29,Switzerland,"30,761",+15,"1,915",+2,"28,200",646,41,"3,557",221,"375,115","43,373","8,648,520",Europe
30,Ireland,"24,735",+37,"1,615",+9,"21,060","2,060",54,"5,015",327,"325,795","66,053","4,932,355",Europe
31,South Africa,"24,264",+649,524,+43,"12,741","10,999",128,410,9,"605,991","10,230","59,234,476",Africa
32,Indonesia,"23,165",+415,"1,418",+27,"5,877","15,870",,85,5,"264,098",967,"273,239,726",Asia
33,Colombia,"23,003","+1,022",776,+26,"5,511","16,716",136,453,15,"260,812","5,131","50,829,634",South America
34,Kuwait,"22,575",+608,172,+7,"7,306","15,097",196,"5,294",40,"276,207","64,773","4,264,228",Asia
35,Poland,"22,074",+443,"1,024",+17,"10,020","11,030",160,583,27,"801,753","21,182","37,850,425",Europe
36,Ukraine,"21,584",+339,644,+21,"7,575","13,365",259,493,15,"301,736","6,896","43,757,273",Europe
37,Egypt,"18,756",+789,797,+14,"5,027","12,932",41,184,8,"135,000","1,322","102,136,256",Africa
38,Romania,"18,429",+146,"1,216",+11,"11,874","5,339",181,957,63,"385,728","20,039","19,249,131",Europe
39,Israel,"16,757",+23,281,,"14,457","2,019",43,"1,822",31,"545,761","59,337","9,197,590",Asia
40,Japan,"16,623",+42,846,+16,"13,810","1,967",155,131,7,"276,170","2,183","126,511,690",Asia
41,Austria,"16,557",+18,643,+2,"15,182",732,32,"1,839",71,"411,185","45,680","9,001,487",Europe
42,Dominican Republic,"15,264",+191,468,+8,"8,534","6,262",123,"1,408",43,"69,608","6,423","10,837,265",North America
43,Philippines,"14,669",+350,886,+13,"3,412","10,371",81,134,8,"307,434","2,809","109,435,773",Asia
44,Argentina,"13,228",+600,484,+17,"4,167","8,577",171,293,11,"136,662","3,026","45,155,378",South America
45,Afghanistan,"11,831",+658,220,+1,"1,128","10,483",19,305,6,"32,870",846,"38,836,559",Asia
46,Panama,"11,447",+264,313,+3,"6,379","4,755",72,"2,657",73,"60,598","14,067","4,307,910",North America
47,Denmark,"11,428",+41,563,,"10,044",821,23,"1,974",97,"559,454","96,620","5,790,276",Europe
48,Serbia,"11,227",+34,239,,"6,067","4,921",11,"1,284",27,"223,771","25,601","8,740,556",Europe
49,S. Korea,"11,225",+19,269,+2,"10,275",681,15,219,5,"839,475","16,375","51,265,081",Asia
