#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"1,538,685","+39,349","38,737",+837,"935,078","+22,504","564,870","15,363",,,,,,Asia,,,
NA,North America,"2,421,098","+34,625","142,822","+1,475","1,034,200","+34,061","1,244,076","19,290",,,,,,North America,,,
NA,South America,"1,355,444","+42,462","57,844","+1,471","690,198","+11,929","607,402","12,010",,,,,,South America,,,
NA,Europe,"2,173,578","+16,241","182,067",+609,"1,147,834","+13,344","843,677","6,693",,,,,,Europe,,,
NA,Africa,"227,599","+8,245","6,080",+211,"105,092","+4,381","116,427",526,,,,,,Africa,,,
NA,Oceania,"8,901",+5,124,,"8,371",+22,406,2,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"7,726,026","+140,927","427,689","+4,603","3,921,424","+86,241","3,376,913","53,888",991,54.9,,,,All,,,
1,China,"83,064",+7,"4,634",,"78,365",+4,65,,58,3,,,"1,439,323,776",Asia,"17,328","310,601",
2,USA,"2,116,922","+27,221","116,825",+791,"841,934","+25,848","1,158,163","16,613","6,397",353,"23,792,191","71,900","330,906,997",North America,156,"2,833",14
3,Brazil,"829,902","+24,253","41,901",+843,"396,692",,"391,309","8,318","3,906",197,"1,364,423","6,421","212,483,982",South America,256,"5,071",156
4,Russia,"511,423","+8,987","6,715",+183,"269,370","+8,220","235,338","2,300","3,505",46,"14,218,674","97,434","145,931,552",Europe,285,"21,732",10
5,India,"309,603","+11,320","8,890",+389,"154,231","+7,259","146,482","8,944",224,6,"5,363,445","3,889","1,379,307,780",Asia,"4,455","155,153",257
6,UK,"292,950","+1,541","41,481",+202,N/A,N/A,N/A,492,"4,316",611,"6,434,713","94,811","67,868,549",Europe,232,"1,636",11
7,Spain,"290,289",+502,"27,136",,N/A,N/A,N/A,617,"6,209",580,"4,465,338","95,507","46,753,936",Europe,161,"1,723",10
