#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"960,418","+24,085","27,455",+387,"559,585","373,378","13,789",,,,,,Asia
NA,North America,"1,877,349","+25,508","114,169",+899,"559,981","1,203,199","18,270",,,,,,North America
NA,South America,"631,840","+26,874","31,472",+882,"242,187","358,181","10,855",,,,,,South America
NA,Europe,"1,901,749","+15,849","169,844",+569,"882,607","849,298","9,977",,,,,,Europe
NA,Africa,"113,656","+4,186","3,356",+89,"46,269","64,031",323,,,,,,Africa
NA,Oceania,"8,722",+3,123,,"8,065",534,6,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"5,494,455","+96,505","346,434","+2,826","2,299,345","2,848,676","53,224",705,44.4,,,,All
1,China,"82,974",+3,"4,634",,"78,261",79,8,58,3,,,"1,439,323,776",Asia
2,USA,"1,686,436","+19,608","99,300",+617,"451,702","1,135,434","17,135","5,098",300,"14,749,756","44,587","330,806,424",North America
3,Brazil,"363,618","+16,220","22,716",+703,"149,911","190,991","8,318","1,712",107,"735,224","3,461","212,405,664",South America
4,Russia,"344,481","+8,599","3,541",+153,"113,299","227,641","2,300","2,361",24,"8,685,305","59,518","145,928,315",Europe
5,Spain,"282,852",+482,"28,752",+74,"196,958","57,142",854,"6,050",615,"3,556,567","76,071","46,752,999",Europe
6,UK,"259,559","+2,405","36,793",+118,N/A,N/A,"1,559","3,825",542,"3,458,905","50,979","67,850,075",Europe
7,Italy,"229,858",+531,"32,785",+50,"140,479","56,594",553,"3,801",542,"3,447,012","57,003","60,470,472",Europe
8,France,"182,584",+115,"28,367",+35,"64,617","89,600","1,655","2,798",435,"1,384,633","21,217","65,259,187",Europe
9,Germany,"180,328",+342,"8,371",+5,"160,300","11,657",889,"2,153",100,"3,595,059","42,922","83,757,235",Europe
10,Turkey,"156,827","+1,141","4,340",+32,"118,694","33,793",769,"1,862",52,"1,832,262","21,749","84,244,944",Asia
11,India,"138,536","+7,113","4,024",+156,"57,692","76,820","8,944",100,3,"2,943,421","2,135","1,378,604,014",Asia
12,Iran,"135,701","+2,180","7,417",+58,"105,801","22,483","2,615","1,618",88,"800,519","9,544","83,880,266",Asia
13,Peru,"119,959","+4,205","3,456",+83,"49,795","66,708",920,"3,644",105,"820,967","24,936","32,923,430",South America
