#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"4,047,519","+76,301","92,722","+1,344","2,938,875","+65,569","1,015,922","19,727",,,,,,Asia,,,
NA,North America,"5,270,419","+74,299","211,661","+1,742","2,672,732","+58,998","2,386,026","26,205",,,,,,North America,,,
NA,South America,"3,855,598","+68,234","137,288","+1,743","2,610,335","+69,385","1,107,975","14,270",,,,,,South America,,,
NA,Europe,"2,815,167","+15,136","202,067",+411,"1,689,812","+12,871","923,288","5,124",,,,,,Europe,,,
NA,Africa,"877,593","+13,499","18,540",+322,"527,821","+17,732","331,232","1,124",,,,,,Africa,,,
NA,Oceania,"17,035",+371,189,+6,"11,056",+121,"5,790",50,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"16,884,052","+247,840","662,482","+5,568","10,451,282","+224,676","5,770,288","66,504","2,166",85.0,,,,All,,,
1,China,"83,959",+68,"4,634",,"78,934",+16,391,6,58,3,"90,410,000","62,814","1,439,323,776",Asia,"17,143","310,601",16
2,USA,"4,498,343","+64,729","152,320","+1,245","2,185,894","+49,167","2,160,129","18,992","13,584",460,"55,805,416","168,520","331,150,490",North America,74,"2,174",6
3,Brazil,"2,484,649","+41,169","88,634",+955,"1,721,560","+53,893","674,455","8,318","11,683",417,"12,601,096","59,251","212,673,594",South America,86,"2,399",17
4,India,"1,532,135","+49,632","34,224",+776,"988,770","+35,581","509,141","8,944","1,109",25,"17,334,885","12,552","1,381,011,634",Asia,901,"40,352",80
5,Russia,"823,515","+5,395","13,504",+150,"612,217","+8,888","197,794","2,300","5,643",93,"27,327,570","187,253","145,939,390",Europe,177,"10,807",5
6,South Africa,"459,761","+7,232","7,257",+190,"287,313","+12,388","165,191",539,"7,745",122,"2,830,635","47,683","59,363,180",Africa,129,"8,180",21
7,Mexico,"395,489","+4,973","44,022",+342,"256,777","+5,272","94,690","3,922","3,065",341,"924,359","7,164","129,032,870",North America,326,"2,931",140
8,Peru,"395,005","+5,288","18,612",+194,"276,452","+3,905","99,941","1,423","11,968",564,"2,270,717","68,799","33,005,022",South America,84,"1,773",15
9,Chile,"349,800","+1,877","9,240",+53,"322,332","+2,378","18,228","1,529","18,287",483,"1,563,693","81,747","19,128,483",South America,55,"2,070",12
10,Spain,"327,690","+1,828","28,436",+2,N/A,N/A,N/A,617,"7,008",608,"6,678,414","142,835","46,756,205",Europe,143,"1,644",7
11,UK,"300,692",+581,"45,878",+119,N/A,N/A,N/A,97,"4,428",676,"15,197,099","223,772","67,913,277",Europe,226,"1,480",4
12,Iran,"296,273","+2,667","16,147",+235,"257,019","+1,875","23,107","3,902","3,524",192,"2,380,122","28,311","84,071,188",Asia,284,"5,207",35
13,Pakistan,"275,225",+936,"5,865",+23,"242,436","+1,410","26,924","1,217","1,244",27,"1,909,846","8,634","221,190,207",Asia,804,"37,714",116
14,Saudi Arabia,"270,831","+1,897","2,789",+29,"225,624","+2,688","42,418","2,103","7,771",80,"3,174,886","91,095","34,852,577",Asia,129,"12,496",11
15,Colombia,"267,385","+10,284","9,074",+297,"136,690","+5,529","121,621","1,493","5,251",178,"1,470,613","28,879","50,922,934",South America,190,"5,612",35
16,Italy,"246,488",+181,"35,123",+11,"198,756",+163,"12,609",40,"4,077",581,"6,634,293","109,740","60,454,745",Europe,245,"1,721",9
17,Bangladesh,"229,185","+2,960","3,000",+35,"127,414","+1,731","98,771",1,"1,391",18,"1,137,131","6,900","164,811,086",Asia,719,"54,937",145
18,Turkey,"227,982",+963,"5,645",+15,"211,561","+1,092","10,776","1,280","2,701",67,"4,665,383","55,273","84,406,027",Asia,370,"14,952",18
19,Germany,"207,951",+572,"9,207",+2,"192,000",+600,"6,744",261,"2,481",110,"7,418,812","88,525","83,804,689",Europe,403,"9,102",11
20,France,"183,804",+725,"30,223",+14,"81,311",+229,"72,270",385,"2,815",463,"2,982,302","45,681","65,284,764",Europe,355,"2,160",22
21,Argentina,"173,355","+5,939","3,179",+120,"75,083","+2,508","95,093","1,002","3,833",70,"660,112","14,596","45,226,696",South America,261,"14,227",69
22,Iraq,"115,332","+2,747","4,535",+77,"81,062","+3,918","29,735",481,"2,863",113,"946,761","23,502","40,283,777",Asia,349,"8,883",43
23,Canada,"114,994",+397,"8,912",+11,"100,134",+274,"5,948","2,237","3,045",236,"3,899,192","103,244","37,766,893",North America,328,"4,238",10
24,Qatar,"109,880",+283,167,+2,"106,603",+275,"3,110",92,"39,134",59,"481,930","171,639","2,807,805",Asia,26,"16,813",6
25,Indonesia,"102,051","+1,748","4,901",+63,"60,539","+2,366","36,611",,373,18,"1,417,322","5,178","273,737,285",Asia,"2,682","55,853",193
26,Egypt,"92,947",+465,"4,691",+39,"35,959","+1,121","52,297",41,907,46,"135,000","1,317","102,468,991",Africa,"1,102","21,844",759
27,Kazakhstan,"84,648","+1,526",793,,"54,404","+1,833","29,451",221,"4,504",42,"2,064,778","109,869","18,793,145",Asia,222,"23,699",9
28,Philippines,"83,612","+1,617","1,946",+3,"26,608",+164,"55,058",351,762,18,"1,387,760","12,652","109,686,851",Asia,"1,312","56,365",79
29,Ecuador,"82,279","+1,118","5,584",+52,"35,283",+387,"41,412",350,"4,658",316,"230,515","13,051","17,662,232",South America,215,"3,163",77
30,Sweden,"79,494",+39,"5,702",+10,N/A,N/A,N/A,46,"7,868",564,"810,356","80,201","10,104,050",Europe,127,"1,772",12
