#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"4,294,616","+84,696","96,717","+1,322","3,167,234","+59,626","1,030,665","19,023",,,,,,Asia,,,
NA,North America,"5,516,029","+84,476","218,570","+2,276","2,843,159","+51,768","2,454,300","25,931",,,,,,North America,,,
NA,South America,"4,119,150","+80,978","143,823","+2,003","2,819,648","+75,269","1,155,679","14,279",,,,,,South America,,,
NA,Europe,"2,871,890","+19,412","203,319",+455,"1,729,070","+13,618","939,501","5,110",,,,,,Europe,,,
NA,Africa,"931,777","+19,156","19,726",+364,"583,665","+23,759","328,386","1,138",,,,,,Africa,,,
NA,Oceania,"18,648",+611,222,+9,"11,613",+228,"6,813",45,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"17,752,831","+289,329","682,392","+6,429","11,155,040","+224,268","5,915,399","65,530","2,278",87.5,,,,All,,,
1,China,"84,292",+127,"4,634",,"78,974",+17,684,41,59,3,"90,410,000","62,814","1,439,323,776",Asia,"17,075","310,601",16
2,USA,"4,705,889","+70,904","156,747","+1,462","2,327,572","+42,607","2,221,570","18,687","14,210",473,"58,591,052","176,923","331,166,370",North America,70,"2,113",6
3,Brazil,"2,666,298","+52,509","92,568","+1,191","1,884,051","+59,956","689,679","8,318","12,536",435,"12,601,096","59,247","212,685,960",South America,80,"2,298",17
4,India,"1,697,054","+57,704","36,551",+765,"1,095,647","+36,554","564,856","8,944","1,229",26,"18,832,970","13,636","1,381,122,755",Asia,814,"37,786",73
5,Russia,"839,981","+5,482","13,963",+161,"638,410","+8,755","187,608","2,300","5,756",96,"28,161,461","192,966","145,939,901",Europe,174,"10,452",5
6,South Africa,"493,183","+11,014","8,005",+193,"326,171","+16,570","159,007",539,"8,307",135,"2,959,535","49,850","59,369,309",Africa,120,"7,417",20
7,Mexico,"416,179","+7,730","46,000",+639,"272,187","+5,040","97,992","3,922","3,225",356,"968,536","7,505","129,043,967",North America,310,"2,805",133
8,Peru,"414,735","+7,243","19,217",+196,"287,127","+3,212","108,391","1,414","12,564",582,"2,348,396","71,145","33,008,787",South America,80,"1,718",14
9,Chile,"355,667","+2,131","9,457",+80,"328,327","+1,699","17,883","1,445","18,592",494,"1,623,992","84,893","19,129,827",South America,54,"2,023",12
10,Spain,"335,602","+3,092","28,445",+2,N/A,N/A,N/A,617,"7,178",608,"6,678,414","142,834","46,756,352",Europe,139,"1,644",7
11,Iran,"304,204","+2,674","16,766",+197,"263,519","+2,319","23,919","4,021","3,618",199,"2,456,909","29,221","84,079,999",Asia,276,"5,015",34
12,UK,"303,181",+880,"46,119",+120,N/A,N/A,N/A,84,"4,464",679,"16,019,907","235,878","67,916,194",Europe,224,"1,473",4
13,Colombia,"295,508","+9,488","10,105",+295,"154,387","+5,692","131,016","1,493","5,803",198,"1,573,679","30,900","50,927,377",South America,172,"5,040",32
14,Pakistan,"278,305",+903,"5,951",+27,"247,177","+1,046","25,177","1,146","1,258",27,"1,973,237","8,920","221,225,421",Asia,795,"37,174",112
15,Saudi Arabia,"275,905","+1,686","2,866",+24,"235,658","+4,460","37,381","2,033","7,915",82,"3,350,541","96,122","34,857,024",Asia,126,"12,162",10
16,Italy,"247,537",+379,"35,141",+9,"199,974",+178,"12,422",41,"4,095",581,"6,820,613","112,823","60,454,019",Europe,244,"1,720",9
17,Bangladesh,"237,661","+2,772","3,111",+28,"135,136","+2,176","99,414",1,"1,442",19,"1,176,809","7,140","164,824,524",Asia,694,"52,981",140
18,Turkey,"230,873",+982,"5,691",+17,"214,535",+996,"10,647",582,"2,735",67,"4,800,823","56,873","84,413,462",Asia,366,"14,833",18
19,Germany,"210,665","+1,012","9,224",+3,"192,300",+300,"9,141",261,"2,514",110,"8,006,135","95,531","83,806,880",Europe,398,"9,086",10
20,Argentina,"191,302","+5,929","3,543",+102,"83,780","+3,184","103,979","1,104","4,230",78,"707,508","15,642","45,230,092",South America,236,"12,766",64
