#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"2,791,276","+55,492","66,630","+1,114","1,920,474","+47,018","804,172","19,578",,,,,,Asia,,,
NA,North America,"3,766,948","+73,393","181,507","+1,858","1,727,851","+40,117","1,857,590","18,906",,,,,,North America,,,
NA,South America,"2,732,176","+61,571","100,345","+1,781","1,779,643","+46,561","852,188","13,629",,,,,,South America,,,
NA,Europe,"2,532,361","+13,427","195,484",+429,"1,479,363","+13,457","857,514","5,381",,,,,,Europe,,,
NA,Africa,"545,063","+19,171","12,500",+230,"265,783","+9,926","266,780",952,,,,,,Africa,,,
NA,Oceania,"10,714",+176,128,,"9,174",+88,"1,412",10,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"12,379,259","+223,230","556,609","+5,412","7,182,939","+157,167","4,639,711","58,460","1,588",71.4,,,,All,,,
1,China,"83,581",+9,"4,634",,"78,590",+42,357,4,58,3,"90,410,000","62,814","1,439,323,776",Asia,"17,221","310,601",16
2,USA,"3,219,999","+61,067","135,822",+960,"1,426,428","+33,749","1,657,749","15,645","9,727",410,"40,161,137","121,314","331,049,917",North America,103,"2,437",8
3,Brazil,"1,759,103","+42,907","69,254","+1,199","1,152,467","+34,545","537,382","8,318","8,274",326,"4,468,829","21,020","212,595,276",South America,121,"3,070",48
4,India,"794,842","+25,790","21,623",+479,"495,960","+19,406","277,259","8,944",576,16,"10,740,832","7,781","1,380,307,868",Asia,"1,737","63,835",129
5,Russia,"707,301","+6,509","10,843",+176,"481,316","+8,805","215,142","2,300","4,847",74,"22,079,294","151,294","145,936,153",Europe,206,"13,459",7
6,Peru,"316,448","+3,537","11,314",+181,"207,802","+3,054","97,332","1,292","9,595",343,"1,863,278","56,495","32,981,172",South America,104,"2,915",18
7,Chile,"306,216","+3,133","6,682",+109,"274,922","+3,219","24,612","1,999","16,016",349,"1,237,632","64,730","19,119,974",South America,62,"2,861",15
8,Spain,"300,136",+543,"28,401",+5,N/A,N/A,N/A,617,"6,419",607,"5,734,599","122,651","46,755,268",Europe,156,"1,646",8
9,UK,"287,621",+642,"44,602",+85,N/A,N/A,N/A,185,"4,236",657,"11,286,921","166,241","67,894,803",Europe,236,"1,522",6
10,Mexico,"275,003","+6,995","32,796",+782,"167,795","+4,149","74,412",378,"2,132",254,"684,804","5,310","128,962,592",North America,469,"3,932",188
11,Iran,"250,458","+2,079","12,305",+221,"212,176","+2,713","25,977","3,324","2,981",146,"1,897,803","22,589","84,015,380",Asia,335,"6,828",44
12,Italy,"242,363",+214,"34,926",+12,"193,978",+338,"13,459",69,"4,009",578,"5,806,668","96,043","60,459,342",Europe,249,"1,731",10
13,Pakistan,"240,848","+3,359","4,983",+61,"145,311","+4,346","90,554","2,193","1,090",23,"1,491,437","6,750","220,967,179",Asia,917,"44,344",148
14,South Africa,"238,339","+13,674","3,720",+118,"113,061","+6,219","121,558",539,"4,018",63,"2,000,569","33,723","59,324,365",Africa,249,"15,947",30
15,Saudi Arabia,"223,327","+3,183","2,100",+41,"161,096","+3,046","60,131","2,225","6,413",60,"2,124,976","61,020","34,824,413",Asia,156,"16,583",16
16,Turkey,"209,962","+1,024","5,300",+18,"190,390","+2,879","14,272","1,179","2,489",63,"3,832,623","45,432","84,358,941",Asia,402,"15,917",22
17,Germany,"199,198",+433,"9,125",+10,"183,600",+900,"6,473",292,"2,377",109,"6,376,054","76,095","83,790,818",Europe,421,"9,183",13
18,Bangladesh,"175,494","+3,360","2,238",+41,"84,544","+3,706","88,712",1,"1,065",14,"907,784","5,511","164,725,975",Asia,939,"73,604",181
19,France,"170,094",+621,"29,979",+14,"78,170",+185,"61,945",512,"2,606",459,"1,384,633","21,212","65,277,288",Europe,384,"2,177",47
20,Colombia,"133,973","+5,335","4,714",+187,"56,272","+2,638","72,987",875,"2,632",93,"945,240","18,572","50,894,796",South America,380,"10,797",54
21,Canada,"106,805",+371,"8,749",+12,"70,574",+327,"27,482","2,152","2,829",232,"3,098,193","82,072","37,749,733",North America,353,"4,315",12
22,Qatar,"102,110",+557,142,+4,"97,272","+1,165","4,696",145,"36,366",51,"400,767","142,733","2,807,805",Asia,27,"19,773",7
23,Argentina,"90,693","+3,663","1,720",+26,"38,313","+1,811","50,660",688,"2,006",38,"434,692","9,616","45,205,187",South America,498,"26,282",104
24,Egypt,"79,254",+950,"3,617",+53,"22,753",+512,"52,884",41,774,35,"135,000","1,319","102,368,642",Africa,"1,292","28,302",758
25,Sweden,"74,333",+48,"5,500",+13,N/A,N/A,N/A,90,"7,359",545,"600,019","59,403","10,100,787",Europe,136,"1,837",17
26,Indonesia,"70,736","+2,657","3,417",+58,"32,651","+1,066","34,668",,259,12,"992,069","3,626","273,587,227",Asia,"3,868","80,066",276
27,Iraq,"69,612","+2,170","2,882",+103,"39,502","+1,623","27,228",415,"1,730",72,"649,036","16,130","40,236,807",Asia,578,"13,961",62
28,Belarus,"64,411",+187,449,+6,"53,609",+755,"10,353",89,"6,817",48,"1,087,245","115,062","9,449,238",Europe,147,"21,045",9
29,Ecuador,"64,221",+976,"4,900",+27,"29,184",+113,"30,137",310,"3,639",278,"171,653","9,726","17,648,317",South America,275,"3,602",103
30,Belgium,"62,210",+87,"9,778",+2,"17,159",+21,"35,273",32,"5,367",844,"1,335,704","115,237","11,590,889",Europe,186,"1,185",9
31,UAE,"53,577",+532,328,+1,"43,570","+1,288","9,679",1,"5,416",33,"3,769,000","380,979","9,892,939",Asia,185,"30,161",3
32,Kazakhstan,"53,021","+1,962",264,,"35,137",+988,"17,620",221,"2,823",14,"1,659,543","88,361","18,781,489",Asia,354,"71,142",11
33,Kuwait,"52,840",+833,382,+3,"42,686",+578,"9,772",150,"12,369",89,"422,885","98,994","4,271,824",Asia,81,"11,183",10
34,Philippines,"51,754","+1,395","1,314",,"12,813",+225,"37,627",213,472,12,"910,694","8,308","109,611,129",Asia,"2,118","83,418",120
35,Oman,"51,725","+1,518",236,+3,"33,021","+1,016","18,468",129,"10,125",46,"226,637","44,365","5,108,479",Asia,99,"21,646",23
36,Ukraine,"51,224",+810,"1,327",+21,"23,784",+665,"26,113",85,"1,171",30,"760,247","17,387","43,725,853",Europe,854,"32,951",58
37,Netherlands,"50,798",+52,"6,137",+2,N/A,N/A,N/A,20,"2,964",358,"681,931","39,796","17,135,863",Europe,337,"2,792",25
38,Singapore,"45,423",+125,26,,"41,645",+322,"3,752",1,"7,763",4,"866,414","148,069","5,851,417",Asia,129,"225,055",7
39,Portugal,"45,277",+418,"1,644",+13,"30,049",+335,"13,584",74,"4,441",161,"1,299,594","127,463","10,195,858",Europe,225,"6,202",8
40,Bolivia,"42,984","+1,439","1,577",+47,"12,883",+485,"28,524",71,"3,681",135,"97,202","8,325","11,676,275",South America,272,"7,404",120
41,Panama,"42,216",+965,839,+20,"20,437",+968,"20,940",160,"9,781",194,"155,605","36,052","4,316,082",North America,102,"5,144",28
42,Dominican Republic,"40,790","+1,202",842,+13,"20,426",+370,"19,522",208,"3,759",78,"178,838","16,482","10,850,333",North America,266,"12,886",61
43,Poland,"36,951",+262,"1,551",+9,"25,477",+599,"9,923",65,976,41,"1,720,428","45,459","37,845,460",Europe,"1,024","24,401",22
