#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"5,301,020","+94,122","114,136","+1,565","4,034,267","+80,105","1,152,617","18,907",,,,,,Asia,,,
NA,North America,"6,307,935","+66,480","240,283","+2,437","3,436,712","+66,635","2,630,940","24,550",,,,,,North America,,,
NA,South America,"4,978,939","+93,312","165,464","+2,073","3,577,837","+92,432","1,235,638","14,743",,,,,,South America,,,
NA,Europe,"3,106,059","+21,726","201,812",+315,"1,861,628","+13,489","1,042,619","5,196",,,,,,Europe,,,
NA,Africa,"1,078,301","+9,208","24,322",+410,"772,365","+10,746","281,614","1,211",,,,,,Africa,,,
NA,Oceania,"24,182",+523,378,+21,"14,492",+406,"9,312",52,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"20,797,157","+285,371","746,410","+6,821","13,697,952","+263,813","6,352,795","64,663","2,668",95.8,,,,All,,,
1,China,"84,737",+25,"4,634",,"79,342",+58,761,40,59,3,"90,410,000","62,814","1,439,323,776",Asia,"16,986","310,601",16
2,USA,"5,360,302","+54,345","169,131","+1,386","2,812,603","+57,255","2,378,568","17,320","16,183",511,"67,551,161","203,940","331,229,890",North America,62,"1,958",5
3,Brazil,"3,170,474","+58,081","104,263","+1,164","2,309,477","+66,353","756,734","8,318","14,903",490,"13,231,548","62,197","212,735,424",South America,67,"2,040",16
4,India,"2,395,471","+67,066","47,138",+950,"1,695,860","+57,759","652,473","8,944","1,734",34,"26,015,297","18,830","1,381,567,238",Asia,577,"29,309",53
5,Russia,"902,701","+5,102","15,260",+129,"710,298","+7,123","177,143","2,300","6,185",105,"31,307,764","214,522","145,941,946",Europe,162,"9,564",5
6,South Africa,"568,919","+2,810","11,010",+259,"432,029","+5,904","125,880",539,"9,579",185,"3,295,434","55,484","59,393,824",Africa,104,"5,395",18
7,Peru,"498,555","+8,875","21,713",+212,"341,938","+6,182","134,904","1,501","15,097",657,"2,643,464","80,047","33,023,850",South America,66,"1,521",12
8,Mexico,"492,522","+6,686","53,929",+926,"332,800","+4,807","105,793","3,832","3,815",418,"1,112,114","8,615","129,088,353",North America,262,"2,394",116
9,Colombia,"422,519","+12,066","13,837",+362,"239,785","+9,358","168,897","1,493","8,294",272,"2,023,256","39,714","50,945,148",South America,121,"3,682",25
10,Chile,"378,168","+1,552","10,205",+27,"351,419","+1,878","16,544","1,268","19,763",533,"1,908,964","99,762","19,135,201",South America,51,"1,875",10
11,Spain,"376,864","+3,172","28,579",,N/A,N/A,N/A,617,"8,060",611,"7,472,031","159,806","46,756,944",Europe,124,"1,636",6
12,Iran,"333,699","+2,510","18,988",+188,"290,244","+1,624","24,467","3,940","3,967",226,"2,763,225","32,850","84,115,247",Asia,252,"4,430",30
13,UK,"313,798","+1,009","41,329",+20,N/A,N/A,N/A,70,"4,620",608,"18,868,566","277,774","67,927,863",Europe,216,"1,644",4
14,Saudi Arabia,"293,037","+1,569","3,269",+36,"257,269","+2,151","32,499","1,826","8,403",94,"3,933,427","112,787","34,874,813",Asia,119,"10,668",9
15,Pakistan,"285,921",+730,"6,129",+17,"263,193","+1,947","16,599",785,"1,292",28,"2,186,442","9,877","221,366,281",Asia,774,"36,118",101
16,Argentina,"268,574","+7,663","5,213",+209,"187,283","+5,894","76,078","1,585","5,936",115,"891,817","19,711","45,243,676",South America,168,"8,679",51
17,Bangladesh,"266,498","+2,995","3,513",+42,"153,089","+1,117","109,896",,"1,616",21,"1,302,739","7,901","164,878,278",Asia,619,"46,934",127
18,Italy,"251,713",+476,"35,225",+10,"202,697",+236,"13,791",53,"4,164",583,"7,369,576","121,910","60,451,116",Europe,240,"1,716",8
19,Turkey,"244,392","+1,212","5,891",+18,"227,089",+934,"11,412",632,"2,894",70,"5,454,988","64,599","84,443,200",Asia,346,"14,334",15
20,Germany,"220,850","+1,320","9,276",+8,"199,900","+1,000","11,674",224,"2,635",111,"8,586,648","102,447","83,815,640",Europe,380,"9,036",10
21,France,"206,696","+2,524","30,371",+17,"83,472",+235,"92,853",379,"3,166",465,"5,500,000","84,239","65,290,667",Europe,316,"2,150",12
22,Iraq,"160,436","+3,441","5,588",+57,"114,541","+2,439","40,307",592,"3,979",139,"1,203,883","29,858","40,320,858",Asia,251,"7,216",33
23,Philippines,"143,524","+4,219","2,403",+92,"68,984",+623,"72,137",389,"1,308",22,"1,853,010","16,884","109,746,632",Asia,765,"45,671",59
24,Indonesia,"130,718","+1,942","5,903",+79,"85,798","+2,088","39,017",,477,22,"1,783,673","6,513","273,855,751",Asia,"2,095","46,393",154
25,Canada,"120,844",+423,"9,006",+15,"107,148",+402,"4,690","2,292","3,199",238,"4,581,083","121,255","37,780,440",North America,313,"4,195",8
26,Qatar,"113,938",+292,190,+2,"110,627",+303,"3,121",75,"40,579",68,"533,995","190,182","2,807,805",Asia,25,"14,778",5
27,Kazakhstan,"100,855",+691,"1,269",,"74,677",+975,"24,909",221,"5,364",67,"2,183,308","116,119","18,802,348",Asia,186,"14,817",9
28,Ecuador,"97,110","+1,547","5,984",+33,"78,887",+277,"12,239",348,"5,495",339,"272,000","15,391","17,673,219",South America,182,"2,953",65
29,Egypt,"95,963",+129,"5,085",+26,"55,901","+1,013","34,977",41,936,50,"135,000","1,316","102,548,214",Africa,"1,069","20,167",760
30,Bolivia,"93,328","+1,693","3,761",+49,"31,753",+930,"57,814",71,"7,983",322,"198,178","16,951","11,691,069",South America,125,"3,109",59
31,Israel,"88,151","+1,558",639,+17,"62,109","+2,029","25,403",369,"9,584",69,"1,996,966","217,118","9,197,590",Asia,104,"14,394",5
32,Ukraine,"84,548","+1,433","1,970",+19,"45,686",+752,"36,892",129,"1,935",45,"1,214,941","27,801","43,701,573",Europe,517,"22,184",36
33,Sweden,"83,455",,"5,774",+5,N/A,N/A,N/A,33,"8,257",571,"917,036","90,736","10,106,627",Europe,121,"1,750",11
34,Oman,"82,299",+249,539,+6,"77,072",+352,"4,688",165,"16,072",105,"309,212","60,386","5,120,582",Asia,62,"9,500",17
